,Yoha Nz,Brevity,Smooth Overarm Nz,Reactor Factor,Full Brother,Arabella Star,Atomicstar
10-01-2023 15:05:54.999878,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:56.139368,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:57.289828,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:58.407787,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:59.455944,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:00.500453,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:01.461258,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:02.447145,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:03.512213,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:04.629509,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:05.739314,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:06.880782,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:08.174733,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:09.489048,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:10.587101,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:11.700292,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:12.943213,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:14.130736,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:15.328546,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:16.315311,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.828571428571428)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:06:17.384458,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.36)"
10-01-2023 15:06:18.597592,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.36)"
10-01-2023 15:06:19.721492,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.36)"
10-01-2023 15:06:20.830617,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.36)"
10-01-2023 15:06:21.885480,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:22.907315,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:23.942147,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:25.041291,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:26.117658,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:27.235551,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:28.290394,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:29.320291,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:30.341575,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:31.384485,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:32.490104,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:33.587380,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:34.716220,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:35.829927,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:36.850882,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:37.842275,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:38.902951,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:40.024173,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:41.123489,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:42.145986,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:43.139751,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:44.239553,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:45.329828,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:46.463187,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.10625)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:47.555719,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.353846153846154)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:48.536876,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.353846153846154)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:49.566371,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.353846153846154)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:50.631224,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.353846153846154)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:51.749666,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.353846153846154)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:52.934280,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.092)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:54.070463,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.65, 3.3733333333333335)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:55.219394,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.112)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:56.243265,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.65, 3.092)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:57.212675,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.65, 3.092)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:58.240102,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.6, 3.3066666666666666)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:06:59.315345,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.6, 3.3066666666666666)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:00.469785,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.6, 3.384)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:01.540485,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.384)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:02.619154,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.384)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:03.673536,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.384)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:04.770112,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.3440000000000003)","(4.8, 7.6, 6.3)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.48)"
10-01-2023 15:07:05.835299,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.5, 3.1626666666666665)","(4.8, 7.6, 7.08)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:06.941614,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.1626666666666665)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:08.018998,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.1626666666666665)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:09.184409,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.55, 3.192)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.6)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:10.219364,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.9, 3.3657142857142857)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:11.439199,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.85, 3.544)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:12.562259,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:13.857029,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:15.157509,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:16.404928,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.3733333333333335)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:17.728322,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.092)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:18.819577,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.65, 3.4240000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:19.931666,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.6, 3.4240000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:21.020888,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.6, 3.624)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:22.199102,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.85, 3.337142857142857)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:23.398266,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.8, 3.132)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:24.514541,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:25.643610,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:26.770404,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:27.832174,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:28.948978,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:30.129564,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:31.274858,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:32.330089,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.142857142857142)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:33.367097,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.185714285714286)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:34.339651,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.185714285714286)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:35.472681,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.185714285714286)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:36.629655,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.185714285714286)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:37.779612,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.185714285714286)","(6.5, 11.0, 8.0)"
10-01-2023 15:07:38.930552,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.7, 3.5040000000000004)","(4.8, 7.6, 6.857142857142857)","(3.8, 6.2, 4.271428571428571)","(6.5, 11.0, 8.0)"
