,Cincinati Cyndie,Queen Of Cakes,Little Ripper,Special Was It,Desleys Girl,Commands Respect,Ticket To Venus
11-01-2023 15:04:28.593961,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:29.664649,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:30.749714,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:31.795456,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:32.891179,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:33.912304,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:34.975984,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:36.121218,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:37.230477,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:38.233861,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:39.194839,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:40.220635,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:41.256534,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:42.330475,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:43.452076,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:44.613339,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:45.777857,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 3.105)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:46.870554,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 3.105)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:47.830414,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 3.105)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:48.856258,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 3.105)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:49.807277,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 3.105)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:50.772699,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:51.846037,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:52.882332,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:54.036068,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:55.071495,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:56.168807,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:57.247103,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:58.233247,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:59.241153,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:00.310229,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:01.262034,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:02.359126,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:03.554045,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:04.593259,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:05.586866,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:06.671796,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:07.752125,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:08.752872,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:09.734580,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:10.760329,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:11.880431,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:13.026805,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:14.117462,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:15.219516,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:16.354687,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.5566666666666666)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:17.464893,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:18.455404,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:19.564770,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:20.668512,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:21.690530,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:22.744204,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:23.845637,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:05:24.969748,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:26.130783,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:27.201503,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:28.317264,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:29.433215,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:30.561646,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:31.665378,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:32.688294,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:33.747313,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:34.841285,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:35.894833,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:36.953843,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:38.051256,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:39.183190,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:40.229035,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:41.294940,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:42.395955,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:43.551133,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:44.742166,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:45.869248,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:46.983896,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:48.039168,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:49.126970,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:50.150691,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:51.137767,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 15:05:52.184715,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 504.5454545454545)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.590909090909093)","(2.5, 3.35, 2.7044444444444444)","(21.0, 95.0, 53.888888888888886)"
