,Zulu Rufus,Awesome Orson,Blink You Lose,Teragram Finale,Robell Magic,King Cujo
10-01-2023 20:11:30.639722,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.82, 2.3699999999999997)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:31.569085,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.82, 2.3699999999999997)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:32.481179,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.82, 2.3699999999999997)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:33.372175,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.82, 2.34)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:34.417551,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:35.381657,"(31.0, 340.0, 95.0)","(13.0, 60.0, 37.5)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:36.268050,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:37.198460,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:38.131075,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:39.086030,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 11.718181818181819)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:40.031701,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 11.718181818181819)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:40.921323,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.0, 13.233333333333334)","(2.2, 2.78, 2.335555555555555)","(7.5, 14.0, 10.88)"
10-01-2023 20:11:41.808517,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.4254545454545453)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:42.729749,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.4254545454545453)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:43.636444,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.408)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:44.521579,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.408)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:45.445466,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.408)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:46.405866,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.76, 2.413333333333333)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:47.299904,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:48.189815,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:49.110903,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:50.100339,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 15.5, 12.15)"
10-01-2023 20:11:51.061460,"(31.0, 340.0, 95.0)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 15.5, 10.24)"
10-01-2023 20:11:52.019123,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 16.0, 11.6)"
10-01-2023 20:11:52.954826,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.0)","(2.15, 2.62, 2.2263157894736842)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.74, 2.413333333333333)","(7.5, 16.0, 11.6)"
10-01-2023 20:11:53.857562,"(31.0, 350.0, 199.0)","(13.0, 80.0, 61.666666666666664)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.0, 13.25)"
10-01-2023 20:11:54.782529,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.0, 14.208333333333332)"
10-01-2023 20:11:55.705394,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:11:56.592420,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:11:57.608729,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:11:58.605564,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:11:59.504562,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.4)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:00.394545,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.68, 2.3955555555555557)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:01.367974,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.66, 2.3955555555555557)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:02.323566,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.66, 2.3955555555555557)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:03.257079,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.66, 2.3955555555555557)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:04.248325,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.66, 2.3955555555555557)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:05.206326,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.64, 2.353684210526316)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:06.174232,"(31.0, 350.0, 199.0)","(13.0, 80.0, 72.28571428571428)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.64, 2.353684210526316)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:07.143203,"(31.0, 350.0, 108.4)","(13.0, 80.0, 47.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.64, 2.353684210526316)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:08.037136,"(31.0, 440.0, 244.0)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.64, 2.353684210526316)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:09.023606,"(31.0, 440.0, 247.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:09.983152,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:10.872602,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:11.797787,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.246666666666667)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:12.777402,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:13.732911,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:14.749760,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:15.675178,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.62, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:16.548001,"(31.0, 350.0, 202.5)","(13.0, 95.0, 85.14285714285714)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.788888888888888)","(2.2, 2.72, 2.3866666666666667)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:17.465085,"(31.0, 350.0, 202.5)","(13.0, 60.0, 36.42857142857143)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:18.477989,"(31.0, 350.0, 202.5)","(13.0, 60.0, 36.42857142857143)","(2.15, 2.58, 2.22)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:19.461775,"(31.0, 350.0, 202.5)","(13.0, 60.0, 36.42857142857143)","(2.15, 2.58, 2.210769230769231)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:20.449768,"(31.0, 350.0, 202.5)","(13.0, 60.0, 36.42857142857143)","(2.15, 2.58, 2.210769230769231)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:21.435187,"(31.0, 350.0, 202.5)","(13.0, 60.0, 36.42857142857143)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:22.410747,"(31.0, 350.0, 202.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:23.346952,"(31.0, 350.0, 202.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:24.222116,"(31.0, 350.0, 202.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.6, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:25.235432,"(31.0, 450.0, 134.0)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:26.260083,"(31.0, 440.0, 247.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:27.259631,"(31.0, 440.0, 247.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:28.162045,"(31.0, 440.0, 247.5)","(13.0, 60.0, 45.0)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:29.025331,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:30.036674,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:30.962313,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:31.862043,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.58, 2.3777777777777778)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:32.832300,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.88, 2.382222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:33.856744,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.88, 2.4355555555555553)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:34.857943,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:35.751075,"(31.0, 440.0, 247.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:36.657568,"(31.0, 450.0, 134.0)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:37.577825,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:38.463802,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:39.362326,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:40.256770,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:41.221617,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4157894736842103)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:42.219113,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.82, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:43.153324,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.23)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:44.094966,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:45.029785,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:45.952216,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:46.885211,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:47.774632,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:48.701877,"(31.0, 340.0, 102.5)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:49.714576,"(31.0, 340.0, 193.0)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:50.588093,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 39.44444444444444)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.8, 2.4779999999999998)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:51.421207,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.86, 2.6875862068965515)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:52.415147,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.58, 2.2600000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.86, 2.482222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:53.381597,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.58, 2.2680000000000002)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.482222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:54.380854,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.62, 2.3492307692307692)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.482222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:55.307411,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.94, 2.2694117647058825)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.482222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:56.251782,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.92, 2.591111111111111)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.482222222222222)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:57.173475,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.9, 2.66)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.4375)","(7.5, 16.5, 14.208333333333332)"
10-01-2023 20:12:58.032166,"(31.0, 340.0, 96.66666666666666)","(13.0, 60.0, 35.714285714285715)","(2.15, 2.9, 2.868181818181818)","(8.0, 15.5, 12.45)","(2.2, 2.84, 2.4375)","(7.5, 16.5, 14.208333333333332)"
