,Wedding Night,Just One Good One Nz,Looks Just Right,Keayang Sponge Bob,Bella Godiva,Todays Hero,Trioli,Chang,Man Of Action Nz,Tulhurst Cuddles
06-01-2023 13:03:42.026884,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:43.472521,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:44.888141,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:46.507657,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:48.385035,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:50.055087,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:51.745417,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:53.512020,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:55.232709,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:56.995410,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:58.659825,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:00.276230,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:01.839218,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:03.447590,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:05.012735,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:06.625139,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:08.150712,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:09.627404,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:11.197672,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:12.655187,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:14.129846,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:15.804061,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:17.661832,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:19.540107,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:21.365192,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:23.198664,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:25.092498,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:26.952773,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:28.689904,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:30.378610,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:31.995754,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:33.512014,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:34.976710,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:36.501134,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:37.935193,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:39.417667,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:40.911347,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:42.366692,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:43.857938,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:45.147533,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:46.395643,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:47.711742,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:49.355384,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:50.801511,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:52.189805,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:53.583353,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:55.161167,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:56.469537,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:57.709664,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:04:58.880192,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:00.111793,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:01.394922,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:02.626066,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:03.785856,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:04.967632,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:06.185628,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:07.372078,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:08.767515,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:09.928321,"(51.0, 190.0, 106.66666666666666)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:11.157655,"(51.0, 190.0, 106.66666666666666)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6475)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:05:12.936729,"(51.0, 190.0, 106.66666666666666)","(5.5, 99999, 99990)","(2.45, 2.68, 2.625)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.4, 4.699999999999999)"
06-01-2023 13:05:14.335225,"(51.0, 190.0, 106.66666666666666)","(5.5, 99999, 99990)","(2.45, 2.68, 2.625)","(5.0, 6.8, 6.56)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 43.0)","(18.0, 38.0, 24.666666666666668)","(61.0, 210.0, 120.0)","(15.0, 99999, 99990)","(4.2, 5.4, 4.699999999999999)"
