,Bandit Butch,Turbulence,Star Present,Start Packing,Nangar Molly,Apollos Fire,Rocking Jewel
09-01-2023 18:14:26.431392,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.05)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:27.646336,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.05)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:28.880172,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:30.087886,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:31.280238,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:32.377413,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:33.332331,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:34.456019,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:35.555156,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:36.693903,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:37.871194,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:39.081962,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:40.167809,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:41.235894,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:42.260219,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:43.234028,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:44.255127,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:45.341916,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:46.463980,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:47.580788,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:48.697805,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:49.815383,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:50.926720,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:52.123818,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.046153846153846)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:53.230191,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:54.267675,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:55.361859,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:56.417460,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:57.421688,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:58.433600,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:59.462545,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:00.546660,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:01.611029,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:02.681207,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.275)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:03.803193,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 7.9)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:04.886531,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:06.027372,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:07.055514,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:08.153258,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:09.241768,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:10.359573,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:11.415556,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:12.488752,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:13.556320,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:14.597587,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:15.647667,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:16.694826,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:17.709736,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:18.748554,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:19.745276,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:20.815167,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:21.896202,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:23.049654,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:24.147121,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:25.223978,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:26.300789,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:27.347102,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:28.355894,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:29.342647,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.096153846153846)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:30.370766,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:31.389976,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:32.426636,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 13.071428571428571)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:33.459828,"(2.4, 3.5, 2.704615384615385)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 15.5, 11.938461538461539)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:34.514032,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.938461538461539)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:35.534063,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.938461538461539)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:36.581673,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.511764705882353)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.938461538461539)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:37.649541,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.84)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:38.754625,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.84)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:39.813711,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.84)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:40.922645,"(2.4, 3.5, 2.8733333333333335)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.84)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:42.031953,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.84)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:43.133451,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:44.202526,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:45.313938,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:46.291659,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:47.292304,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:48.306239,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:49.360673,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:50.478189,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:51.598369,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:52.690273,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 107.77777777777777)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:53.776334,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 78.57142857142857)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
09-01-2023 18:15:54.900642,"(2.4, 3.4, 2.7466666666666666)","(21.0, 210.0, 79.28571428571428)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 3.752173913043478)","(3.6, 5.2, 3.84375)","(6.5, 16.5, 13.466666666666667)","(31.0, 230.0, 107.5)"
