,Jungle Warrior,Never Compromise,Uncle Jerome,Sir Rockport,Elvirus,Classy Solution,Positive Phil
06-01-2023 12:11:09.481800,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.407142857142857)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:10.509165,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.407142857142857)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:11.587305,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.407142857142857)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:12.652783,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.407142857142857)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:13.694777,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.26)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:14.711015,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.3)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:15.723331,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:16.753330,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:17.830714,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:18.935536,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:20.060910,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:21.202026,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:22.281425,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:23.234677,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.14375)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:24.237208,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:25.269276,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:26.298018,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:27.459911,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:28.411785,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:29.358385,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:30.430119,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:31.524302,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:32.677794,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:33.851374,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:34.951201,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:36.011798,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:36.967146,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:37.962413,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:39.012626,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:40.006881,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.695833333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
06-01-2023 12:11:41.052263,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.618181818181818)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:42.006998,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 4.76)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:42.998315,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 5.3)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:43.994709,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.25)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:45.042993,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:46.089148,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:47.180525,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:48.231059,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:49.311330,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.5)"
06-01-2023 12:11:50.365972,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:51.457442,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:52.584282,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:53.591922,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:54.519078,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:55.481777,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:56.570397,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.096153846153846)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:57.637038,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 5.083333333333333)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:58.675642,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.575)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:11:59.726941,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.575)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:12:00.733576,"(11.0, 27.0, 21.2)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.575)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:12:01.777014,"(11.0, 27.0, 21.2)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.575)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.41)"
06-01-2023 12:12:02.841464,"(11.0, 27.0, 21.2)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.3100000000000005)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.41)"
06-01-2023 12:12:03.885544,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.3100000000000005)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.41)"
06-01-2023 12:12:04.905199,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.9, 4.3100000000000005)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:05.996374,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:07.153198,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:08.213704,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:09.329950,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:10.384012,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:11.452418,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:12.422483,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.3833333333333333)"
06-01-2023 12:12:13.482803,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.95, 3.58)"
06-01-2023 12:12:14.594741,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.2, 5.742857142857143)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:15.663311,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:16.706880,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:17.748310,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:18.912267,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:20.062501,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:21.231866,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:22.323744,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:23.331585,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:24.340944,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:25.444245,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:26.501499,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:27.544266,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:28.556312,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:29.618001,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:30.736221,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
06-01-2023 12:12:31.880522,"(11.0, 27.0, 17.666666666666668)","(4.8, 6.4, 5.775)","(26.0, 230.0, 187.8)","(2.7, 5.7, 5.1)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.833333333333332)","(2.9, 3.9, 3.58)"
