,Noble Present,Sudden Flare,Treat Me Special,Nannys Mission,Red Lil Shipment,Princess Mia Rose,Blue Bonnie,Great Devotion,Our Golden Colleen,License To Carry
05-01-2023 13:56:29.858482,"(15.0, 18.0, 16.75)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.076923076923077)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:31.203869,"(15.0, 18.0, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.076923076923077)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:32.592827,"(15.0, 18.0, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.076923076923077)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:33.962462,"(15.0, 18.0, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:35.278390,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:36.534458,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:38.008510,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:39.303011,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 39.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:40.530474,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 36.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:41.930110,"(15.0, 17.5, 16.5)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.0600000000000005)","(31.0, 38.0, 34.0)","(31.0, 42.0, 36.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.4, 7.333333333333334)","(19.0, 25.0, 20.0)"
