,Azure Pride,Sarsen,Hello Newman,I Am Pearl,Leisure Games,Outa Taormina,Rosato,Whats Up Honey
14-12-2022 13:20:25.918437,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.907407407407407)"
14-12-2022 13:20:27.130371,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.790322580645162)"
14-12-2022 13:20:28.358617,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.790322580645162)"
14-12-2022 13:20:29.599958,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.790322580645162)"
14-12-2022 13:20:30.832815,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.790322580645162)"
14-12-2022 13:20:31.989878,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.790322580645162)"
14-12-2022 13:20:33.198801,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:34.503592,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:35.929518,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 138.75)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:37.241278,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 300.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:38.461786,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:39.670729,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:40.922819,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:42.125010,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:43.348542,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:44.595261,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:45.819989,"(4.0, 5.6, 5.226666666666667)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:47.084213,"(4.0, 5.6, 5.226666666666667)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.72222222222222)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 114.28571428571428)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
14-12-2022 13:20:48.444116,"(4.0, 5.6, 5.226666666666667)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 18.5, 17.3)","(21.0, 50.0, 34.666666666666664)","(91.0, 290.0, 136.25)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 12.5)"
