,Yamasaki Bale,Crackerjack Nick,Flash Banner,Denominator,Naughty Shorty,Maximum Gracie
10-01-2023 16:44:43.406495,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:44.471875,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:45.464967,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:46.608398,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:47.720869,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:48.656152,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:49.710074,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:50.907287,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:52.060377,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:53.170679,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 33.86363636363636)"
10-01-2023 16:44:54.250838,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:44:55.391323,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:44:56.589349,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:44:57.717920,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:44:58.758759,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:44:59.897350,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:45:01.091097,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 36.0, 33.86363636363636)"
10-01-2023 16:45:02.285659,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:03.370364,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:04.438163,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:05.557449,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:06.700168,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:07.836136,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:08.918818,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:10.028763,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:11.217713,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:12.350557,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:13.484796,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 31.4)"
10-01-2023 16:45:14.557676,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:15.818906,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:17.141977,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:18.310165,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:19.281100,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:20.464418,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:21.698721,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:22.930375,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:24.143209,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:25.345732,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:26.550125,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:27.777188,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:28.931202,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:30.039828,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:31.223384,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:32.422701,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:33.666751,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:34.786601,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:35.809138,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:36.924799,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 6.8)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 30.375)"
10-01-2023 16:45:38.196144,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.2, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 36.0, 21.666666666666668)"
10-01-2023 16:45:39.471511,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:40.597299,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 72.75)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:41.732518,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:42.947246,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:44.076309,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:45.106644,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:46.233894,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:47.458445,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:48.685895,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:49.798920,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:50.857129,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:52.050972,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:53.231799,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:54.399441,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:55.811141,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:57.130633,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:58.381267,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:45:59.577878,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:00.809520,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:02.019160,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.4135135135135135)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:03.142179,"(2.3, 3.45, 2.6953846153846155)","(3.4, 3.9, 3.4540540540540543)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:04.403588,"(2.3, 3.45, 2.6953846153846155)","(3.4, 3.9, 3.4540540540540543)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:05.696994,"(2.3, 3.45, 2.6953846153846155)","(3.4, 3.9, 3.4540540540540543)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:06.802522,"(2.3, 3.45, 2.6953846153846155)","(3.4, 3.9, 3.4540540540540543)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
10-01-2023 16:46:07.833905,"(2.3, 3.45, 2.6953846153846155)","(3.4, 3.9, 3.4540540540540543)","(4.8, 8.6, 7.733333333333333)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 93.0)","(12.0, 38.0, 21.666666666666668)"
