,Born To Lead,Bonnie Rico,Velocity Justice,Whether To Fly,Royal Look,Boom Boom Harley,Disney Cool,Social Impact
10-01-2023 17:32:59.945553,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:01.028307,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:02.080082,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:03.147023,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:04.198048,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:05.299862,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:06.399264,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:07.456510,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:08.520881,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:09.588234,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:10.609169,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:11.641269,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:12.856911,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:13.934005,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:14.997013,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:16.075360,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:17.129252,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:18.186252,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:19.254369,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:20.410188,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:21.556140,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:22.682259,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:23.749942,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:24.815316,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:25.920242,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:27.034849,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:28.175259,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:29.255139,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:30.329172,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:31.352051,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:32.365916,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:33.402662,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:34.446923,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:35.473249,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:36.512840,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:37.580028,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:38.595999,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:39.608569,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:40.718479,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:41.799329,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:42.904906,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:44.022892,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:45.133489,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:46.310572,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:47.472476,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:48.586980,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:49.708820,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:50.781779,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:51.878542,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:52.978263,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:54.051133,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:55.171906,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:56.266778,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:57.343410,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.76)","(5.0, 12.0, 7.7333333333333325)","(4.8, 9.4, 7.4714285714285715)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:58.407150,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.76)","(5.0, 12.0, 7.7333333333333325)","(4.8, 9.4, 5.95)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:33:59.458459,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.076923076923077)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:00.554213,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.76)","(5.0, 12.0, 7.7333333333333325)","(4.8, 9.4, 7.4714285714285715)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:01.646984,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.076923076923077)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 5.95)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:02.708398,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.076923076923077)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 5.95)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:03.745555,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.076923076923077)","(5.0, 12.0, 7.9375)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:04.786248,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 7.076923076923077)","(4.8, 9.4, 7.4714285714285715)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:05.825570,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.76)","(5.0, 12.0, 6.090909090909091)","(4.8, 9.4, 5.95)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:06.853281,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 5.076923076923077)","(5.0, 12.0, 7.5)","(4.8, 9.4, 7.514285714285714)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:07.915571,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.075)","(5.0, 12.0, 7.5)","(4.8, 9.4, 7.514285714285714)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:34:08.977415,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.075)","(5.0, 12.0, 7.5)","(4.8, 9.4, 7.514285714285714)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
