,Studleigh Melise,Logan Reason,Limbo Lilly,Oliveira,Lady Rockabellum,Boldino,Mister Manager,Franco Forza,Tough Talks
14-12-2022 19:37:23.924020,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:25.282067,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:26.689467,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:28.088540,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:29.396557,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:30.733494,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:32.103790,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:33.370444,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:34.711300,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:35.914489,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:37.182123,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:38.510910,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:39.825755,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:41.061009,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.0, 6.330769230769231)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:42.351215,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.0, 6.330769230769231)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:43.718248,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.0, 6.330769230769231)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:45.062551,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.0, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:46.426118,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:47.743467,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:49.089214,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:50.403167,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:51.704036,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:52.950687,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:54.291370,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:37:55.535873,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:37:56.832401,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:37:58.121202,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:37:59.381834,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:00.600948,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:01.824231,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:03.102862,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:04.388713,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:05.580451,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:06.787613,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 17.305882352941175)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 211.17647058823528)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:08.101329,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:09.482138,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:10.774488,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:11.963660,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:13.167767,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:14.525757,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.554545454545455)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:15.907646,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:17.241280,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:18.575438,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:19.814329,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:21.232981,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:22.541899,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:23.837855,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 80.0)"
14-12-2022 19:38:25.119554,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 6.8, 6.35)","(61.0, 350.0, 92.22222222222223)","(15.0, 40.0, 23.75)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 82.5)"
