,Black Roses,Queens Law,Wynburn Dixie,Buckle Up Kaylee,Bridwood Elle,Lektra Linda,Hardaway Nala,Buckle Up Zion
10-01-2023 13:39:04.027682,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:05.241508,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:06.377692,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:07.552896,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:08.723339,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:09.873369,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:10.953615,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:12.062595,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:13.155811,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:14.330154,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:15.522505,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:16.746699,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:17.932118,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:19.167166,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:20.380105,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:21.622478,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:22.833282,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:24.126421,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:25.342914,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:26.547430,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:27.729964,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:28.911452,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:30.258976,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:31.767615,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:33.064795,"(1.45, 2.18, 1.7364705882352942)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:34.334182,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:35.714508,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:37.082408,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:38.501604,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:40.149107,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:41.417774,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:42.606788,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:43.838699,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:45.039435,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:46.325201,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:47.598552,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:48.826517,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:50.092414,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:51.385230,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:52.695933,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:53.969540,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:55.183137,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:56.469955,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:57.704159,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:39:58.938207,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:00.145628,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:01.363782,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:02.610901,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:03.765801,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:04.977567,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:06.179666,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:07.399593,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:08.638552,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:09.928173,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:11.172957,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:12.424178,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:13.686876,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:14.969759,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:16.200965,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:17.527430,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:18.782393,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:20.035611,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:21.288673,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:22.528880,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:23.721887,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:24.932378,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:26.202250,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:27.425178,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
10-01-2023 13:40:28.647770,"(1.45, 2.18, 1.682857142857143)","(41.0, 290.0, 82.18181818181819)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 22.055555555555557)","(41.0, 390.0, 173.3846153846154)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 17.833333333333332)","(5.5, 10.5, 5.733333333333333)"
