,Louie,Inga Sadie,Wichita Bale,Mohinga Chase,Obsession Agogo,Zipping Diesel,Runnin Riot,Autumn Doll
14-12-2022 14:12:12.936765,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:14.088846,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:15.256324,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.25)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:16.393051,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.25)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:17.522329,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.25)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:18.708204,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.25)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:19.877505,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:21.071864,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:22.194970,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:23.382234,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.875)","(17.0, 50.0, 26.363636363636363)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:24.530869,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.875)","(17.0, 50.0, 26.363636363636363)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.82)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:25.647203,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.583333333333334)","(17.0, 50.0, 26.363636363636363)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.82)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:26.710755,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.583333333333334)","(17.0, 50.0, 26.363636363636363)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.82)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:27.838003,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.583333333333334)","(17.0, 50.0, 26.363636363636363)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.82)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:28.939291,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.583333333333334)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:30.079651,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:31.165428,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:32.257243,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:33.344603,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 99.05882352941177)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:34.438479,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:35.583053,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:36.705040,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:37.856924,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:38.979754,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:40.121717,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:41.259936,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:42.362465,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:43.496854,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:44.647398,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:45.732866,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:46.864791,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:47.893683,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:48.975180,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 26.727272727272727)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:50.065236,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 95.88235294117646)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.0)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.777777777777779)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:51.206725,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.222222222222221)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.777777777777779)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:52.432614,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.125)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.777777777777779)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:53.633860,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.125)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:12:54.808182,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 7.75)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:12:55.946866,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.0)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.5)"
14-12-2022 14:12:57.060679,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.933333333333334)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.5)"
14-12-2022 14:12:58.121146,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 8.8)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.666666666666666)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:12:59.417107,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:13:00.610395,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:13:01.842386,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.5)"
14-12-2022 14:13:03.144969,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:13:04.429387,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.777777777777779)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:13:05.769096,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:07.016469,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:08.157110,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:09.191383,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 13.875)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 7.290909090909091)"
14-12-2022 14:13:10.309848,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.777777777777779)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:13:11.440231,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:13:12.656831,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.2)"
14-12-2022 14:13:13.915997,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.5)"
14-12-2022 14:13:15.189038,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.125)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.5)"
14-12-2022 14:13:16.473118,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.4375)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:13:17.733118,"(1.85, 2.06, 2.048407643312102)","(31.0, 170.0, 100.0)","(13.0, 36.0, 22.5625)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.4375)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.36)"
14-12-2022 14:13:18.917635,"(1.85, 2.06, 2.0053125)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 30.0)","(10.0, 21.0, 14.4375)","(6.5, 13.5, 9.033333333333333)","(4.8, 9.8, 6.65)"
14-12-2022 14:13:20.128358,"(1.85, 2.06, 2.0053125)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.65)"
14-12-2022 14:13:21.364100,"(1.85, 2.06, 2.0053125)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.5200000000000005)"
14-12-2022 14:13:22.633434,"(1.85, 2.06, 2.0053125)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.5200000000000005)"
14-12-2022 14:13:23.872968,"(1.85, 2.06, 2.0053125)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:25.133095,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:26.331756,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:27.551796,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:28.767420,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:30.005576,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:31.177666,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:32.405127,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.1)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.666666666666667)"
14-12-2022 14:13:33.717993,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 9.291666666666668)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.12)"
14-12-2022 14:13:35.045139,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 8.0)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.12)"
14-12-2022 14:13:36.364416,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 8.0)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:13:37.623862,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 8.0)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.28)"
14-12-2022 14:13:38.874602,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 8.0)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.28)"
14-12-2022 14:13:40.093781,"(1.85, 2.06, 2.048255033557047)","(31.0, 170.0, 100.0)","(13.0, 36.0, 24.055555555555557)","(7.0, 10.0, 8.333333333333334)","(17.0, 50.0, 32.22222222222222)","(10.0, 21.0, 12.666666666666666)","(6.5, 13.5, 8.3)","(4.8, 9.8, 6.28)"
