,Gethsemane,Shes Miss Orson,Maddie Odd Sock,Boom Boom Ciao,Aston Cristiano,Aussie Annie,Targan Bale,Persuasion
15-12-2022 14:31:51.380049,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:52.653490,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:53.925612,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:55.078686,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:56.299343,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:57.526182,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:58.801969,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:00.095601,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:01.349175,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:02.681038,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:04.449064,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:05.859668,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:07.207784,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:08.396743,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:09.629782,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:10.943595,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:12.385073,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:13.936523,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:15.308709,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:16.619320,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:17.871356,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:19.070818,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:20.339823,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:21.669011,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:22.868964,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.5696296296296297)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:24.068321,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:25.385290,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:26.675938,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:27.881601,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:29.139265,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:30.430258,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:31.705198,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:32.885619,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:34.111005,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:35.409378,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:36.516187,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:37.711640,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:38.846973,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:40.010632,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:41.173050,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:42.294186,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:43.426550,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:32:44.586479,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:45.768791,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:46.929479,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:48.092687,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:49.436624,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:50.793762,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:51.991434,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:53.219368,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
15-12-2022 14:32:54.374120,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.2422222222222223)","(2.9, 4.7, 3.4756521739130433)"
