,Pentegra,San Marino,Francine,Pill Box,Zouhope,The Superintendent,California Blaze,Tsushima,Adament,Last Zerprise,Simply Sparklez,Arachnattack
06-01-2023 16:32:47.437782,"(3.8, 4.5, 4.48)","(11.0, 13.0, 12.682539682539682)","(6.0, 7.0, 6.914893617021277)","(81.0, 140.0, 124.44444444444444)","(20.0, 34.0, 32.43835616438356)","(13.0, 17.0, 16.848837209302324)","(26.0, 34.0, 32.90909090909091)","(101.0, 150.0, 145.45454545454547)","(2.4, 2.82, 2.8049999999999997)","(51.0, 95.0, 85.83333333333333)","(13.0, 21.0, 20.4)","(101.0, 370.0, 334.2857142857143)"
06-01-2023 16:32:49.075838,"(3.8, 4.5, 4.48)","(11.0, 13.0, 12.6875)","(6.0, 7.0, 6.913043478260869)","(81.0, 140.0, 124.44444444444444)","(20.0, 34.0, 32.547770700636946)","(13.0, 17.0, 16.848837209302324)","(26.0, 34.0, 33.05263157894737)","(101.0, 150.0, 145.45454545454547)","(2.4, 2.82, 2.8105263157894735)","(51.0, 95.0, 85.83333333333333)","(13.0, 21.0, 20.32)","(101.0, 370.0, 343.3333333333333)"
06-01-2023 16:32:50.703308,"(3.8, 4.5, 4.48)","(11.0, 13.0, 12.682539682539682)","(6.0, 7.0, 6.913043478260869)","(81.0, 140.0, 126.66666666666667)","(20.0, 34.0, 38.888888888888886)","(13.0, 17.0, 17.025641025641026)","(26.0, 34.0, 32.90909090909091)","(101.0, 150.0, 140.0)","(2.4, 2.82, 2.841176470588235)","(51.0, 95.0, 85.83333333333333)","(13.0, 21.0, 22.055555555555557)","(101.0, 350.0, 353.3333333333333)"
06-01-2023 16:32:52.516692,"(3.8, 4.4, 4.270886075949367)","(11.0, 13.0, 12.875)","(6.0, 7.0, 6.760629921259842)","(81.0, 130.0, 126.66666666666667)","(20.0, 40.0, 42.8235294117647)","(13.0, 17.5, 16.888059701492537)","(26.0, 34.0, 32.869565217391305)","(101.0, 150.0, 132.5)","(2.4, 2.86, 2.851111111111111)","(51.0, 95.0, 85.83333333333333)","(13.0, 23.0, 22.296296296296298)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:32:54.293551,"(3.8, 4.3, 4.260344827586207)","(11.0, 13.0, 12.85)","(6.0, 6.8, 6.392523364485982)","(81.0, 130.0, 126.66666666666667)","(20.0, 44.0, 43.833333333333336)","(13.0, 17.5, 16.794117647058822)","(26.0, 34.0, 32.869565217391305)","(101.0, 140.0, 132.5)","(2.4, 2.86, 2.91)","(51.0, 95.0, 85.29411764705883)","(13.0, 23.0, 22.266666666666666)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:32:56.381649,"(3.8, 4.3, 4.260344827586207)","(11.0, 13.5, 12.85)","(6.0, 6.4, 6.392523364485982)","(81.0, 130.0, 122.5)","(20.0, 44.0, 43.38461538461539)","(13.0, 17.0, 16.8125)","(26.0, 34.0, 32.869565217391305)","(101.0, 140.0, 135.0)","(2.4, 2.92, 2.88051724137931)","(51.0, 95.0, 85.29411764705883)","(13.0, 23.0, 22.266666666666666)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:32:58.372640,"(3.8, 4.3, 4.271604938271605)","(11.0, 13.5, 12.858024691358025)","(6.0, 6.4, 6.36989247311828)","(81.0, 140.0, 126.0)","(20.0, 44.0, 42.588235294117645)","(13.0, 17.5, 16.766666666666666)","(26.0, 34.0, 32.45454545454545)","(101.0, 140.0, 131.25)","(2.4, 2.9, 2.9010666666666665)","(51.0, 95.0, 85.0)","(13.0, 23.0, 22.266666666666666)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:32:59.835017,"(3.8, 4.3, 4.267142857142857)","(11.0, 13.5, 13.418674698795181)","(6.0, 6.4, 6.328455284552846)","(81.0, 130.0, 129.52380952380952)","(21.0, 44.0, 39.473684210526315)","(13.0, 17.0, 16.733333333333334)","(26.0, 34.0, 33.53846153846154)","(101.0, 140.0, 133.33333333333334)","(2.4, 2.94, 2.900909090909091)","(51.0, 95.0, 85.0)","(13.0, 23.0, 22.266666666666666)","(101.0, 370.0, 363.75)"
06-01-2023 16:33:01.425562,"(3.8, 4.3, 4.267142857142857)","(11.0, 13.5, 13.418674698795181)","(6.0, 6.4, 6.328455284552846)","(81.0, 130.0, 136.66666666666666)","(21.0, 40.0, 42.11764705882353)","(13.0, 17.0, 17.205882352941178)","(26.0, 34.0, 33.53846153846154)","(91.0, 140.0, 131.66666666666666)","(2.4, 2.94, 2.895833333333333)","(51.0, 95.0, 85.0)","(14.0, 23.0, 22.135135135135137)","(101.0, 370.0, 363.75)"
06-01-2023 16:33:03.034233,"(3.8, 4.3, 4.1868181818181816)","(11.0, 13.5, 13.6)","(6.0, 6.4, 6.356923076923077)","(81.0, 140.0, 136.66666666666666)","(21.0, 44.0, 41.8)","(13.0, 17.5, 17.205882352941178)","(26.0, 34.0, 33.53846153846154)","(91.0, 140.0, 133.33333333333334)","(2.4, 2.9, 2.912897196261682)","(51.0, 95.0, 85.0)","(14.0, 23.0, 22.2)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:33:04.586889,"(3.8, 4.2, 4.183428571428571)","(11.0, 14.0, 13.6625)","(6.0, 6.4, 6.3254237288135595)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 41.8)","(13.0, 17.5, 17.38888888888889)","(26.0, 34.0, 34.52173913043478)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.92, 2.884489795918367)","(51.0, 95.0, 86.92307692307692)","(14.0, 23.0, 22.285714285714285)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:33:06.053632,"(3.8, 4.2, 4.183428571428571)","(11.0, 14.0, 13.6625)","(6.0, 6.4, 6.3254237288135595)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 41.8)","(13.0, 17.5, 17.15909090909091)","(26.0, 36.0, 34.25)","(101.0, 140.0, 133.33333333333334)","(2.4, 2.9, 2.886428571428571)","(51.0, 95.0, 88.4375)","(14.0, 23.0, 22.25925925925926)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:33:07.534378,"(3.8, 4.2, 4.183428571428571)","(11.0, 14.0, 13.578125)","(6.0, 6.4, 6.3100000000000005)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 41.8)","(13.0, 17.5, 17.15909090909091)","(26.0, 36.0, 34.57142857142857)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.9, 2.867912087912088)","(51.0, 95.0, 88.4375)","(14.0, 23.0, 22.35483870967742)","(101.0, 370.0, 353.3333333333333)"
06-01-2023 16:33:09.093992,"(3.8, 4.2, 4.183040935672515)","(12.0, 14.0, 13.578125)","(6.0, 6.4, 6.294117647058823)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 42.888888888888886)","(13.0, 17.5, 17.15909090909091)","(26.0, 36.0, 34.666666666666664)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.9, 2.8698969072164946)","(51.0, 95.0, 85.0)","(14.0, 23.0, 22.41176470588235)","(101.0, 370.0, 363.75)"
06-01-2023 16:33:10.819777,"(3.8, 4.2, 4.179190751445087)","(12.0, 14.0, 13.62)","(6.0, 6.4, 6.370873786407767)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 42.166666666666664)","(13.0, 17.5, 17.32)","(26.0, 36.0, 34.81481481481482)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.9, 2.8698969072164946)","(51.0, 90.0, 85.0)","(14.0, 23.0, 22.41176470588235)","(101.0, 370.0, 363.75)"
06-01-2023 16:33:12.465163,"(3.8, 4.2, 4.178846153846154)","(12.0, 14.0, 13.430555555555555)","(6.0, 6.4, 6.379816513761468)","(81.0, 140.0, 136.42857142857144)","(21.0, 44.0, 42.72)","(13.0, 17.5, 16.21153846153846)","(26.0, 36.0, 34.81481481481482)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.9, 2.8710489510489507)","(51.0, 90.0, 85.0)","(14.0, 24.0, 23.363636363636363)","(101.0, 370.0, 350.0)"
06-01-2023 16:33:14.029038,"(3.8, 4.2, 4.178846153846154)","(12.0, 13.5, 13.446808510638299)","(6.0, 6.4, 6.235294117647059)","(81.0, 140.0, 138.0)","(21.0, 44.0, 40.89473684210526)","(13.0, 16.5, 17.236842105263158)","(26.0, 36.0, 33.94117647058823)","(101.0, 140.0, 131.66666666666666)","(2.4, 2.9, 2.8816170212765955)","(51.0, 90.0, 85.0)","(14.0, 24.0, 23.363636363636363)","(101.0, 370.0, 350.0)"
06-01-2023 16:33:15.607443,"(3.8, 4.2, 4.171296296296297)","(12.0, 13.5, 13.663716814159292)","(6.0, 6.4, 6.206818181818182)","(81.0, 140.0, 143.33333333333334)","(21.0, 42.0, 40.76470588235294)","(13.0, 17.5, 17.094594594594593)","(26.0, 34.0, 33.18181818181818)","(101.0, 140.0, 133.33333333333334)","(2.4, 2.9, 2.8809734513274337)","(51.0, 90.0, 84.54545454545455)","(14.0, 24.0, 23.444444444444443)","(101.0, 370.0, 280.0)"
06-01-2023 16:33:17.152598,"(3.8, 4.2, 4.171162790697674)","(12.0, 14.0, 13.581632653061224)","(6.0, 6.4, 6.269230769230769)","(81.0, 150.0, 154.0)","(21.0, 42.0, 40.86486486486486)","(13.0, 17.5, 17.137254901960784)","(26.0, 34.0, 33.30769230769231)","(101.0, 140.0, 135.0)","(2.4, 2.9, 2.8946478873239436)","(51.0, 90.0, 85.71428571428571)","(14.0, 24.0, 23.583333333333332)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:18.665238,"(3.8, 4.2, 4.170813397129186)","(12.0, 14.0, 13.557971014492754)","(6.0, 6.4, 6.252032520325203)","(81.0, 160.0, 145.0)","(21.0, 42.0, 40.72727272727273)","(13.0, 17.5, 16.352941176470587)","(26.0, 34.0, 34.083333333333336)","(101.0, 140.0, 135.0)","(2.4, 2.9, 2.9222321428571427)","(51.0, 90.0, 85.71428571428571)","(14.0, 24.0, 23.558823529411764)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:20.276298,"(3.8, 4.2, 4.170813397129186)","(12.0, 14.0, 13.818548387096774)","(6.0, 6.4, 6.277192982456141)","(81.0, 160.0, 145.0)","(21.0, 42.0, 40.5)","(13.0, 16.5, 16.38372093023256)","(26.0, 36.0, 34.526315789473685)","(101.0, 140.0, 132.66666666666666)","(2.4, 2.94, 2.9377142857142857)","(51.0, 90.0, 85.0)","(14.0, 24.0, 23.594594594594593)","(101.0, 300.0, 266.6666666666667)"
06-01-2023 16:33:21.800049,"(3.7, 4.2, 4.14066985645933)","(12.0, 14.0, 13.637096774193548)","(6.0, 6.4, 6.277192982456141)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.25)","(14.0, 16.5, 16.44736842105263)","(26.0, 36.0, 34.55172413793103)","(101.0, 150.0, 134.0)","(2.4, 2.94, 2.9399249530956846)","(51.0, 90.0, 85.0)","(14.0, 24.0, 23.594594594594593)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:23.353390,"(3.7, 4.2, 4.133783783783784)","(12.0, 14.0, 13.415492957746478)","(6.0, 6.4, 6.265000000000001)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.25)","(14.0, 16.5, 16.485714285714284)","(26.0, 36.0, 33.2)","(101.0, 140.0, 135.83333333333334)","(2.4, 2.94, 2.942265625)","(51.0, 90.0, 85.0)","(14.0, 24.0, 23.594594594594593)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:24.890256,"(3.8, 4.2, 4.128957528957529)","(12.0, 13.5, 13.415492957746478)","(6.0, 6.4, 6.263414634146342)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.25)","(14.0, 17.0, 16.485714285714284)","(26.0, 34.0, 33.0)","(101.0, 140.0, 135.83333333333334)","(2.4, 2.96, 2.944578313253012)","(51.0, 90.0, 84.28571428571429)","(14.0, 24.0, 23.464285714285715)","(101.0, 300.0, 293.3333333333333)"
06-01-2023 16:33:26.461823,"(3.8, 4.2, 4.1386885245901635)","(12.0, 13.5, 13.404761904761905)","(6.0, 6.4, 6.269642857142857)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.0)","(14.0, 17.0, 16.85)","(26.0, 34.0, 32.77777777777778)","(101.0, 140.0, 135.83333333333334)","(2.4, 2.96, 2.9449411764705884)","(51.0, 90.0, 85.45454545454545)","(14.0, 24.0, 22.647058823529413)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:27.969675,"(3.7, 4.2, 4.138486842105263)","(12.0, 13.5, 13.40625)","(6.0, 6.4, 6.269642857142857)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.0)","(13.0, 17.0, 16.85)","(26.0, 34.0, 32.77777777777778)","(101.0, 140.0, 135.83333333333334)","(2.4, 2.96, 2.9449411764705884)","(51.0, 90.0, 85.45454545454545)","(14.0, 23.0, 22.647058823529413)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:29.440083,"(3.7, 4.2, 4.137638376383764)","(12.0, 13.5, 13.40625)","(6.0, 6.4, 6.313939393939394)","(81.0, 160.0, 145.0)","(21.0, 42.0, 41.0)","(13.0, 17.0, 16.71818181818182)","(26.0, 34.0, 32.666666666666664)","(101.0, 140.0, 138.23529411764707)","(2.4, 2.96, 2.94109243697479)","(51.0, 90.0, 85.0)","(14.0, 23.0, 22.466666666666665)","(101.0, 300.0, 280.0)"
06-01-2023 16:33:30.931904,"(3.7, 4.2, 4.136437246963562)","(12.0, 13.5, 13.333333333333334)","(6.0, 6.4, 6.305960264900662)","(81.0, 160.0, 138.1818181818182)","(21.0, 42.0, 40.4)","(13.0, 17.5, 16.82608695652174)","(26.0, 34.0, 32.74285714285714)","(101.0, 140.0, 133.33333333333334)","(2.45, 2.96, 2.9403076923076923)","(51.0, 90.0, 83.57142857142857)","(14.0, 23.0, 22.636363636363637)","(101.0, 300.0, 294.2857142857143)"
06-01-2023 16:33:32.414894,"(3.7, 4.2, 4.107100591715976)","(12.0, 13.5, 13.345238095238095)","(6.0, 6.4, 6.283769633507854)","(81.0, 160.0, 147.40740740740742)","(21.0, 42.0, 40.27906976744186)","(13.0, 17.5, 16.58823529411765)","(26.0, 34.0, 32.529411764705884)","(101.0, 140.0, 134.28571428571428)","(2.45, 2.96, 2.939755102040816)","(51.0, 90.0, 82.5)","(14.0, 23.0, 22.41176470588235)","(101.0, 300.0, 292.5)"
06-01-2023 16:33:33.868084,"(3.7, 4.3, 4.211764705882353)","(12.0, 13.5, 13.371794871794872)","(6.0, 6.4, 6.124223602484472)","(81.0, 160.0, 136.31578947368422)","(21.0, 42.0, 40.629629629629626)","(14.0, 17.0, 16.58823529411765)","(26.0, 34.0, 32.56521739130435)","(101.0, 140.0, 124.28571428571429)","(2.45, 2.94, 2.942509505703422)","(51.0, 85.0, 83.125)","(14.0, 23.0, 23.238095238095237)","(101.0, 360.0, 324.44444444444446)"
06-01-2023 16:33:35.369080,"(3.7, 4.2, 4.166091954022988)","(12.0, 14.0, 13.5625)","(6.0, 6.2, 6.081944444444445)","(81.0, 160.0, 142.0)","(21.0, 42.0, 40.78688524590164)","(14.0, 17.0, 16.54385964912281)","(26.0, 34.0, 32.765957446808514)","(101.0, 150.0, 131.42857142857142)","(2.45, 2.96, 2.9439330543933053)","(51.0, 85.0, 83.5)","(14.0, 24.0, 23.458333333333332)","(101.0, 360.0, 297.5)"
06-01-2023 16:33:36.918590,"(3.7, 4.2, 4.188479262672812)","(12.0, 14.0, 13.522727272727273)","(6.0, 6.2, 6.081944444444445)","(91.0, 150.0, 145.0)","(26.0, 42.0, 40.766666666666666)","(14.0, 17.0, 16.717391304347824)","(31.0, 34.0, 34.17391304347826)","(101.0, 140.0, 123.33333333333333)","(2.45, 2.96, 2.94206106870229)","(51.0, 85.0, 83.63636363636364)","(14.0, 24.0, 23.59375)","(101.0, 350.0, 294.0)"
06-01-2023 16:33:38.579645,"(3.7, 4.2, 4.188479262672812)","(12.0, 13.5, 13.414285714285715)","(6.0, 6.2, 6.081944444444445)","(91.0, 150.0, 145.0)","(26.0, 42.0, 40.766666666666666)","(14.0, 17.0, 16.717391304347824)","(31.0, 36.0, 34.17391304347826)","(101.0, 130.0, 123.33333333333333)","(2.45, 2.96, 2.94206106870229)","(51.0, 85.0, 83.63636363636364)","(14.0, 24.0, 23.59375)","(101.0, 350.0, 294.0)"
06-01-2023 16:33:40.133182,"(3.7, 4.3, 4.271111111111111)","(12.0, 13.0, 12.916666666666666)","(6.0, 6.0, 5.9192307692307695)","(91.0, 150.0, 147.27272727272728)","(26.0, 42.0, 41.07142857142857)","(14.0, 16.0, 16.294117647058822)","(31.0, 36.0, 34.86666666666667)","(101.0, 130.0, 127.5)","(2.45, 2.96, 2.924569892473118)","(51.0, 85.0, 86.0)","(14.0, 25.0, 24.454545454545453)","(101.0, 340.0, 335.0)"
06-01-2023 16:33:41.592864,"(3.7, 4.3, 4.271111111111111)","(12.0, 13.0, 13.056818181818182)","(6.0, 6.0, 5.930747922437673)","(91.0, 160.0, 147.27272727272728)","(26.0, 42.0, 41.14754098360656)","(14.0, 17.0, 16.2)","(31.0, 36.0, 35.57142857142857)","(101.0, 130.0, 128.0)","(2.45, 2.94, 2.8831901840490795)","(51.0, 90.0, 87.05882352941177)","(14.0, 25.0, 24.444444444444443)","(101.0, 380.0, 330.0)"
06-01-2023 16:33:42.990749,"(3.7, 4.4, 4.34)","(12.0, 13.5, 13.056818181818182)","(5.5, 6.0, 5.930747922437673)","(91.0, 160.0, 147.27272727272728)","(26.0, 42.0, 40.97959183673469)","(14.0, 17.0, 16.42105263157895)","(31.0, 36.0, 35.55555555555556)","(91.0, 130.0, 134.44444444444446)","(2.45, 2.9, 2.873202614379085)","(51.0, 90.0, 87.05882352941177)","(14.0, 25.0, 23.7027027027027)","(101.0, 360.0, 325.0)"
06-01-2023 16:33:44.463441,"(3.7, 4.4, 4.352727272727273)","(12.0, 13.5, 12.976635514018692)","(5.5, 6.2, 6.0359375)","(91.0, 160.0, 147.27272727272728)","(26.0, 42.0, 41.01960784313725)","(14.0, 16.5, 16.46153846153846)","(31.0, 36.0, 33.523809523809526)","(91.0, 150.0, 135.26315789473685)","(2.45, 2.88, 2.9302380952380953)","(51.0, 90.0, 87.22222222222223)","(14.0, 25.0, 23.823529411764707)","(101.0, 360.0, 304.0)"
06-01-2023 16:33:46.064980,"(3.7, 4.3, 4.226619964973731)","(11.0, 13.5, 12.936)","(5.5, 6.2, 6.074251497005988)","(91.0, 160.0, 147.27272727272728)","(26.0, 42.0, 40.958333333333336)","(14.0, 16.5, 16.45945945945946)","(31.0, 34.0, 33.61538461538461)","(101.0, 150.0, 136.66666666666666)","(2.45, 2.94, 2.9649032258064514)","(51.0, 90.0, 87.61904761904762)","(15.0, 24.0, 23.85)","(101.0, 360.0, 297.77777777777777)"
06-01-2023 16:33:47.585426,"(3.7, 4.2, 4.058674188998589)","(11.0, 13.0, 13.057377049180328)","(5.5, 6.2, 6.087459807073955)","(91.0, 160.0, 147.82608695652175)","(26.0, 42.0, 40.57142857142857)","(14.0, 16.5, 16.464285714285715)","(31.0, 34.0, 33.642857142857146)","(101.0, 150.0, 142.35294117647058)","(2.45, 2.98, 2.9522857142857144)","(51.0, 90.0, 88.21428571428572)","(15.0, 24.0, 23.88888888888889)","(101.0, 360.0, 297.77777777777777)"
06-01-2023 16:33:49.078666,"(3.7, 4.1, 4.057379310344827)","(11.0, 13.5, 13.206766917293233)","(5.5, 6.2, 6.088888888888889)","(91.0, 160.0, 148.0)","(26.0, 42.0, 40.648648648648646)","(14.0, 16.5, 16.613636363636363)","(31.0, 34.0, 34.166666666666664)","(101.0, 150.0, 144.0)","(2.45, 2.96, 2.9686530612244897)","(51.0, 90.0, 87.5)","(15.0, 24.0, 24.457142857142856)","(101.0, 360.0, 320.0)"
06-01-2023 16:33:50.650077,"(3.8, 4.1, 4.06289592760181)","(11.0, 13.5, 13.345161290322581)","(5.5, 6.2, 5.891408114558473)","(91.0, 150.0, 147.82608695652175)","(26.0, 42.0, 41.0)","(14.0, 17.0, 16.78813559322034)","(31.0, 36.0, 33.967213114754095)","(101.0, 150.0, 145.0)","(2.45, 2.98, 2.987208121827411)","(51.0, 90.0, 86.16666666666667)","(15.0, 25.0, 25.5)","(101.0, 350.0, 315.0)"
06-01-2023 16:33:52.117667,"(3.8, 4.1, 4.053239929947461)","(11.0, 13.5, 13.337837837837839)","(5.5, 5.9, 5.879510022271715)","(91.0, 160.0, 146.0)","(26.0, 42.0, 41.0)","(14.0, 17.0, 16.953488372093023)","(31.0, 36.0, 33.9622641509434)","(101.0, 150.0, 145.2941176470588)","(2.45, 3.0, 3.020408163265306)","(51.0, 90.0, 86.33333333333333)","(15.0, 26.0, 26.0)","(101.0, 350.0, 330.0)"
06-01-2023 16:33:53.674203,"(3.8, 4.1, 4.03118556701031)","(11.0, 13.5, 13.287581699346406)","(5.5, 5.9, 5.879166666666667)","(91.0, 160.0, 146.0)","(26.0, 42.0, 41.1)","(14.0, 17.0, 16.958333333333332)","(31.0, 36.0, 34.13793103448276)","(101.0, 150.0, 144.73684210526315)","(2.45, 3.05, 3.0425655976676382)","(51.0, 90.0, 86.5625)","(15.0, 27.0, 26.157894736842106)","(101.0, 350.0, 330.0)"
06-01-2023 16:33:55.169788,"(3.8, 4.1, 3.9613636363636364)","(11.0, 13.5, 13.372093023255815)","(5.5, 5.9, 5.890953545232274)","(91.0, 160.0, 150.45454545454547)","(26.0, 42.0, 41.42857142857143)","(14.0, 17.0, 17.138297872340427)","(31.0, 36.0, 34.32258064516129)","(101.0, 150.0, 145.78947368421052)","(2.45, 3.05, 3.075739644970414)","(51.0, 90.0, 86.80555555555556)","(15.0, 27.0, 26.6)","(101.0, 350.0, 335.0)"
06-01-2023 16:33:56.704149,"(3.7, 3.95, 3.9)","(11.0, 13.5, 13.301587301587302)","(5.5, 5.9, 5.898771498771499)","(91.0, 160.0, 148.33333333333334)","(26.0, 42.0, 40.7)","(14.0, 17.5, 17.133333333333333)","(31.0, 36.0, 34.74698795180723)","(101.0, 150.0, 144.28571428571428)","(2.5, 3.1, 3.112264150943396)","(51.0, 90.0, 83.78378378378379)","(16.0, 27.0, 26.555555555555557)","(101.0, 350.0, 342.22222222222223)"
06-01-2023 16:33:58.191399,"(3.7, 3.9, 3.892372881355932)","(11.0, 13.5, 13.301587301587302)","(5.5, 5.9, 5.909251968503938)","(91.0, 150.0, 143.44827586206895)","(26.0, 42.0, 41.10344827586207)","(14.0, 17.5, 17.24390243902439)","(31.0, 36.0, 34.9873417721519)","(101.0, 150.0, 132.85714285714286)","(2.5, 3.15, 3.1194444444444445)","(51.0, 90.0, 84.24242424242425)","(16.0, 27.0, 26.75)","(101.0, 350.0, 315.0)"
