,Miracle Mikey,My Maddy,Perseus,Exit Sign,Vlasta Bale,London Berry,Pyrenees Chateau
09-01-2023 10:02:20.214685,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:21.268403,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 5.885714285714286)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:22.335044,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 5.623529411764705)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:23.314237,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.228571428571428)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:24.224863,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.228571428571428)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:25.250685,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 5.063157894736841)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:26.311405,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:27.316621,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:28.411254,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 75.0, 40.625)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:29.479893,"(3.8, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.1)"
09-01-2023 10:02:30.570510,"(3.8, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.1)"
09-01-2023 10:02:31.702724,"(3.8, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.1)"
09-01-2023 10:02:32.845994,"(3.8, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.1)"
09-01-2023 10:02:33.915842,"(3.8, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.2375)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.4)"
09-01-2023 10:02:34.929805,"(3.8, 5.4, 4.5600000000000005)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 46.0)","(8.0, 17.0, 15.133333333333333)","(5.0, 8.0, 6.661764705882353)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.0125)"
09-01-2023 10:02:36.041612,"(3.8, 5.4, 5.280645161290323)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:37.096368,"(3.8, 5.4, 4.68)","(3.2, 6.6, 4.566666666666666)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:38.147207,"(3.8, 5.4, 4.68)","(3.2, 6.6, 5.074999999999999)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:39.190439,"(3.8, 5.4, 4.68)","(3.2, 7.2, 4.071428571428571)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:40.189170,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.7)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:41.131981,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.7)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:42.096108,"(3.8, 5.4, 4.68)","(3.2, 7.0, 6.072727272727272)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:43.072895,"(3.8, 5.4, 4.68)","(3.2, 7.0, 6.184)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:44.042937,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:45.047406,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:46.112844,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:47.138580,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:48.112564,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:49.112915,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 40.625)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.7214285714285715)"
09-01-2023 10:02:50.015563,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 46.0)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 8.6, 5.063157894736841)","(6.5, 11.0, 7.7214285714285715)"
09-01-2023 10:02:50.994164,"(3.8, 5.4, 4.771428571428572)","(3.2, 7.0, 4.766666666666667)","(31.0, 75.0, 46.0)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.2555555555555555)","(4.2, 8.6, 4.842105263157895)","(6.5, 11.0, 7.7214285714285715)"
09-01-2023 10:02:51.991748,"(3.8, 5.4, 4.771428571428572)","(3.2, 7.0, 4.766666666666667)","(31.0, 80.0, 48.5)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.5, 11.0, 9.233333333333334)"
09-01-2023 10:02:53.044191,"(3.8, 5.4, 4.68)","(3.2, 7.0, 4.766666666666667)","(31.0, 80.0, 44.375)","(8.0, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.5, 11.0, 7.1)"
09-01-2023 10:02:54.101875,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:55.207132,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:56.330086,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:57.408663,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:58.392083,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:59.315510,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:00.295611,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:01.213239,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:02.207912,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.072727272727272)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:03.219355,"(3.7, 5.4, 4.68)","(3.1, 7.0, 6.0760000000000005)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.136842105263158)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:04.282126,"(3.7, 5.4, 4.68)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.6, 5.031578947368421)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:05.322322,"(3.7, 5.4, 4.68)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:06.269196,"(3.7, 5.4, 4.68)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 7.1)"
09-01-2023 10:03:07.208167,"(3.7, 5.4, 4.68)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 6.663636363636364)"
09-01-2023 10:03:08.169321,"(3.7, 5.4, 4.771428571428572)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 48.5)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 4.9125)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 6.65)"
09-01-2023 10:03:09.161425,"(3.7, 5.4, 4.771428571428572)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 48.5)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 4.9125)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 6.65)"
09-01-2023 10:03:10.084388,"(3.7, 5.4, 4.771428571428572)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 48.5)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 4.9125)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 9.0125)"
09-01-2023 10:03:11.141119,"(3.7, 5.4, 5.280645161290323)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 9.233333333333334)"
09-01-2023 10:03:12.200657,"(3.7, 5.4, 5.280645161290323)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.0, 7.225)"
09-01-2023 10:03:13.324056,"(3.7, 5.4, 5.280645161290323)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.5, 7.225)"
09-01-2023 10:03:14.341862,"(3.7, 5.4, 5.280645161290323)","(3.1, 7.0, 4.466666666666667)","(26.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.0, 11.5, 7.225)"
09-01-2023 10:03:15.427124,"(3.8, 5.4, 5.280645161290323)","(3.2, 7.0, 4.466666666666667)","(31.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.5, 11.5, 7.225)"
09-01-2023 10:03:16.417343,"(3.8, 5.7, 4.797000000000001)","(3.2, 7.0, 4.466666666666667)","(31.0, 80.0, 44.375)","(7.5, 17.0, 15.133333333333333)","(5.0, 8.0, 5.053333333333333)","(4.2, 8.2, 5.031578947368421)","(6.5, 11.5, 7.225)"
