,Alta Magacian Nz,English Dance,Miki Magic,Rockon Allie,Sarasun,Mister Domingo,Whos To Blame
16-12-2022 11:50:14.792951,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.0, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:16.199794,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:17.698770,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:19.083955,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:20.272639,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:21.493138,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:22.644231,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:23.817363,"(2.5, 99999, 99990)","(4.8, 5.3, 6.466666666666667)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:25.084431,"(2.5, 99999, 99990)","(4.8, 7.2, 7.148484848484848)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:26.238926,"(2.5, 99999, 99990)","(4.8, 7.2, 7.148484848484848)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:27.457519,"(2.5, 99999, 99990)","(4.8, 7.2, 7.148484848484848)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:28.646131,"(2.5, 99999, 99990)","(4.8, 7.2, 6.65)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:29.821306,"(2.5, 99999, 99990)","(4.8, 7.0, 6.2)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:31.161159,"(2.5, 99999, 99990)","(4.8, 7.0, 6.525)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:32.478191,"(2.5, 99999, 99990)","(4.8, 7.0, 6.525)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:33.697139,"(2.5, 99999, 99990)","(4.8, 7.0, 5.884615384615384)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:34.925399,"(2.5, 99999, 99990)","(4.8, 6.8, 5.884615384615384)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:36.152970,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:37.293888,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.588888888888889)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:38.530454,"(2.5, 99999, 99990)","(4.8, 6.6, 5.96)","(4.4, 6.0, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:39.827690,"(2.5, 99999, 99990)","(4.8, 6.6, 5.96)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:41.146993,"(2.5, 99999, 99990)","(4.8, 6.6, 5.884615384615384)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:42.549793,"(2.5, 99999, 99990)","(4.8, 6.8, 5.884615384615384)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:43.952740,"(2.5, 99999, 99990)","(4.8, 6.8, 5.884615384615384)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:45.303496,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:46.604890,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:47.863624,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:49.053794,"(2.5, 99999, 99990)","(4.8, 6.8, 5.9)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:50.518804,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:51.822242,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:53.114546,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:54.326996,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:55.606832,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:56.800216,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:57.951353,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:59.101731,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:00.378243,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:01.783613,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:03.143621,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.58)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:04.605547,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.58)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:05.955263,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.58)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:07.475287,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.58)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:08.745090,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:09.934053,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:11.176017,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:12.430720,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:13.725051,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:15.004885,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:16.202293,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:17.412320,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:18.725191,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:20.081692,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:21.444741,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:22.811658,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:24.202118,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:25.611736,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.5)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:27.100405,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.5)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:28.492551,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.5)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:30.099786,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:31.761226,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:33.120678,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:34.471989,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:35.791377,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:37.122349,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:38.448097,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:39.770768,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:41.512258,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:42.956954,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:44.379442,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:51:45.823149,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:47.643284,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:49.109872,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:50.458231,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.455555555555556)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:51.909048,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.455555555555556)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:53.326550,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 5.455555555555556)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:54.736167,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.0, 6.05)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.375)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:56.162973,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.8, 6.05)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 12.3)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:57.615544,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.8, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.5, 12.3)","(91.0, 280.0, 230.0)"
16-12-2022 11:51:58.950834,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.5, 12.3)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:00.408400,"(2.5, 99999, 99990)","(4.8, 6.8, 5.54)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.5, 12.3)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:02.205449,"(2.5, 99999, 99990)","(4.8, 6.8, 6.199999999999999)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.5, 13.25)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:04.125996,"(2.5, 99999, 99990)","(4.8, 6.6, 6.2)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 13.25)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:05.645448,"(2.5, 99999, 99990)","(4.8, 7.0, 6.2)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 13.25)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:07.060016,"(2.5, 99999, 99990)","(4.8, 7.0, 6.2)","(4.4, 6.6, 5.949999999999999)","(51.0, 150.0, 113.33333333333334)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 13.25)","(91.0, 280.0, 230.0)"
16-12-2022 11:52:08.564062,"(2.5, 99999, 99990)","(4.8, 7.0, 6.2)","(4.4, 6.6, 5.949999999999999)","(51.0, 130.0, 105.0)","(3.1, 4.5, 4.183333333333334)","(10.0, 15.0, 13.25)","(91.0, 280.0, 230.0)"
