,Bonnies Beast,Fabriola Duran,Dioptase,Taltarni Black,Doonside Shadow,She Has Zip,Phoenix Flight,Crackerjack Lach
04-01-2023 15:07:05.375501,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:06.669249,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:08.002371,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:09.371011,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:10.764955,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:12.045973,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:13.406097,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:14.673831,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:15.954335,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:17.283334,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:18.538371,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:19.744522,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:20.998368,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:22.276536,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:23.557135,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:24.824817,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:26.149678,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:27.443845,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:28.707677,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:30.045376,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:31.568225,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:33.257442,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:34.836657,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:36.410183,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:37.831535,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:39.223488,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:40.515298,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:41.759830,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:42.946383,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:44.203701,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:45.471250,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:46.614245,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:47.785197,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:49.017134,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:50.267388,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:51.592345,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:52.938686,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:54.356873,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:55.771551,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 25.0)"
04-01-2023 15:07:57.328738,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:07:58.872093,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:00.096974,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:01.546990,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:02.849368,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:04.135066,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:05.407034,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:06.704356,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:07.913430,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:09.054106,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:10.244556,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:11.403541,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:12.708788,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:13.939748,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:15.176918,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:16.375734,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:17.470085,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:18.646072,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:19.862471,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:20.912989,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:22.022392,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:23.175374,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:24.265643,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:25.432366,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:26.649190,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:27.880239,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:29.022102,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:30.109210,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:31.266584,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:32.386188,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
04-01-2023 15:08:33.520235,"(4.2, 7.4, 6.257142857142858)","(3.4, 4.7, 3.4850000000000003)","(4.4, 7.8, 6.942857142857143)","(14.0, 32.0, 29.944444444444443)","(3.7, 6.8, 4.181818181818182)","(16.0, 46.0, 37.25)","(16.0, 55.0, 38.75)","(11.0, 32.0, 26.875)"
