,Lord Sundowner,Mygirlgladys,Debatable,Twelve Bells,Heroic Chief,Our Foxwedge,Diamatti,Sparkling Blue,Adki,Star Waltz,Oronoco,Secret Way
10-01-2023 15:44:55.628531,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:57.165836,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.321428571428571)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 29.5)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.136641221374045)","(41.0, 210.0, 90.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:44:58.692671,"(7.5, 8.8, 8.688888888888888)","(4.4, 5.9, 5.766666666666667)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.46875)","(15.0, 23.0, 22.454545454545453)","(21.0, 34.0, 31.77777777777778)","(18.0, 32.0, 26.75)","(6.5, 8.0, 7.9)","(10.0, 12.5, 11.625)","(3.4, 4.3, 4.144776119402985)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:00.349319,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.46875)","(15.0, 23.0, 22.5)","(21.0, 34.0, 32.22222222222222)","(18.0, 32.0, 26.75)","(6.5, 8.0, 7.933333333333334)","(10.0, 12.5, 11.849056603773585)","(3.4, 4.3, 4.144776119402985)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:02.263268,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.46875)","(15.0, 23.0, 22.5)","(21.0, 34.0, 32.22222222222222)","(18.0, 32.0, 26.75)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.849056603773585)","(3.4, 4.3, 4.144776119402985)","(41.0, 210.0, 114.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:04.179994,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.666666666666668)","(8.5, 12.5, 11.46875)","(15.0, 23.0, 22.5)","(21.0, 34.0, 32.22222222222222)","(18.0, 32.0, 26.75)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.849056603773585)","(3.4, 4.3, 4.144776119402985)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:06.059021,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 23.0, 23.428571428571427)","(21.0, 34.0, 32.22222222222222)","(18.0, 32.0, 23.0)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.252727272727273)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:07.637711,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.428571428571427)","(21.0, 34.0, 32.22222222222222)","(18.0, 32.0, 27.0)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.252727272727273)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:09.366154,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.428571428571427)","(21.0, 34.0, 30.666666666666668)","(18.0, 32.0, 27.0)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.252727272727273)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:10.990176,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.428571428571427)","(21.0, 34.0, 30.666666666666668)","(18.0, 32.0, 27.0)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.252727272727273)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:12.499503,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.428571428571427)","(21.0, 34.0, 30.666666666666668)","(18.0, 32.0, 27.0)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.252727272727273)","(41.0, 210.0, 102.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:13.994520,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.428571428571427)","(21.0, 34.0, 30.666666666666668)","(18.0, 32.0, 28.31818181818182)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.2446153846153845)","(41.0, 210.0, 142.5)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:15.439683,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 23.555555555555557)","(21.0, 34.0, 31.79310344827586)","(18.0, 32.0, 24.8)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.2446153846153845)","(41.0, 210.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:16.833064,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 24.0, 24.333333333333332)","(21.0, 32.0, 27.833333333333332)","(18.0, 32.0, 26.857142857142858)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.2446153846153845)","(41.0, 200.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:18.272850,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.805882352941177)","(14.0, 19.0, 17.0)","(8.5, 12.5, 11.46875)","(15.0, 25.0, 25.333333333333332)","(21.0, 32.0, 27.833333333333332)","(18.0, 32.0, 26.857142857142858)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.789473684210526)","(3.4, 4.3, 4.254716981132075)","(41.0, 200.0, 126.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:19.714802,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.46153846153846)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.166666666666668)","(21.0, 32.0, 27.833333333333332)","(18.0, 32.0, 26.857142857142858)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.830188679245284)","(3.4, 4.3, 4.254716981132075)","(41.0, 190.0, 126.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:21.501544,"(7.5, 8.8, 8.716666666666667)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.46153846153846)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.166666666666668)","(21.0, 32.0, 27.833333333333332)","(18.0, 32.0, 26.857142857142858)","(6.5, 8.0, 7.953846153846154)","(10.0, 12.0, 11.830188679245284)","(3.4, 4.3, 4.254716981132075)","(41.0, 190.0, 126.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:23.251897,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.0)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 32.0, 28.0)","(18.0, 32.0, 26.307692307692307)","(6.5, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.254716981132075)","(41.0, 190.0, 116.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:24.773132,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.0)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 32.0, 28.0)","(18.0, 30.0, 26.307692307692307)","(6.5, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.254716981132075)","(41.0, 190.0, 116.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:26.551767,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.0)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 32.0, 28.57142857142857)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 190.0, 116.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:28.128669,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 32.0, 28.25)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 190.0, 116.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:29.666976,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 26.5)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 190.0, 113.33333333333334)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:31.058548,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 26.5)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 180.0, 110.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:32.467770,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 27.428571428571427)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 110.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:33.832807,"(7.5, 8.8, 8.675)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 27.789473684210527)","(18.0, 30.0, 26.307692307692307)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 100.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:35.278339,"(7.5, 8.8, 8.521739130434783)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 27.789473684210527)","(18.0, 30.0, 27.571428571428573)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 116.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:36.723952,"(7.5, 8.8, 8.521739130434783)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 30.0, 27.529411764705884)","(18.0, 29.0, 27.571428571428573)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 116.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:38.181940,"(7.5, 8.8, 8.521739130434783)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.4)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 27.529411764705884)","(18.0, 29.0, 27.571428571428573)","(6.0, 8.0, 7.957142857142857)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 116.66666666666667)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:39.657001,"(7.5, 8.8, 8.521739130434783)","(4.4, 5.9, 5.8304347826086955)","(14.0, 19.0, 17.5)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 27.4375)","(18.0, 29.0, 27.571428571428573)","(6.0, 8.0, 7.929411764705882)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 170.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:41.062921,"(7.5, 8.8, 8.579310344827586)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.5)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 27.125)","(18.0, 29.0, 27.571428571428573)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.0, 11.816326530612244)","(3.4, 4.3, 4.271111111111111)","(41.0, 190.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:42.654009,"(7.5, 8.8, 8.579310344827586)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.5)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 26.0)","(18.0, 29.0, 27.571428571428573)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.0, 11.8125)","(3.4, 4.3, 4.2592592592592595)","(41.0, 190.0, 140.0)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:44.072562,"(7.5, 8.8, 8.703225806451613)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.5)","(8.5, 12.5, 11.46875)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 26.0)","(18.0, 29.0, 25.923076923076923)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.5, 11.916666666666666)","(3.4, 4.3, 4.2592592592592595)","(41.0, 190.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:45.561289,"(7.5, 9.0, 8.64)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.333333333333332)","(8.5, 12.5, 11.710526315789474)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 26.0)","(18.0, 29.0, 25.923076923076923)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.5, 11.976190476190476)","(3.4, 4.3, 4.2592592592592595)","(41.0, 200.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:47.042688,"(7.5, 9.0, 8.64)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.23076923076923)","(8.5, 12.5, 11.710526315789474)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 26.0)","(18.0, 29.0, 25.923076923076923)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.5, 11.976190476190476)","(3.4, 4.3, 4.2592592592592595)","(41.0, 200.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
10-01-2023 15:45:48.470690,"(7.5, 9.0, 8.64)","(4.4, 5.9, 5.8304347826086955)","(14.0, 18.5, 17.23076923076923)","(8.5, 12.5, 11.642857142857142)","(15.0, 26.0, 25.333333333333332)","(21.0, 29.0, 26.0)","(18.0, 29.0, 25.923076923076923)","(6.0, 8.2, 7.929411764705882)","(10.0, 12.5, 11.976190476190476)","(3.4, 4.3, 4.2592592592592595)","(41.0, 200.0, 126.66666666666666)","(101.0, 230.0, 206.66666666666666)"
