,Byron,Excelladus,New Tycoon,Divine Breath,Lovetheinvasion,Baranof,Bluff N Bluster,Straya Pride,The Carpet Bagger,Weekend Affair
07-01-2023 12:52:34.237792,"(6.5, 7.8, 7.648)","(3.2, 3.8, 3.7523305084745764)","(31.0, 60.0, 48.45161290322581)","(6.5, 8.0, 7.260869565217392)","(7.5, 9.4, 9.156345177664974)","(8.5, 11.0, 10.751592356687897)","(5.5, 8.0, 7.730508474576271)","(51.0, 95.0, 90.38461538461539)","(17.0, 25.0, 24.493506493506494)","(21.0, 28.0, 25.098039215686274)"
07-01-2023 12:52:35.745863,"(6.5, 7.8, 7.740932642487047)","(3.2, 3.8, 3.7535928143712574)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.8, 7.355555555555555)","(7.5, 9.2, 9.156345177664974)","(8.5, 11.0, 10.732919254658386)","(5.5, 8.0, 7.766197183098591)","(51.0, 95.0, 90.38461538461539)","(17.0, 25.0, 24.430379746835442)","(21.0, 26.0, 25.098039215686274)"
07-01-2023 12:52:37.279287,"(6.5, 7.8, 7.740932642487047)","(3.2, 3.8, 3.7535928143712574)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.265116279069767)","(7.5, 9.2, 9.156345177664974)","(8.5, 11.0, 10.734104046242775)","(5.5, 7.8, 7.752)","(51.0, 95.0, 90.38461538461539)","(17.0, 25.0, 24.430379746835442)","(21.0, 26.0, 25.098039215686274)"
07-01-2023 12:52:38.812276,"(6.5, 7.8, 7.741666666666666)","(3.2, 3.8, 3.755194805194805)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.386666666666667)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.759036144578314)","(5.5, 7.8, 7.751020408163265)","(51.0, 95.0, 90.38461538461539)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:40.254227,"(6.5, 7.8, 7.7413612565445025)","(3.2, 3.8, 3.755194805194805)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.386666666666667)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.759036144578314)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:41.772133,"(6.5, 7.8, 7.7413612565445025)","(3.2, 3.8, 3.755194805194805)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.386666666666667)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.759036144578314)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:43.284602,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.755194805194805)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.2875)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.736842105263158)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:44.760693,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.77595818815331)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.736842105263158)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:46.207831,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.780161943319838)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.736842105263158)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:47.614352,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.780161943319838)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.736842105263158)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.71428571428572)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:49.062146,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.7859903381642512)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.156234096692112)","(8.5, 11.0, 10.715909090909092)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.0)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:50.583859,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.79609375)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.176436781609194)","(8.5, 11.0, 10.715909090909092)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.0)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:52.056742,"(6.5, 7.8, 7.713178294573643)","(3.2, 3.8, 3.7963350785340313)","(31.0, 50.0, 48.45161290322581)","(6.5, 7.6, 7.247457627118644)","(7.5, 9.2, 9.176436781609194)","(8.5, 11.0, 10.715909090909092)","(5.5, 7.8, 7.76)","(51.0, 95.0, 90.0)","(17.0, 25.0, 24.423076923076923)","(21.0, 26.0, 25.08)"
07-01-2023 12:52:53.509533,"(6.5, 7.8, 7.70735294117647)","(3.2, 3.85, 3.8114864864864866)","(31.0, 50.0, 47.94285714285714)","(6.5, 7.6, 7.258333333333334)","(7.5, 9.2, 9.173446327683616)","(8.5, 11.0, 10.48091603053435)","(5.5, 7.8, 7.577049180327869)","(51.0, 95.0, 88.84615384615384)","(17.0, 25.0, 22.96923076923077)","(21.0, 26.0, 25.076923076923077)"
07-01-2023 12:52:54.984083,"(6.5, 7.8, 7.70735294117647)","(3.2, 3.85, 3.8114864864864866)","(31.0, 48.0, 47.94285714285714)","(6.5, 7.4, 7.222950819672131)","(7.5, 9.2, 9.173446327683616)","(8.5, 10.5, 10.48091603053435)","(5.5, 7.6, 7.577049180327869)","(51.0, 95.0, 88.84615384615384)","(17.0, 23.0, 22.96923076923077)","(21.0, 26.0, 25.076923076923077)"
07-01-2023 12:52:56.493868,"(6.5, 7.8, 7.70735294117647)","(3.2, 3.85, 3.823972602739726)","(31.0, 48.0, 47.94285714285714)","(6.5, 7.4, 7.222950819672131)","(7.5, 9.2, 9.173446327683616)","(8.5, 10.5, 10.48091603053435)","(5.5, 7.6, 7.577049180327869)","(51.0, 95.0, 88.84615384615384)","(17.0, 23.0, 22.96923076923077)","(21.0, 26.0, 25.076923076923077)"
07-01-2023 12:52:57.971910,"(6.5, 7.8, 7.70735294117647)","(3.2, 3.85, 3.8233644859813083)","(31.0, 48.0, 47.94285714285714)","(6.5, 7.4, 7.224137931034483)","(7.5, 9.2, 9.173446327683616)","(8.5, 10.5, 10.48091603053435)","(5.5, 7.6, 7.577049180327869)","(51.0, 95.0, 88.84615384615384)","(17.0, 23.0, 22.96923076923077)","(21.0, 26.0, 25.076923076923077)"
07-01-2023 12:52:59.475524,"(6.5, 7.8, 7.70735294117647)","(3.2, 3.85, 3.8233644859813083)","(31.0, 48.0, 47.94285714285714)","(6.5, 7.4, 7.224137931034483)","(7.5, 9.2, 9.173446327683616)","(8.5, 10.5, 10.48091603053435)","(5.5, 7.6, 7.577049180327869)","(51.0, 95.0, 88.84615384615384)","(17.0, 23.0, 22.96923076923077)","(21.0, 26.0, 25.076923076923077)"
07-01-2023 12:53:00.859139,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8231182795698926)","(31.0, 48.0, 48.417582417582416)","(6.5, 7.4, 7.190604026845638)","(7.5, 9.2, 9.176023391812866)","(8.5, 10.5, 10.448148148148148)","(5.5, 7.6, 7.63)","(51.0, 95.0, 89.54545454545455)","(17.0, 23.0, 24.152941176470588)","(21.0, 26.0, 26.526315789473685)"
07-01-2023 12:53:02.305351,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8231182795698926)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.2, 7.362553191489362)","(7.5, 9.2, 9.176023391812866)","(8.5, 10.5, 10.654054054054054)","(5.5, 7.8, 7.63)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.152941176470588)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:03.800646,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8231182795698926)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.362553191489362)","(7.5, 9.2, 9.176023391812866)","(8.5, 11.0, 10.654054054054054)","(5.5, 7.8, 7.63)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.152941176470588)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:05.357089,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8231182795698926)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.362553191489362)","(7.5, 9.2, 9.176023391812866)","(8.5, 11.0, 10.654054054054054)","(5.5, 7.8, 7.63)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.152941176470588)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:06.906689,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8174242424242424)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.379510022271715)","(7.5, 9.2, 9.176162790697674)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.670588235294118)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.25925925925926)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:08.395658,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8163120567375888)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.379510022271715)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.672463768115942)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.25925925925926)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:09.867865,"(6.5, 7.8, 7.7081967213114755)","(3.2, 3.85, 3.8163120567375888)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.379510022271715)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.672463768115942)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.25925925925926)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:11.432628,"(6.5, 7.8, 7.71578947368421)","(3.2, 3.85, 3.812301587301587)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.385520361990951)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.703225806451613)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.346153846153847)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:12.909686,"(6.5, 7.8, 7.71578947368421)","(3.2, 3.85, 3.812301587301587)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.385520361990951)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.703225806451613)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.346153846153847)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:14.390854,"(6.5, 7.8, 7.71578947368421)","(3.2, 3.85, 3.812301587301587)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.385520361990951)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.672222222222222)","(5.5, 7.8, 7.703225806451613)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.346153846153847)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:15.905381,"(6.5, 7.8, 7.71578947368421)","(3.2, 3.85, 3.82189349112426)","(31.0, 50.0, 48.417582417582416)","(6.5, 7.4, 7.367241379310345)","(7.5, 9.2, 9.17609329446064)","(8.5, 11.0, 10.668508287292818)","(5.5, 7.8, 7.632098765432099)","(51.0, 95.0, 89.54545454545455)","(17.0, 25.0, 24.152941176470588)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:17.365230,"(6.5, 7.8, 7.71578947368421)","(3.2, 3.85, 3.82189349112426)","(31.0, 50.0, 57.2)","(6.5, 7.4, 7.779862700228833)","(7.5, 9.2, 9.288995215311004)","(8.5, 11.0, 10.539473684210526)","(5.5, 7.8, 7.522033898305085)","(51.0, 95.0, 80.0)","(17.0, 25.0, 24.8125)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:18.806531,"(6.5, 7.8, 7.304)","(3.2, 3.85, 3.818848167539267)","(31.0, 60.0, 47.77777777777778)","(6.5, 7.8, 7.955102040816326)","(7.5, 9.4, 9.194193548387096)","(8.5, 11.0, 10.416666666666666)","(5.5, 8.0, 7.296)","(51.0, 95.0, 78.57142857142857)","(17.0, 25.0, 22.833333333333332)","(21.0, 28.0, 25.833333333333332)"
07-01-2023 12:53:20.264417,"(6.5, 7.4, 7.246875)","(3.2, 3.85, 3.821556886227545)","(31.0, 48.0, 51.53846153846154)","(6.5, 8.0, 7.95945945945946)","(7.5, 9.2, 9.292944038929441)","(8.5, 10.5, 10.512820512820513)","(5.5, 7.4, 7.623529411764705)","(51.0, 80.0, 85.625)","(17.0, 23.0, 24.8125)","(21.0, 26.0, 26.25)"
07-01-2023 12:53:21.743409,"(6.5, 7.8, 7.246875)","(3.2, 3.85, 3.821556886227545)","(31.0, 55.0, 51.53846153846154)","(6.5, 8.0, 7.95945945945946)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.512820512820513)","(5.5, 7.8, 7.623529411764705)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.8125)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:23.226489,"(6.5, 7.8, 7.246875)","(3.2, 3.85, 3.821556886227545)","(31.0, 55.0, 51.53846153846154)","(6.5, 8.0, 7.909090909090909)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.512820512820513)","(5.5, 7.8, 7.623529411764705)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.8125)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:24.636087,"(6.5, 7.8, 7.246875)","(3.2, 3.85, 3.820679012345679)","(31.0, 55.0, 51.53846153846154)","(6.5, 8.0, 7.909090909090909)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.512820512820513)","(5.5, 7.8, 7.623529411764705)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.8125)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:26.059439,"(6.5, 7.8, 7.246875)","(3.3, 3.85, 3.81875)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.0, 7.909090909090909)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.512820512820513)","(5.5, 7.8, 7.623529411764705)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:27.534080,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.0, 8.117948717948718)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.8, 7.445714285714286)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:28.914221,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.117948717948718)","(7.5, 9.4, 9.292944038929441)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.8, 7.445714285714286)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:30.274592,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.11111111111111)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.8, 7.558620689655172)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:31.710986,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.11578947368421)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.6, 7.5625)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:33.141824,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.11578947368421)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.6, 7.153846153846154)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:34.631527,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.8276699029126213)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.169811320754716)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:36.171658,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.836153846153846)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.169811320754716)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:37.636202,"(6.5, 7.8, 7.575)","(3.3, 3.85, 3.836153846153846)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.169811320754716)","(7.5, 9.4, 9.290274314214464)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:39.076234,"(6.5, 7.8, 7.65)","(3.3, 3.85, 3.853921568627451)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.169811320754716)","(7.5, 9.4, 9.29246231155779)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:40.465869,"(6.5, 7.8, 7.65)","(3.3, 3.9, 3.798181818181818)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.08)","(7.5, 9.4, 9.29246231155779)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:41.956698,"(6.5, 7.8, 7.575)","(3.3, 3.8, 3.798181818181818)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.08)","(7.5, 9.4, 9.29246231155779)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:43.436899,"(6.5, 7.8, 7.65)","(3.3, 3.8, 3.8882608695652174)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.0)","(7.5, 9.4, 9.29246231155779)","(8.5, 11.0, 10.533333333333333)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 86.66666666666666)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:44.917735,"(6.5, 7.8, 7.65)","(3.3, 3.9, 3.8921052631578945)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.027692307692307)","(7.5, 9.4, 9.29246231155779)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.1257142857142854)","(51.0, 95.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:46.391897,"(6.5, 7.8, 7.575)","(3.3, 3.9, 3.8353932584269663)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.027692307692307)","(7.5, 9.4, 9.262379421221866)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.1257142857142854)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:47.832229,"(6.5, 7.8, 7.575)","(3.3, 3.95, 3.8353932584269663)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 8.027692307692307)","(7.5, 9.4, 9.262379421221866)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.1257142857142854)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:49.125226,"(6.5, 7.8, 7.575)","(3.3, 3.95, 3.8353932584269663)","(31.0, 55.0, 51.53846153846154)","(6.0, 8.2, 7.926829268292683)","(7.5, 9.4, 9.278409090909092)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.1257142857142854)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:50.401978,"(6.5, 7.8, 7.4)","(3.3, 3.95, 3.8125336927223716)","(31.0, 55.0, 50.90909090909091)","(6.0, 8.2, 7.968421052631578)","(7.5, 9.4, 9.278409090909092)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.016)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:51.859470,"(6.5, 7.8, 7.4)","(3.3, 3.95, 3.8106557377049177)","(31.0, 55.0, 50.90909090909091)","(6.0, 8.2, 7.968421052631578)","(7.5, 9.4, 9.278409090909092)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.016)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:53.306969,"(6.5, 7.8, 7.4)","(3.3, 3.95, 3.8106557377049177)","(31.0, 55.0, 50.90909090909091)","(6.0, 8.2, 7.861538461538461)","(7.5, 9.4, 9.278409090909092)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.013333333333334)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
07-01-2023 12:53:54.683568,"(6.5, 7.8, 7.4)","(3.3, 3.95, 3.8106557377049177)","(31.0, 55.0, 50.90909090909091)","(6.0, 8.2, 7.861538461538461)","(7.5, 9.4, 9.272980501392757)","(8.5, 11.0, 10.481927710843374)","(5.5, 7.4, 7.013333333333334)","(51.0, 90.0, 85.0)","(17.0, 25.0, 24.5)","(21.0, 28.0, 26.25)"
