,Little Winnie,Its Luigi,Fritter,Meehan Magpie,Angry Betty,Jocularity,Avery Charm,Tonics Girl
05-01-2023 13:20:50.694191,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.916393442622951)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:51.720668,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.916393442622951)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:52.786253,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.916393442622951)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:53.871331,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:55.046966,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:56.158892,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:57.242363,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:58.406426,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:20:59.627285,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 1.865)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 56.94444444444444)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:00.813820,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.72, 2.0930769230769233)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 81.91176470588235)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:01.960041,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:03.026418,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:04.071268,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:05.133452,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:06.185537,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:07.268972,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:08.424336,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:09.651470,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:10.817946,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:12.021891,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:13.143161,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:14.213721,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.1)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:15.248678,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.9380000000000002)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:16.407129,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:17.468827,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:18.562176,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 57.22222222222222)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:19.768644,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 50.9375)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:20.937206,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 50.9375)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:22.192297,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 1.893)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 50.9375)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:23.371622,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 50.9375)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:24.556629,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:25.740904,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:26.907819,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:27.962432,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:28.978732,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:30.062984,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:31.123116,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:32.249785,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:33.462763,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.25)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:34.643235,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 71.04166666666667)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:36.104230,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 71.04166666666667)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:37.368318,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 71.04166666666667)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:38.658524,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:40.076710,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.0723076923076924)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:41.397378,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:42.598233,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:43.924601,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:45.115337,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:46.449431,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:47.808037,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 51.875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:49.260368,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.1875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:50.595365,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.1875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:51.890516,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.1875)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:53.085971,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:54.276226,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:55.577928,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:56.778542,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:57.946402,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:21:59.179350,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:00.439209,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:01.669923,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:03.166886,"(10.0, 23.0, 20.5)","(15.0, 40.0, 25.555555555555557)","(14.0, 30.0, 20.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 52.5)","(31.0, 130.0, 64.375)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:04.466729,"(10.0, 23.0, 20.5)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.636363636363637)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 43.81818181818182)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:05.728792,"(10.0, 23.0, 21.61111111111111)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.636363636363637)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 43.81818181818182)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 4.9565217391304355)"
05-01-2023 13:22:06.940844,"(10.0, 23.0, 21.61111111111111)","(15.0, 40.0, 27.0)","(14.0, 30.0, 18.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:08.170883,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 18.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:09.476979,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 18.0)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:10.961549,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:12.335265,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:13.534639,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:14.815753,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:16.151829,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 44.18181818181818)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
05-01-2023 13:22:17.350334,"(10.0, 25.0, 21.045454545454547)","(15.0, 40.0, 27.0)","(14.0, 30.0, 17.272727272727273)","(1.9, 2.64, 2.079230769230769)","(4.0, 7.4, 4.9526315789473685)","(16.0, 110.0, 47.7)","(31.0, 130.0, 55.09090909090909)","(4.8, 7.6, 5.111111111111112)"
