,Meatloaf,Phantom Ace,Palesa Bale,Nighthawk Angel,Goldstar Darwin,Tea Time Tiger,Captain Tim,Goldstar Hope
09-01-2023 09:02:22.786280,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:23.887863,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:24.991594,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:26.063229,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:27.096959,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:28.143568,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:29.162564,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:30.193286,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:31.240052,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:02:32.318511,"(7.0, 28.0, 23.434782608695652)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
