,Elettrica,Banana Queen,Zelady Luck,Silk Tie,Sweet Mercy,Empress El,Arranmore,Flying Tyrol,Carolina Fire
04-01-2023 14:12:58.380576,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.8, 4.2, 4.169551282051282)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:12:59.735117,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.983333333333333)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.8, 4.2, 4.169551282051282)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:01.019012,"(2.8, 3.25, 3.2387878787878788)","(4.0, 5.0, 4.95)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.8, 4.2, 4.172622478386167)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:02.500659,"(2.8, 3.25, 3.241628959276018)","(4.0, 5.0, 4.95)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 20.0)","(3.8, 4.2, 4.172622478386167)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.25)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:03.874509,"(2.8, 3.25, 3.241628959276018)","(4.0, 5.0, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 25.0, 23.583333333333336)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.23076923076923)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:05.233787,"(2.8, 3.3, 3.258847736625514)","(4.0, 4.9, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:06.475464,"(2.8, 3.3, 3.258847736625514)","(4.0, 4.9, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:07.760241,"(2.8, 3.3, 3.258847736625514)","(4.0, 4.9, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:09.033976,"(2.8, 3.3, 3.258847736625514)","(4.0, 4.9, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:10.226239,"(2.8, 3.3, 3.258847736625514)","(4.0, 4.9, 4.881818181818182)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:11.464263,"(2.8, 3.3, 3.258847736625514)","(4.0, 5.0, 4.875)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:12.693611,"(2.8, 3.3, 3.258847736625514)","(4.0, 5.0, 4.875)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:14.313578,"(2.8, 3.3, 3.258847736625514)","(4.0, 5.0, 4.875)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:15.662982,"(2.8, 3.3, 3.258847736625514)","(4.0, 5.0, 4.875)","(13.0, 18.0, 17.043478260869566)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.170769230769231)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:17.158458,"(2.8, 3.3, 3.258847736625514)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.0, 17.3)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.2, 4.213054187192118)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:18.441378,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.3, 4.2165484633569745)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:19.807351,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.074074074074073)","(3.8, 4.3, 4.2165484633569745)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:21.083613,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.4)","(3.8, 4.3, 4.2165484633569745)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.1875)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:22.366571,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.4)","(3.8, 4.3, 4.204594594594595)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.458333333333334)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:23.607875,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.4)","(3.8, 4.3, 4.178902229845626)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.303571428571429)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:24.788280,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.4)","(3.8, 4.3, 4.178902229845626)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.303571428571429)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:25.990443,"(2.8, 3.3, 3.247916666666667)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 23.4)","(3.8, 4.3, 4.178902229845626)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.303571428571429)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:27.122575,"(2.8, 3.3, 3.2528301886792454)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 24.0, 21.357142857142858)","(3.8, 4.3, 4.180338983050847)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:28.279787,"(2.8, 3.3, 3.2528301886792454)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.180338983050847)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:29.478610,"(2.8, 3.3, 3.2528301886792454)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:30.715653,"(2.8, 3.3, 3.2528301886792454)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:31.823096,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:32.954399,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.3)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:34.120855,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:35.306767,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.129032258064516)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:36.435392,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:37.554490,"(2.8, 3.3, 3.263898916967509)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:38.686390,"(2.8, 3.3, 3.26375)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:39.774667,"(2.8, 3.3, 3.26375)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
04-01-2023 14:13:40.868460,"(2.8, 3.3, 3.26375)","(4.0, 5.0, 4.826923076923077)","(13.0, 18.5, 17.333333333333332)","(16.0, 22.0, 21.357142857142858)","(3.8, 4.3, 4.176140350877192)","(19.0, 36.0, 34.26086956521739)","(10.0, 14.0, 13.277777777777779)","(41.0, 85.0, 75.9090909090909)","(26.0, 42.0, 38.5)"
