,Wuanita Rose,Safety Sam,Belle Royale,Rutland Bam,Okay Boomer,Lucy Mac,Kenzis Blaze,Werina Shadow
12-01-2023 17:23:53.764578,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.933333333333334)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:54.829465,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.08)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:55.923146,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.08)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:57.043860,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.08)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:58.193132,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:23:59.381859,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:00.553610,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:01.737391,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:02.837652,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:04.040698,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:05.112210,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:06.210518,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:07.246215,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:08.276135,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:09.297358,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:10.397455,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:11.462338,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:12.487168,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:13.497978,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:14.556548,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:15.585327,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:16.561979,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:17.556109,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:18.575191,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.533333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:19.649056,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:20.642147,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:21.742451,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:22.843766,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:23.927204,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:24.945541,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:25.954332,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:27.084204,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:28.246995,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.3)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:29.362455,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:30.439854,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:31.504711,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:32.673020,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:33.721163,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:34.839725,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:35.877091,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:36.926169,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:38.110129,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:39.294221,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:40.293572,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:41.415381,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 11.8)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:42.592671,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:43.677307,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:44.841402,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:45.843920,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:46.929749,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:48.057906,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:49.212283,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:50.321792,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:51.395433,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:52.465631,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:53.573470,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:54.716191,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:56.066154,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:57.142421,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:58.270338,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:24:59.421593,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:00.614227,"(12.0, 26.0, 25.68181818181818)","(6.0, 13.0, 12.033333333333333)","(9.0, 19.5, 14.74705882352941)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:01.617614,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 8.233333333333333)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:02.807803,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 8.233333333333333)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:04.009294,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 10.746153846153845)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:05.104712,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 10.746153846153845)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:06.182448,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 10.746153846153845)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:07.281389,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 10.716666666666667)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
12-01-2023 17:25:08.332085,"(12.0, 26.0, 25.68181818181818)","(6.0, 11.5, 10.947058823529412)","(9.0, 19.5, 13.284615384615385)","(8.5, 17.5, 15.954545454545453)","(1.7, 1.99, 1.7255555555555555)","(15.0, 34.0, 30.4)","(26.0, 90.0, 42.72727272727273)","(6.5, 12.5, 10.228571428571428)"
