,Wild About Town,Artistic Humma,Hesluvable,Office Bad Boy,Sarie Marais,Always At Night,Sonny Orlando Nz,Golden Grin,Rocco Variety
05-01-2023 12:57:53.766226,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:55.238162,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:56.645952,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:58.000030,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:57:59.398122,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:00.537870,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:01.705099,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:02.994041,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:04.356105,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:05.656772,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:06.910035,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:08.108970,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:09.419732,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:10.656436,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:11.990206,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:13.195901,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:14.517058,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:15.793798,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:17.158756,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:18.523590,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:19.816245,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:21.068955,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:22.480309,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:23.817848,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:25.122482,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:26.322272,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:27.396097,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:28.488851,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:29.692511,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:30.924784,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:32.134057,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:33.396191,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:34.653555,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:35.982399,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:37.226809,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:38.486895,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:39.652629,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:40.712150,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:41.820028,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:42.937823,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:44.096079,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:45.287191,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:46.695066,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:48.005912,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:49.411247,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:50.663400,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:52.001793,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:53.343580,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:54.727093,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:55.920578,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:57.090927,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:58.319070,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:58:59.531513,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:00.730667,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:02.184255,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:03.545703,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:04.662691,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:05.916689,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:07.203770,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:08.437559,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:09.730605,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:10.920478,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:12.277434,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
05-01-2023 12:59:13.648888,"(4.6, 7.8, 7.236363636363636)","(101.0, 210.0, 181.42857142857144)","(2.4, 3.65, 3.3425)","(4.6, 6.8, 6.15)","(14.0, 25.0, 23.25)","(26.0, 50.0, 32.666666666666664)","(7.0, 99999, 99990)","(51.0, 140.0, 124.33333333333333)","(5.5, 9.0, 7.533333333333333)"
