,Jean Luc Nz,Kowalski Analysis,Celestial Gossip,Yianni,Kosimo,Silent Major Nz,Ozzie Battler,Huli Nien,Bettor Be The Bomb,Vintage Cheddar Nz
07-01-2023 19:23:59.879967,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 44.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 9.0)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:01.201678,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.4)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:02.452351,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:03.734768,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:05.059543,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:06.273321,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:07.524095,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:08.830690,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:10.171550,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:11.500325,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:12.808053,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:14.120220,"(14.0, 99999, 99990)","(1.85, 2.06, 1.932)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:15.434542,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:16.751134,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:17.956738,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:19.212979,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:20.456520,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:21.668504,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:22.860911,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:24.088923,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:25.388746,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:26.730376,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:28.090746,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:29.362104,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:30.640065,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 100.0)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:31.910812,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:33.156028,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:34.389037,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:35.637838,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:36.926796,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:38.185885,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:39.394924,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:40.584438,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:41.801020,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:42.956566,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:44.331575,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:45.564851,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:46.866871,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:48.119506,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:49.418920,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:50.734914,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 98.75)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:52.036759,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:53.327531,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:54.714814,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:55.972825,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:57.261599,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:58.493591,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 110.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:24:59.733839,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 122.0)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 105.55555555555556)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:01.008988,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:02.268972,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:03.513416,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:04.809813,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:06.024172,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:07.188403,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:08.431616,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:09.649948,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:10.874458,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:12.110246,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.066666666666666)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
07-01-2023 19:25:13.344631,"(14.0, 99999, 99990)","(1.85, 2.06, 1.92)","(31.0, 46.0, 30.25)","(61.0, 150.0, 126.66666666666666)","(26.0, 42.0, 30.666666666666668)","(31.0, 99999, 99990)","(51.0, 110.0, 97.5)","(6.0, 9.4, 8.733333333333334)","(8.0, 12.5, 10.566666666666666)","(4.0, 99999, 99990)"
