,Eastbro Tex,Torque To The Max,Dartesian,Taleggio,Furiosa,Eagles Response,Whata Reactor,Fortyfive Rock,Go Jo Jolt
15-12-2022 14:20:03.146469,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:04.340104,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:05.630178,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:06.872297,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:08.079895,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:09.354584,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:10.564812,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:11.802619,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:13.005336,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:14.259977,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:15.490091,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 21.666666666666668)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:16.682185,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:18.159223,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:19.631533,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:21.071542,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:22.518851,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:23.971189,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:25.529952,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:27.004645,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:28.602743,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:30.057694,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:31.495959,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:32.708835,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:33.949980,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:35.164995,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:36.348231,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:37.598393,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:38.778997,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:39.955364,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:41.094217,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:42.281614,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:43.474431,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:44.705398,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:45.890608,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:47.078156,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 236.66666666666666)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:48.364648,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:49.601796,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:50.871163,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:52.198811,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:53.534338,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:54.747264,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:55.912005,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:57.090751,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:58.262072,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:20:59.473534,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:00.643041,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:01.823720,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:02.952465,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:04.045476,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:05.214250,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
15-12-2022 14:21:06.370040,"(3.2, 4.5, 4.1)","(8.0, 13.0, 8.5)","(101.0, 260.0, 190.0)","(6.5, 9.6, 7.32)","(12.0, 19.5, 15.9)","(17.0, 30.0, 25.833333333333336)","(3.9, 5.8, 5.2)","(16.0, 26.0, 19.75)","(4.2, 5.8, 4.977777777777778)"
