,Reggies Brother,Speed Badke,Calder,Muttons Mates,Desleys Girl,White Snake,Moment Of Glory,Aces Up
07-01-2023 19:17:09.001029,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:10.374302,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:11.716403,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:13.049592,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:14.348615,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:15.717569,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:17.040874,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:18.376581,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.364782608695652)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:19.715012,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:21.036082,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 2.973076923076923)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:22.303418,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 2.973076923076923)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 13.4)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:23.565848,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 15.52)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:24.889157,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 15.52)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:26.234921,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 17.0, 14.2)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:27.590197,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 2.973076923076923)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 31.88888888888889)","(5.5, 10.5, 10.09090909090909)","(6.0, 16.5, 14.2)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:28.937236,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 2.973076923076923)","(6.0, 9.8, 7.800000000000001)","(18.0, 48.0, 35.66666666666667)","(5.5, 10.5, 10.09090909090909)","(6.0, 16.5, 14.2)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:30.294514,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 44.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 16.5, 14.2)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:31.597299,"(4.0, 5.6, 4.806666666666667)","(2.9, 3.85, 3.106)","(6.0, 9.8, 7.800000000000001)","(18.0, 46.0, 28.0)","(5.5, 10.5, 10.09090909090909)","(6.0, 16.5, 14.2)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
