,Dusty Rubble,Exsensible,Hamaki,Mr Kennedy,Mr Showman,Questar,Jabali Belle,Scarlett Aplenty
15-12-2022 12:41:56.552443,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 66.66666666666667)"
15-12-2022 12:41:57.864168,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 66.66666666666667)"
15-12-2022 12:41:59.127963,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.170980392156863)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 66.66666666666667)"
15-12-2022 12:42:00.280134,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.211794871794872)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 69.33333333333333)"
15-12-2022 12:42:01.523946,"(91.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.2113375796178345)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.357142857142858)","(31.0, 80.0, 66.66666666666667)"
15-12-2022 12:42:02.766998,"(101.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.2113375796178345)","(7.0, 13.5, 11.98)","(91.0, 240.0, 210.0)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:04.152766,"(101.0, 510.0, 360.0)","(2.4, 2.8, 2.7985714285714285)","(1.95, 2.24, 2.2033333333333336)","(7.0, 13.5, 11.98)","(91.0, 240.0, 203.33333333333334)","(61.0, 180.0, 144.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:05.507072,"(101.0, 490.0, 400.0)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.2032075471698116)","(7.0, 13.5, 12.625)","(91.0, 230.0, 200.0)","(61.0, 180.0, 153.33333333333334)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 65.0)"
15-12-2022 12:42:06.750297,"(101.0, 470.0, 363.3333333333333)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.206086956521739)","(7.0, 13.0, 12.625)","(91.0, 220.0, 200.0)","(61.0, 170.0, 153.33333333333334)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 65.0)"
15-12-2022 12:42:07.958671,"(101.0, 470.0, 363.3333333333333)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.206086956521739)","(7.0, 13.0, 11.5)","(91.0, 220.0, 200.0)","(61.0, 170.0, 153.33333333333334)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 65.0)"
15-12-2022 12:42:09.183125,"(101.0, 460.0, 360.0)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.2273563218390806)","(7.0, 11.5, 11.31081081081081)","(91.0, 220.0, 200.0)","(61.0, 170.0, 153.33333333333334)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 65.0)"
15-12-2022 12:42:10.455651,"(101.0, 460.0, 360.0)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.2273563218390806)","(7.0, 11.5, 11.274193548387096)","(91.0, 220.0, 200.0)","(61.0, 170.0, 153.33333333333334)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 65.0)"
15-12-2022 12:42:11.663823,"(101.0, 460.0, 360.0)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.230265486725664)","(7.0, 11.5, 11.11111111111111)","(91.0, 220.0, 186.66666666666666)","(61.0, 170.0, 146.66666666666666)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 62.5)"
15-12-2022 12:42:12.798175,"(101.0, 460.0, 426.6666666666667)","(2.4, 2.84, 2.812682926829268)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.11111111111111)","(91.0, 220.0, 190.0)","(61.0, 180.0, 150.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 62.5)"
15-12-2022 12:42:13.892964,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.11111111111111)","(91.0, 230.0, 190.0)","(61.0, 180.0, 150.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 62.5)"
15-12-2022 12:42:14.992627,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.11111111111111)","(91.0, 230.0, 190.0)","(61.0, 180.0, 150.0)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 62.5)"
15-12-2022 12:42:16.060049,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.131578947368421)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.357142857142858)","(31.0, 65.0, 62.5)"
15-12-2022 12:42:17.171605,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 74.54545454545455)"
15-12-2022 12:42:18.360292,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 64.0)"
15-12-2022 12:42:19.506501,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.225714285714286)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 70.0)"
15-12-2022 12:42:20.738628,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.793333333333333)","(1.95, 2.24, 2.20421052631579)","(7.0, 11.5, 11.264705882352942)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 61.42857142857143)"
15-12-2022 12:42:22.032552,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.24, 2.1679847908745247)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 60.833333333333336)"
15-12-2022 12:42:23.381332,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.26, 2.1679847908745247)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 60.833333333333336)"
15-12-2022 12:42:24.759941,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.26, 2.1710294117647058)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 60.833333333333336)"
15-12-2022 12:42:26.070853,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.26, 2.170909090909091)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 65.0, 72.0)"
15-12-2022 12:42:27.276477,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.26, 2.170909090909091)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:28.514674,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.7952)","(1.95, 2.26, 2.1710294117647058)","(7.0, 11.5, 11.326086956521738)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 80.0, 67.5)"
15-12-2022 12:42:29.780967,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.8161702127659574)","(1.95, 2.16, 2.157913043478261)","(7.0, 11.5, 11.088235294117647)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.307692307692308)","(31.0, 75.0, 67.5)"
15-12-2022 12:42:30.908361,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.811282051282051)","(1.95, 2.16, 2.1566129032258066)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.333333333333334)","(31.0, 75.0, 67.5)"
15-12-2022 12:42:32.012600,"(101.0, 490.0, 450.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.178)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.333333333333334)","(31.0, 75.0, 62.22222222222222)"
15-12-2022 12:42:33.298764,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.178)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.333333333333334)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:34.582162,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.178)","(7.0, 11.5, 11.166666666666666)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.142857142857142)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:35.723391,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.2)","(7.0, 11.5, 11.195652173913043)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.142857142857142)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:36.881323,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.2)","(7.0, 11.5, 11.195652173913043)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.142857142857142)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:37.987610,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.2)","(7.0, 11.5, 11.195652173913043)","(91.0, 230.0, 215.0)","(61.0, 180.0, 155.0)","(11.0, 16.0, 15.142857142857142)","(31.0, 80.0, 62.22222222222222)"
15-12-2022 12:42:39.210949,"(101.0, 500.0, 440.0)","(2.4, 2.84, 2.8129032258064512)","(1.95, 2.22, 2.171297071129707)","(7.0, 11.5, 11.131578947368421)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 65.0)"
15-12-2022 12:42:40.389766,"(101.0, 490.0, 430.0)","(2.4, 2.84, 2.8049999999999997)","(1.95, 2.26, 2.170756972111554)","(7.0, 11.5, 11.274193548387096)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 75.0, 70.58823529411765)"
15-12-2022 12:42:41.576031,"(101.0, 490.0, 430.0)","(2.4, 2.78, 2.7652631578947364)","(1.95, 2.26, 2.170756972111554)","(7.0, 11.5, 11.274193548387096)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 70.58823529411765)"
15-12-2022 12:42:42.818393,"(101.0, 490.0, 430.0)","(2.4, 2.78, 2.7652631578947364)","(1.95, 2.26, 2.1978947368421053)","(7.0, 11.5, 12.125)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 70.58823529411765)"
15-12-2022 12:42:44.094691,"(101.0, 490.0, 430.0)","(2.4, 2.78, 2.767142857142857)","(1.95, 2.24, 2.1978947368421053)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:45.311717,"(101.0, 490.0, 430.0)","(2.4, 2.78, 2.767142857142857)","(1.95, 2.24, 2.1978947368421053)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:46.440770,"(101.0, 550.0, 480.0)","(2.4, 2.78, 2.767142857142857)","(1.95, 2.24, 2.1978947368421053)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:47.418693,"(101.0, 550.0, 487.77777777777777)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1978947368421053)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:48.560646,"(101.0, 550.0, 487.77777777777777)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1900000000000004)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:49.775712,"(101.0, 550.0, 487.77777777777777)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1900000000000004)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:51.028294,"(101.0, 550.0, 487.77777777777777)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1900000000000004)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 215.0)","(61.0, 180.0, 152.72727272727272)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:52.202604,"(101.0, 550.0, 488.75)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1882352941176473)","(7.0, 13.5, 12.021739130434783)","(91.0, 230.0, 212.85714285714286)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.38095238095238)"
15-12-2022 12:42:53.318844,"(101.0, 550.0, 488.75)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1882352941176473)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:54.409389,"(101.0, 550.0, 497.5)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1900000000000004)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:55.561600,"(101.0, 550.0, 497.5)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.1900000000000004)","(7.0, 13.5, 11.954545454545455)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:56.677040,"(101.0, 550.0, 497.5)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.2045569620253165)","(7.0, 13.5, 11.928571428571429)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:57.870288,"(101.0, 550.0, 498.57142857142856)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.24, 2.2045569620253165)","(7.0, 12.0, 11.761904761904763)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:42:59.060663,"(101.0, 550.0, 498.57142857142856)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.26, 2.161339285714286)","(7.0, 12.0, 11.695652173913043)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:00.214404,"(101.0, 460.0, 355.0)","(2.4, 2.78, 2.7752631578947367)","(1.95, 2.26, 2.161339285714286)","(7.0, 12.0, 11.695652173913043)","(91.0, 230.0, 183.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:01.371991,"(101.0, 460.0, 355.0)","(2.4, 2.78, 2.8139534883720927)","(1.95, 2.26, 2.161339285714286)","(7.0, 12.0, 11.695652173913043)","(91.0, 230.0, 185.0)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:02.524049,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.8139534883720927)","(1.95, 2.26, 2.161339285714286)","(7.0, 12.0, 11.695652173913043)","(91.0, 210.0, 173.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:03.681165,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.8139534883720927)","(1.95, 2.26, 2.161321585903084)","(7.0, 12.0, 11.695652173913043)","(91.0, 200.0, 173.33333333333334)","(61.0, 180.0, 146.66666666666666)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:04.818527,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.26, 2.1675)","(7.0, 12.0, 11.175)","(91.0, 200.0, 197.77777777777777)","(61.0, 180.0, 160.0)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:06.074051,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.1675)","(7.0, 11.5, 11.175)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 160.0)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:07.358574,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.048387096774194)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:08.591430,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.048387096774194)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:09.719569,"(101.0, 460.0, 355.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:10.843515,"(101.0, 500.0, 380.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:11.998136,"(101.0, 520.0, 312.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:13.188505,"(101.0, 510.0, 418.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.38095238095238)"
15-12-2022 12:43:14.207234,"(101.0, 510.0, 415.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.17)","(7.0, 11.5, 11.051282051282051)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:15.288577,"(101.0, 510.0, 467.77777777777777)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:16.324918,"(101.0, 510.0, 425.0)","(2.4, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(61.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(31.0, 80.0, 72.0)"
15-12-2022 12:43:17.432501,"(91.0, 510.0, 430.0)","(2.45, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 197.77777777777777)","(71.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.25)","(41.0, 80.0, 72.0)"
15-12-2022 12:43:18.548919,"(91.0, 510.0, 450.0)","(2.45, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 200.0)","(71.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.4)","(41.0, 80.0, 72.0)"
15-12-2022 12:43:19.643648,"(91.0, 510.0, 445.0)","(2.45, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 200.0)","(71.0, 180.0, 161.53846153846155)","(11.0, 16.0, 15.4)","(41.0, 80.0, 72.0)"
15-12-2022 12:43:20.729613,"(91.0, 510.0, 430.0)","(2.45, 2.84, 2.817894736842105)","(1.95, 2.24, 2.172)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 200.0)","(71.0, 140.0, 135.0)","(11.0, 16.0, 15.4)","(41.0, 80.0, 72.0)"
15-12-2022 12:43:21.830572,"(91.0, 510.0, 436.6666666666667)","(2.45, 2.84, 2.7963636363636364)","(1.95, 2.24, 2.1961290322580647)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 200.0)","(71.0, 140.0, 135.0)","(11.0, 16.0, 15.4)","(41.0, 80.0, 72.0)"
15-12-2022 12:43:22.863657,"(91.0, 510.0, 460.0)","(2.45, 2.84, 2.7963636363636364)","(1.95, 2.24, 2.1961290322580647)","(7.0, 11.5, 11.039473684210526)","(91.0, 220.0, 200.0)","(71.0, 140.0, 135.0)","(11.0, 16.0, 15.1)","(41.0, 80.0, 72.0)"
