,Wingman Dan,Runaway Babe,Just Slick,November,Chidobe,High Suite,Kentucky Showman,Public Servant
08-01-2023 19:03:58.286479,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:03:59.392677,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 106.8)"
08-01-2023 19:04:00.503242,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 137.2)"
08-01-2023 19:04:01.635556,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 350.0, 140.66666666666669)"
08-01-2023 19:04:02.755329,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:03.904986,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:05.001106,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:06.077464,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.0, 12.066666666666666)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:07.147099,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:08.225979,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:09.326315,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.0875)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:10.456311,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1125)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:11.540014,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 15.866666666666667)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:12.585417,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 15.866666666666667)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:13.697118,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 15.866666666666667)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:14.811008,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:15.892124,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:16.980360,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:18.114063,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:19.224012,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:20.294205,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.1375)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 84.4)","(6.5, 12.0, 10.6)","(51.0, 330.0, 140.66666666666669)"
08-01-2023 19:04:21.386419,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 330.0, 176.1818181818182)"
08-01-2023 19:04:22.550064,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 330.0, 176.1818181818182)"
08-01-2023 19:04:23.669869,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 330.0, 176.1818181818182)"
08-01-2023 19:04:24.788442,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 330.0, 176.1818181818182)"
08-01-2023 19:04:25.943667,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 107.6470588235294)","(6.5, 12.0, 10.6)","(51.0, 330.0, 176.1818181818182)"
08-01-2023 19:04:27.056364,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 132.0)","(6.5, 12.0, 10.6)","(51.0, 330.0, 209.14285714285714)"
08-01-2023 19:04:28.213244,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 132.0)","(6.5, 12.0, 10.6)","(51.0, 330.0, 209.14285714285714)"
08-01-2023 19:04:29.319450,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 132.0)","(6.5, 12.0, 10.6)","(51.0, 330.0, 209.14285714285714)"
08-01-2023 19:04:30.390122,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 86.0)","(6.5, 12.0, 10.6)","(51.0, 330.0, 142.0)"
08-01-2023 19:04:31.432800,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 106.23529411764706)","(6.5, 12.0, 10.6)","(51.0, 330.0, 208.28571428571428)"
08-01-2023 19:04:32.499032,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.97142857142857)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 106.23529411764706)","(6.5, 12.0, 10.6)","(51.0, 330.0, 175.0909090909091)"
08-01-2023 19:04:33.597677,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.333333333333336)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 106.23529411764706)","(6.5, 12.0, 10.6)","(51.0, 330.0, 175.0909090909091)"
08-01-2023 19:04:34.720453,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.333333333333336)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 106.23529411764706)","(6.5, 12.0, 10.6)","(51.0, 330.0, 175.0909090909091)"
08-01-2023 19:04:35.790130,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 18.333333333333336)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 106.23529411764706)","(6.5, 12.0, 10.6)","(51.0, 330.0, 160.8)"
08-01-2023 19:04:36.806994,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 330.0, 160.8)"
08-01-2023 19:04:37.832688,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 330.0, 160.8)"
08-01-2023 19:04:38.913257,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 330.0, 160.8)"
08-01-2023 19:04:40.039969,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 330.0, 160.8)"
08-01-2023 19:04:41.124189,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 330.0, 152.8)"
08-01-2023 19:04:42.203698,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:43.266936,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:44.290081,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 97.5)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:45.343653,"(2.5, 3.55, 3.2266666666666666)","(2.45, 3.55, 3.2133333333333334)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:46.414541,"(2.5, 3.55, 3.2333333333333334)","(2.45, 3.55, 3.2199999999999998)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:47.584168,"(2.5, 3.55, 3.3388888888888886)","(2.45, 3.55, 3.33)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.439999999999998)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 12.0, 10.6)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:48.653771,"(2.5, 3.55, 3.3388888888888886)","(2.45, 3.55, 3.33)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.5, 17.04)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 12.0, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:49.653599,"(2.5, 3.55, 3.2333333333333334)","(2.45, 3.55, 3.2199999999999998)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.0, 17.04)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:50.673634,"(2.5, 3.55, 3.2333333333333334)","(2.45, 3.55, 3.2199999999999998)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.0, 17.04)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:51.655267,"(2.5, 3.55, 3.2333333333333334)","(2.45, 3.55, 3.2199999999999998)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.0, 17.04)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:52.678209,"(2.5, 3.55, 3.380909090909091)","(2.45, 3.55, 3.3736363636363635)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.0, 17.04)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:53.767221,"(2.5, 3.55, 3.0949999999999998)","(2.45, 3.55, 3.075)","(8.0, 14.5, 10.49090909090909)","(6.5, 19.0, 16.64)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:54.876296,"(2.5, 3.55, 3.380909090909091)","(2.45, 3.55, 3.3736363636363635)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 16.64)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 115.33333333333334)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:56.015678,"(2.5, 3.55, 2.89)","(2.45, 3.55, 2.8633333333333333)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.488888888888887)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:57.299967,"(2.5, 3.55, 2.89)","(2.45, 3.55, 2.8633333333333333)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.488888888888887)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:58.367891,"(2.5, 3.55, 3.2199999999999998)","(2.45, 3.55, 3.2066666666666666)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.488888888888887)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.8)","(51.0, 310.0, 152.8)"
08-01-2023 19:04:59.447486,"(2.5, 3.55, 2.89)","(2.45, 3.55, 2.8633333333333333)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.488888888888887)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:00.532672,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.415333333333333)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:01.630994,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:02.733048,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:03.754726,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:04.788631,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:05.806528,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:06.799861,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:07.903133,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:08.976182,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:10.065681,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 152.8)"
08-01-2023 19:05:11.100026,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 168.1818181818182)"
08-01-2023 19:05:12.134126,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.431176470588235)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 168.1818181818182)"
08-01-2023 19:05:13.152236,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 3.3976923076923073)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 168.1818181818182)"
08-01-2023 19:05:14.190317,"(2.5, 3.55, 3.4206666666666665)","(2.45, 3.55, 2.9166666666666665)","(8.0, 14.5, 10.49090909090909)","(6.5, 18.5, 17.893333333333334)","(26.0, 90.0, 42.72727272727273)","(31.0, 270.0, 81.19999999999999)","(6.5, 11.5, 9.181818181818182)","(51.0, 310.0, 168.1818181818182)"
