,Mozasu Nz,Trigger,Captain Thunderbolt Nz,Steinman Nz,Beancounter,Rocknroll Yankee
09-01-2023 14:21:18.367938,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:19.704308,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:20.920143,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:22.155450,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:23.293280,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:24.357465,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:25.522981,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:26.654347,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:27.762174,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:28.879898,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:29.973500,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:31.042185,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:32.170430,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:33.249986,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:34.325332,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:35.439218,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:36.580685,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:37.673510,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:38.660605,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:39.833561,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:41.021837,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:42.149145,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:43.112470,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:44.179762,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:45.220418,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:46.365472,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:47.544182,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:48.572963,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:49.608698,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:50.817299,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:51.916216,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:52.992149,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:54.090994,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:55.231607,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:56.371577,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:57.448835,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:58.497979,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:21:59.612302,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:00.743579,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:01.799545,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:02.898837,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:03.951740,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:05.052731,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:06.170418,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:07.185104,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:08.396867,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.3)","(5.0, 8.0, 7.125)"
09-01-2023 14:22:09.628075,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.3)","(5.0, 8.0, 7.125)"
09-01-2023 14:22:10.811069,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:11.921681,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:13.048175,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:14.262239,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:15.458279,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:16.592137,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:17.679973,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:18.727984,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:19.853402,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:20.942628,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:22.005078,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:23.131527,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:24.263534,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:25.366791,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:26.450894,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:27.421323,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:28.556263,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:29.716545,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:30.848077,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:32.005009,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:33.189413,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:34.501442,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:35.689986,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:36.859802,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:38.032695,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:39.306493,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:40.511376,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:41.773635,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:42.949091,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:44.121442,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:45.469347,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:46.917151,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:48.178571,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:49.393776,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:50.558030,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:51.729096,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:52.891866,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:53.990584,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:55.160536,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:56.284852,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:57.395335,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:58.490054,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:22:59.646557,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:00.818667,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:01.967273,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:03.035353,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:04.174508,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:05.327443,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:06.516107,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:07.664454,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:08.782021,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
09-01-2023 14:23:09.839866,"(3.3, 99999, 99990)","(5.0, 8.0, 6.72)","(31.0, 99999, 99990)","(2.9, 99999, 99990)","(4.6, 7.0, 6.377777777777778)","(5.0, 8.0, 7.222222222222222)"
