,Jupiter,Hozier Monelli,Ripple Raider,Lost Signal,Fernvale Flash,Here Wolfe
12-01-2023 18:05:56.300328,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 55.05882352941177)","(3.5, 6.6, 5.75)","(81.0, 570.0, 500.0)","(2.7, 3.55, 3.2125)"
12-01-2023 18:05:57.188091,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 84.66666666666667)","(3.5, 6.6, 5.75)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.2125)"
12-01-2023 18:05:58.177001,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 84.66666666666667)","(3.5, 6.6, 5.75)","(81.0, 580.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:05:59.205457,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 84.66666666666667)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:00.172607,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 84.66666666666667)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:01.173505,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 84.66666666666667)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:02.239688,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:03.124148,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:04.131823,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:05.160446,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 500.0)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:06.084671,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.2125)"
12-01-2023 18:06:07.032152,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:08.066558,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 580.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:08.973747,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:09.904076,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:10.900736,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:11.832921,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:12.752827,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:13.761117,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:14.710021,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:15.654150,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:16.638615,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:17.603764,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:18.595982,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:19.577802,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:20.498245,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:21.465648,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:22.484775,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:23.475519,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:24.465190,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:25.464516,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:26.420874,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:27.325173,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:28.309563,"(2.8, 3.25, 3.125)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 500.0)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:29.215653,"(2.8, 3.25, 3.173076923076923)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 580.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:30.225691,"(2.8, 3.25, 3.173076923076923)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:31.229835,"(2.8, 3.25, 3.173076923076923)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:32.183444,"(2.8, 3.25, 3.173076923076923)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.15625)"
12-01-2023 18:06:33.207504,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.55, 3.157142857142857)"
12-01-2023 18:06:34.138395,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.552941176470588)","(31.0, 140.0, 121.33333333333334)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:35.055658,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.714285714285714)","(31.0, 140.0, 121.33333333333334)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:36.127194,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.714285714285714)","(31.0, 140.0, 121.33333333333334)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:37.138082,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.714285714285714)","(31.0, 140.0, 93.71428571428571)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:38.197711,"(2.8, 3.25, 3.161111111111111)","(4.2, 7.4, 6.714285714285714)","(31.0, 120.0, 93.71428571428571)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:39.230072,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 120.0, 93.71428571428571)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:40.136691,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 67.23076923076923)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:41.086911,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 67.23076923076923)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1363636363636362)"
12-01-2023 18:06:42.088826,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 67.23076923076923)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:43.058544,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:44.036189,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:45.003680,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.75)","(81.0, 570.0, 366.6666666666667)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:46.053016,"(2.8, 3.25, 3.1833333333333336)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.1)","(81.0, 580.0, 491.66666666666663)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:47.014139,"(2.8, 3.25, 3.225)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.1)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.2)"
12-01-2023 18:06:47.974963,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 5.1)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1624999999999996)"
12-01-2023 18:06:48.897709,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 6.054545454545455)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1624999999999996)"
12-01-2023 18:06:50.111982,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 113.0)","(3.5, 6.6, 6.054545454545455)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1624999999999996)"
12-01-2023 18:06:51.405909,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 6.054545454545455)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.5, 3.1416666666666666)"
12-01-2023 18:06:52.552424,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.714285714285714)","(31.0, 130.0, 113.0)","(3.5, 6.6, 6.054545454545455)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.1416666666666666)"
12-01-2023 18:06:53.660323,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.552941176470588)","(31.0, 130.0, 109.53846153846153)","(3.5, 6.6, 6.1499999999999995)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.1875)"
12-01-2023 18:06:54.779624,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 240.0, 154.25)","(3.5, 6.6, 6.1499999999999995)","(81.0, 570.0, 491.66666666666663)","(2.7, 3.6, 3.1875)"
12-01-2023 18:06:55.936948,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.2)","(31.0, 230.0, 154.25)","(3.5, 6.6, 5.58)","(81.0, 570.0, 416.6666666666667)","(2.7, 3.6, 3.1875)"
12-01-2023 18:06:56.968800,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.2)","(31.0, 230.0, 154.25)","(3.5, 6.6, 6.239999999999999)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.6, 3.1875)"
12-01-2023 18:06:58.185194,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 230.0, 134.66666666666666)","(3.5, 6.6, 6.239999999999999)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.6, 3.1875)"
12-01-2023 18:06:59.251047,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 6.199999999999999)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.6, 3.1875)"
12-01-2023 18:07:00.278946,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.699999999999999)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.6, 3.0857142857142854)"
12-01-2023 18:07:01.476209,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.64)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:02.550063,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 6.066666666666666)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:03.515465,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 6.066666666666666)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:04.618152,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 6.066666666666666)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:05.634105,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 6.066666666666666)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:06.640884,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:07.653154,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:08.675424,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:09.690438,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:10.820433,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:11.890143,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:12.984647,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:13.911012,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:14.912539,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 101.84615384615385)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:15.829640,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 480.0, 416.6666666666667)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:16.779484,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:17.879662,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:18.934219,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:19.951556,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:21.060580,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:21.979534,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:22.943780,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:24.014969,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:24.942349,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:25.849688,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:26.830925,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:27.675577,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 220.0, 134.66666666666666)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:28.637992,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 180.0, 72.70588235294117)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:29.621301,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 180.0, 82.28571428571429)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:30.504961,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 180.0, 82.28571428571429)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:31.791879,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 180.0, 82.28571428571429)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.079411764705882)"
12-01-2023 18:07:32.743680,"(2.8, 3.25, 3.2333333333333334)","(4.2, 7.4, 6.275)","(31.0, 180.0, 82.28571428571429)","(3.5, 6.6, 5.85)","(81.0, 580.0, 500.0)","(2.7, 3.55, 3.0717391304347825)"
