,Real Steel,Fake,Federal Flame,Fortune Rose,Unacceptable Bro,Verve To Excel,Pattaya Pete,Smoking Barrel
08-01-2023 16:51:00.607220,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:01.802736,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:02.967235,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:04.077408,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:05.149851,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:06.211874,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:07.368142,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:08.545680,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:09.701433,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:10.817514,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:11.899410,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:12.941463,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:14.063088,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:15.217728,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:16.349137,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:17.464362,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:18.586119,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:19.649611,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:20.795403,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:21.911262,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:23.023364,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:24.096578,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:25.224100,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:26.289090,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:27.421680,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:28.507362,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:29.584306,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:30.696707,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:31.786520,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:32.899839,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:33.934000,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:34.929149,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:35.934608,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:36.955757,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:38.040812,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.38)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:39.042300,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 2.58, 2.88)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:40.123473,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.88)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:41.198214,"(3.1, 5.7, 5.041176470588235)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.5085714285714285)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:42.266892,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.5085714285714285)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:43.294167,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.5085714285714285)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:44.353408,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.5085714285714285)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:45.472760,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.5085714285714285)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:46.599656,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.4, 2.4837499999999997)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:47.711551,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.35, 2.83)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:48.783350,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.83)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:49.873497,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:50.933960,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:52.027438,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:53.049019,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:54.091110,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:55.231559,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:56.384617,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:57.505879,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:58.533861,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:51:59.563744,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.494285714285714)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:00.692132,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.3, 2.47125)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:01.839633,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.25, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:02.959821,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:04.046302,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:05.063808,"(3.1, 5.6, 5.171428571428571)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:06.146001,"(3.1, 5.4, 4.864705882352942)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:07.263508,"(3.1, 5.4, 4.49)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:08.315427,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:09.332754,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.7800000000000002)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:10.431457,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.538)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:11.545193,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.25, 2.538)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:12.620495,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.25, 2.465)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:13.705633,"(3.1, 5.4, 4.311111111111111)","(15.0, 42.0, 31.375)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.678181818181818)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:14.718385,"(3.1, 5.4, 4.311111111111111)","(15.0, 36.0, 33.5625)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.678181818181818)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
08-01-2023 16:52:15.764293,"(3.1, 5.4, 4.311111111111111)","(15.0, 36.0, 33.5625)","(15.0, 40.0, 29.583333333333336)","(91.0, 650.0, 372.5)","(2.3, 3.2, 2.678181818181818)","(5.0, 9.0, 8.654545454545454)","(26.0, 75.0, 47.77777777777778)","(5.5, 9.8, 7.550000000000001)"
