,Dollar Signs,Brightly Staring,Aston Esme,Arkansas,All Inn Ryder,Black Tuxedo
08-01-2023 17:25:59.197530,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:00.148150,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:01.110135,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:02.027722,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:03.000110,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:03.891415,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:04.852170,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:05.730569,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:06.602294,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:07.549572,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:08.440525,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:09.396168,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.097027027027027)"
08-01-2023 17:26:10.360814,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 4.758461538461539)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.15, 3.815)"
08-01-2023 17:26:11.306413,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.6, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.85, 3.103846153846154)"
08-01-2023 17:26:12.224663,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.75, 3.103846153846154)"
08-01-2023 17:26:13.089689,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.75, 3.103846153846154)"
08-01-2023 17:26:13.979919,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.75, 3.103846153846154)"
08-01-2023 17:26:14.859939,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.75, 3.103846153846154)"
08-01-2023 17:26:15.766936,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.75, 3.3785714285714286)"
08-01-2023 17:26:16.675117,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.65, 3.175)"
08-01-2023 17:26:17.556164,"(2.1, 2.48, 2.276923076923077)","(13.0, 26.0, 18.22222222222222)","(17.0, 44.0, 28.166666666666664)","(4.0, 6.4, 5.666666666666667)","(21.0, 190.0, 73.57142857142857)","(2.7, 3.65, 3.175)"
