,Zeldas Legend,Playboy Danger,Buckle Up Ginna,Locknane Serpent,Buckle Up Zion,Wave Blade,Camrose,Fine Irish
24,"[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 28, 121249), 3.7, 5.9]"
25,"[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 29, 253219), 3.7, 5.9]"
26,"[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 30, 391332), 3.7, 5.9]"
27,"[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 31, 519979), 3.7, 5.9]"
28,"[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 32, 651905), 3.7, 5.9]"
29,"[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 33, 789487), 3.7, 5.9]"
30,"[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 34, 923253), 3.7, 5.9]"
31,"[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 36, 76465), 3.7, 5.9]"
32,"[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 37, 276386), 3.7, 5.9]"
33,"[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 38, 454776), 3.7, 5.9]"
