,Homebush Opal,Mable Jewel,Barbaras Angel,Smash Jagger,Kildys Whiskey,Goldstar Butters,Clarks A Lark,Culvie Bun
12-01-2023 13:58:38.545538,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:39.664195,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 10.66875)"
12-01-2023 13:58:40.664836,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:41.699457,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:42.785352,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:43.837341,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:44.917432,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.388823529411765)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:46.014635,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:47.161441,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:48.271923,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:49.640267,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:50.694832,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:51.986578,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:53.117473,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:54.550092,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:55.881791,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:57.367321,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 18.666666666666668)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 16.4)","(4.2, 9.4, 8.3)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:58.672211,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 34.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 22.0, 18.05)","(4.2, 9.4, 6.25)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:58:59.925586,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 6.25)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:00.996401,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 7.359999999999999)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:02.161055,"(10.0, 19.0, 17.233333333333334)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:03.424619,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:04.581406,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:05.607950,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:06.748466,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:07.883397,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:09.010326,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.9714285714285715)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:10.166679,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:11.339663,"(10.0, 19.0, 12.200000000000001)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:12.465909,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:13.867452,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:15.111466,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.183703703703704)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:16.723793,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.397058823529411)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:18.403588,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.397058823529411)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:19.776804,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.397058823529411)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:21.233082,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.397058823529411)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:22.719416,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.397058823529411)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 19.333333333333336)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:24.135556,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.380588235294118)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:25.536068,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:26.785284,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:27.857525,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:29.039394,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:30.245342,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:31.548207,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:32.828061,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:34.038470,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:35.375243,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:36.562694,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:37.757478,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.942857142857143)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:38.915008,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 5.173333333333334)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.533333333333333)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:40.117097,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 18.05)","(4.2, 8.6, 5.533333333333333)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:41.358858,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.6, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:42.622150,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 107.85714285714286)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:43.874611,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:45.094335,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:46.283245,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:47.463040,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:48.653285,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:49.861404,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:51.094961,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.2875000000000005)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:52.370275,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.2875000000000005)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:53.704094,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:54.921602,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.2, 4.886666666666667)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:56.166885,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:57.427363,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:58.531382,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 13:59:59.684257,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 14:00:00.868452,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 108.57142857142857)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 14:00:02.225551,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 23.5)","(31.0, 310.0, 271.8918918918919)","(8.5, 19.0, 17.246153846153845)","(4.2, 8.4, 7.325)","(6.5, 11.0, 9.266666666666666)"
12-01-2023 14:00:03.544568,"(10.0, 19.0, 12.066666666666666)","(2.3, 6.0, 4.687096774193549)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 31.833333333333336)","(31.0, 310.0, 75.83333333333334)","(8.5, 19.0, 15.799999999999999)","(4.2, 8.4, 7.5)","(6.5, 11.0, 10.3625)"
12-01-2023 14:00:04.672772,"(10.0, 19.0, 16.085714285714285)","(2.3, 6.0, 5.040740740740741)","(6.0, 9.6, 9.355555555555554)","(14.0, 36.0, 31.833333333333336)","(31.0, 310.0, 75.83333333333334)","(8.5, 19.0, 15.799999999999999)","(4.2, 8.4, 7.2875000000000005)","(6.5, 11.0, 10.3625)"
