,Spots Like Forty,Energizer Miss,Sweptail,Cumbria Dave,Venetian Fury
09-01-2023 17:48:35.835703,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:36.704813,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:37.667531,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:38.619382,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:39.607037,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:40.555197,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:41.480291,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:42.413676,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:43.272130,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:44.161013,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:45.086823,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:45.948552,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:46.873448,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:47.745129,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:48.723886,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:49.634160,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:50.563654,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:51.526362,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:52.386543,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:53.254209,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:54.133108,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:55.097815,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:56.087334,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:57.141513,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:58.178734,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:48:59.128436,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:00.042376,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:00.880938,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:01.815094,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:02.868988,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.632786885245902)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:03.891517,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.6758620689655173)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:04.904003,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:05.868008,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:06.786856,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:07.684902,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:08.630130,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:09.502856,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:10.433965,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:11.296700,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:12.139340,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:13.003436,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.7551724137931033)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:13.941774,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.498148148148148)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:14.856650,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 3.498148148148148)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:15.831004,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:16.728981,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:17.640817,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:18.530914,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:19.370725,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:20.241901,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:21.213553,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:22.218499,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:23.245913,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:24.311792,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:25.324508,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:26.268868,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:27.125986,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:27.975552,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:28.922660,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:29.955746,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:30.962853,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:31.939652,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:32.810309,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:33.692586,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:34.574393,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:35.456483,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:36.352352,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:37.277351,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:38.197317,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:39.061592,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:39.999785,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:40.924456,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:41.881500,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:42.872411,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:43.885197,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:44.827922,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:45.705886,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:46.558886,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:47.440365,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:48.322442,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:49.267865,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:50.209452,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:51.191758,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:52.093462,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:52.947885,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:53.845440,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:54.820681,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:55.769018,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:56.670296,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:57.523874,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:58.393725,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.09090909090909)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:49:59.418600,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:00.452743,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:01.432221,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:02.467943,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:03.390254,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:04.248659,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:05.162663,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:06.062712,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:07.024720,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:07.961772,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:08.880891,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:09.766073,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:10.724827,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:11.676658,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:12.645321,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:13.564361,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
09-01-2023 17:50:14.478122,"(5.5, 9.6, 6.3999999999999995)","(2.1, 2.38, 2.3608)","(3.1, 5.5, 4.030555555555556)","(11.0, 21.0, 20.0)","(5.5, 8.8, 8.292307692307693)"
