,Rocky Reef,Jonah Love,Canent Percy,Hes Got Swagger,Go Jack,Kinloch Cutie,Bobby Rissole
09-01-2023 18:30:25.989587,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:27.305658,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:28.714720,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:30.030608,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:31.182158,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:32.396597,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:33.630152,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:34.908477,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:36.140059,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:37.332187,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:38.514683,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:39.618006,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:40.728297,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:41.843095,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:43.044857,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:44.233146,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:45.434084,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:46.558167,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:47.744314,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:48.943649,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:50.127706,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:51.255387,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 410.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:52.384058,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:53.453181,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:54.563517,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:55.713819,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:56.838276,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 3.248)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:57.960797,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:30:59.106002,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:31:00.262827,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 400.0, 225.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 55.0)"
09-01-2023 18:31:01.413802,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.005555555555555)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 400.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:02.592671,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:03.838259,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:04.989625,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:06.082573,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:07.300543,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:08.418436,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:09.474547,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:10.543434,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 230.0)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:11.634756,"(2.05, 3.15, 2.121)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:12.758305,"(2.05, 3.15, 2.121)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:13.931543,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:15.051677,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:16.193659,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:17.329544,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.8657142857142857)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:18.504354,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.1, 2.71125)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:19.720924,"(2.05, 3.1, 2.2111111111111112)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.3, 2.71125)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:20.879573,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.3, 2.71125)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:22.096204,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.3, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:23.292445,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:24.496635,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:25.634385,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:26.774511,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:27.854932,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
09-01-2023 18:31:28.902294,"(2.05, 3.05, 2.2055555555555557)","(5.5, 9.6, 8.96923076923077)","(71.0, 550.0, 468.33333333333337)","(2.6, 4.2, 2.8525)","(51.0, 410.0, 188.46153846153845)","(6.5, 12.0, 8.25)","(21.0, 95.0, 59.5)"
