,Danspur,Hardyo,Ringside,Sure Strategy,Corvo,Quest For Honor,Time To Dazzle,Lucky Jackson,Stampede Warrior,The Enzo,Mondial Express,Aisle Six
12-01-2023 14:00:05.289835,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.49090909090909)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:06.930260,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.49090909090909)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:08.577665,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.34)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.49090909090909)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:10.456864,"(7.0, 9.2, 7.914285714285715)","(9.0, 23.0, 14.071428571428571)","(4.6, 6.0, 5.45)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:12.383791,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.9, 5.228571428571429)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:14.045985,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:15.606105,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:17.129787,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:18.724067,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.266666666666667)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.9)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:20.238504,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.266666666666667)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:21.810247,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.8, 5.266666666666667)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:23.399157,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.7, 5.28)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:24.960965,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.7, 5.28)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:26.477855,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.7, 5.28)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:28.058071,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.7, 5.28)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:29.670041,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.7, 5.24)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:31.261875,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.6, 5.24)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:32.857313,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.6, 5.24)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.557142857142857)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:34.398796,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.6, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:35.954233,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.5, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:37.564433,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.5, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:39.215562,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.5, 5.2)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:40.958638,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.5, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:42.851652,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:44.532019,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:46.284551,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:47.907524,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:49.545165,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(21.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:51.118796,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 104.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:52.702754,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:54.362025,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:00:55.918006,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 20.666666666666664)","(4.6, 6.8, 6.0)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:01.589958,"(7.0, 9.2, 8.057142857142857)","(9.0, 23.0, 14.071428571428571)","(4.6, 5.4, 5.1000000000000005)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 6.472727272727273)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:03.207549,"(7.0, 9.2, 8.2)","(9.0, 23.0, 16.25)","(4.6, 5.4, 5.04)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.949999999999999)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:04.816741,"(7.0, 9.2, 8.2)","(9.0, 22.0, 16.25)","(4.6, 5.4, 5.04)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.949999999999999)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:06.393565,"(7.0, 9.2, 8.2)","(9.0, 22.0, 16.25)","(4.6, 5.4, 5.04)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.949999999999999)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:07.942823,"(7.0, 9.2, 8.2)","(9.0, 22.0, 16.25)","(4.6, 5.4, 5.04)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.949999999999999)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
12-01-2023 14:01:09.534672,"(7.0, 9.2, 8.2)","(9.0, 22.0, 16.25)","(4.6, 5.4, 5.04)","(11.0, 21.0, 18.0)","(26.0, 130.0, 78.0)","(12.0, 25.0, 18.75)","(4.6, 6.8, 5.949999999999999)","(12.0, 23.0, 19.0)","(7.0, 13.5, 10.083333333333334)","(20.0, 50.0, 23.75)","(20.0, 27.0, 25.837209302325583)","(17.0, 34.0, 22.0)"
