,Spring Maple,Tuta Yankee,Point To Point,Spring Rock,Springview Magic,Bundy Prize,Duelling Banjos,Nando Sid
06-01-2023 15:47:26.954033,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:27.997053,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:29.029370,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:30.116282,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:31.200064,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:32.316806,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 7.5032258064516135)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:33.526917,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.8000000000000003)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:34.695067,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.709090909090909)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:35.749601,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.709090909090909)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:36.762254,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.709090909090909)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:50.469361,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.492307692307694)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:51.741064,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:53.099491,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:54.406490,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:55.599902,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:56.777640,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:57.990492,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:47:59.199796,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:00.523284,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:01.595091,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:02.788818,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:04.016058,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:05.597737,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:07.232613,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:08.999660,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:10.427392,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:11.737023,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:12.958537,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:14.304080,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:15.618324,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:16.966177,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:18.265174,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:19.557231,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:20.722821,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 6.023529411764706)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 13.157142857142858)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
06-01-2023 15:48:21.902100,"(3.0, 4.8, 3.3)","(101.0, 650.0, 555.8333333333334)","(5.5, 9.4, 5.9)","(31.0, 100.0, 62.5)","(3.7, 5.7, 4.58)","(9.0, 21.0, 10.2)","(2.9, 5.2, 3.876923076923077)","(51.0, 220.0, 86.5)"
