,Zenani,Bronze Mile,Fascinate Model,Lakota,Apache Teepee,Send It Tiger,Ready To Wiggle,Banebridge
10-01-2023 20:34:30.507429,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:31.980949,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:33.288084,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:34.560867,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:35.756133,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:36.972035,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:38.218278,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:39.577211,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:40.996201,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:42.305544,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:43.596161,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:45.258105,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:46.615301,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:48.177996,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:49.674041,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:51.183439,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:52.793843,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:54.206201,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:55.670471,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:57.170036,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:34:58.638374,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:00.162245,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:01.677247,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:02.992206,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:04.490234,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:05.955249,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:07.293069,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:08.532000,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:09.845031,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:11.124764,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:12.463025,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:13.842210,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:15.117411,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:16.531835,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:17.918853,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:19.380728,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:20.806596,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:22.123643,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:23.483539,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:24.883590,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:26.214519,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:27.403470,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:28.632489,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:29.844114,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:31.110908,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:32.453760,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:33.679632,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:34.980573,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:36.280121,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:37.449092,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:38.812501,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:40.135266,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:41.263139,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:42.277896,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:43.440458,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:44.649469,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:45.815305,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:46.924175,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:48.040002,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
10-01-2023 20:35:49.161014,"(2.7, 4.5, 3.01875)","(41.0, 340.0, 190.0)","(21.0, 90.0, 71.51724137931035)","(3.3, 5.0, 3.6222222222222222)","(71.0, 570.0, 506.875)","(4.4, 8.2, 5.888888888888888)","(7.5, 16.5, 8.3625)","(5.0, 12.5, 5.863636363636363)"
