,Melinke,Dissmagic,Drink Then Kiss,Fine Things,Rocknrollprincess,Cato Lake,Coldenkim,Piwhane,Warringah Storm,Lone Raider
04-01-2023 13:57:52.033914,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.2, 4.807142857142857)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:53.225813,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.2, 4.807142857142857)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:54.428511,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.442105263157894)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.2, 4.807142857142857)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:55.737729,"(3.0, 4.3, 4.266129032258064)","(5.5, 7.4, 6.733333333333333)","(5.5, 7.6, 7.3619047619047615)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.2, 4.9)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:57.181991,"(3.0, 4.3, 4.259090909090909)","(5.5, 7.2, 7.0)","(5.5, 7.6, 7.3619047619047615)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.1, 4.82)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:58.434408,"(3.0, 4.3, 4.259090909090909)","(5.5, 7.2, 7.0)","(5.5, 7.6, 7.133333333333334)","(11.0, 20.0, 16.666666666666668)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.1, 4.775)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:57:59.684250,"(3.0, 4.3, 4.1899999999999995)","(5.5, 7.2, 7.08)","(5.5, 7.2, 7.133333333333334)","(11.0, 20.0, 16.666666666666668)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.0, 4.775)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:00.955755,"(3.0, 4.3, 4.1899999999999995)","(5.5, 7.2, 6.8)","(5.5, 7.2, 7.322222222222222)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.0, 4.8090909090909095)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:02.202220,"(3.0, 4.3, 4.271428571428571)","(5.5, 7.2, 6.666666666666667)","(5.5, 7.6, 7.322222222222222)","(11.0, 20.0, 16.875)","(101.0, 360.0, 226.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 230.0)","(4.2, 5.1, 4.8090909090909095)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:03.398067,"(3.0, 4.3, 4.271428571428571)","(5.5, 7.2, 6.666666666666667)","(5.5, 7.6, 7.322222222222222)","(11.0, 20.0, 16.875)","(101.0, 360.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 370.0, 226.66666666666669)","(4.2, 5.1, 4.8090909090909095)","(101.0, 450.0, 256.6666666666667)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:04.707544,"(3.0, 4.3, 4.271428571428571)","(5.5, 7.2, 6.666666666666667)","(5.5, 7.6, 7.322222222222222)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.8090909090909095)","(101.0, 450.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:05.908688,"(3.0, 4.3, 4.271428571428571)","(5.5, 7.2, 6.666666666666667)","(5.5, 7.6, 7.322222222222222)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.8090909090909095)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:07.143924,"(3.0, 4.3, 4.271428571428571)","(5.5, 7.2, 6.48)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:08.398918,"(3.0, 4.3, 4.285)","(5.5, 7.2, 6.866666666666667)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:09.618861,"(3.0, 4.3, 4.285)","(5.5, 7.2, 6.866666666666667)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:10.824599,"(3.0, 4.3, 4.285)","(5.5, 7.2, 6.866666666666667)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:11.943465,"(3.0, 4.3, 4.285)","(5.5, 7.2, 6.866666666666667)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 143.33333333333331)"
04-01-2023 13:58:13.098917,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 290.0, 140.0)"
04-01-2023 13:58:14.263509,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:15.469896,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:16.891125,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:18.402915,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:19.697291,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:20.916145,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 223.33333333333334)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 226.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 253.33333333333331)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:22.217224,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 350.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 360.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 440.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:23.460167,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:24.878990,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:26.184301,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:27.413395,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:28.621076,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 246.66666666666669)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:29.832786,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 243.33333333333331)","(4.8, 7.4, 7.321052631578947)","(101.0, 420.0, 255.0)","(4.2, 5.1, 4.82)","(101.0, 500.0, 330.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:31.014018,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 410.0, 240.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 350.0, 220.0)","(4.2, 5.1, 4.82)","(101.0, 500.0, 270.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:32.197593,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 400.0, 240.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 340.0, 220.0)","(4.2, 5.1, 4.82)","(101.0, 490.0, 270.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:33.350805,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 400.0, 240.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 340.0, 220.0)","(4.2, 5.1, 4.82)","(101.0, 490.0, 270.0)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:34.596312,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 400.0, 240.0)","(4.8, 7.4, 7.321052631578947)","(101.0, 340.0, 220.0)","(4.2, 5.1, 4.82)","(101.0, 490.0, 266.6666666666667)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:35.746119,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 390.0, 236.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 330.0, 216.66666666666666)","(4.2, 5.1, 4.82)","(101.0, 480.0, 266.6666666666667)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:36.870533,"(3.0, 4.3, 4.294827586206896)","(5.5, 7.2, 6.3)","(5.5, 7.6, 7.3999999999999995)","(11.0, 20.0, 16.875)","(101.0, 390.0, 236.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 330.0, 216.66666666666666)","(4.2, 5.1, 4.85)","(101.0, 480.0, 266.6666666666667)","(51.0, 280.0, 140.0)"
04-01-2023 13:58:38.194659,"(3.0, 4.3, 4.279999999999999)","(5.5, 7.0, 6.466666666666667)","(5.5, 7.4, 7.352941176470589)","(11.0, 20.0, 16.666666666666668)","(101.0, 390.0, 236.66666666666669)","(4.8, 7.4, 7.321052631578947)","(101.0, 330.0, 216.66666666666666)","(4.2, 5.1, 4.85)","(101.0, 480.0, 266.6666666666667)","(51.0, 280.0, 140.0)"
