,Sweet Kathlene,Just A Jester,Confer,Daintree Lad,All To Mac,Sweaty Hand,Big City Nights
07-01-2023 09:17:04.638014,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:05.647528,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:06.741735,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:07.712648,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:08.687761,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:09.618976,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:10.563041,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:11.539510,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:12.555763,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:13.613753,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:14.643965,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:15.674291,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:16.754636,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 8.17)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:17.758283,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 8.17)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:17:18.738056,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 8.17)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:19.648835,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 8.17)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:20.581034,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.894736842105264)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:21.576909,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.645161290322581)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:22.628242,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:23.662908,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:24.732854,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:25.812249,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:26.847802,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:27.892559,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:28.920417,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:29.851935,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:30.760643,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:31.681592,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:32.637095,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:33.643115,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:34.728488,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:35.754266,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:36.811602,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:37.773615,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:38.752058,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:39.647495,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:40.665320,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:41.745861,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:42.809047,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:43.981884,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:45.224876,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:46.475248,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:47.531889,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.4)"
07-01-2023 09:17:48.558198,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 13.914285714285715)"
07-01-2023 09:17:49.635428,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:50.710198,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:51.795788,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:52.922247,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:54.026731,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:55.049296,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:56.055761,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:57.065427,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:58.142697,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.67741935483871)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:17:59.235297,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:00.298818,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:01.346999,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:02.441440,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:03.553917,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 101.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:04.589565,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 222.0)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:05.673038,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 222.0)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:06.655721,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 96.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:07.593491,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:08.522298,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:09.517245,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:10.545191,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:11.627774,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:12.762071,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:13.872789,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:14.985553,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:16.015704,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:17.148900,"(3.0, 4.3, 3.275757575757576)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:18.137392,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.184615384615384)"
07-01-2023 09:18:19.148317,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.488888888888889)"
07-01-2023 09:18:20.336046,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.17142857142857)"
07-01-2023 09:18:21.472565,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 17.17142857142857)"
07-01-2023 09:18:22.810710,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:18:23.889185,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:18:24.963927,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:18:26.068193,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:18:27.064550,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
07-01-2023 09:18:28.061516,"(3.0, 4.3, 3.475609756097561)","(5.5, 10.5, 9.158064516129032)","(4.4, 7.6, 4.975)","(5.0, 9.0, 7.947368421052632)","(51.0, 410.0, 106.66666666666666)","(5.5, 9.6, 7.871428571428571)","(5.5, 21.0, 15.222222222222221)"
