,Blue Bloodz,Sabotage,Shesfeelinspecial,Reds Star Deal,Charlie My Boy,Mister Galvinator,Certainlycallitin,Heavenly Sea
11-01-2023 19:36:22.722592,"(1.5, 1.99, 1.8366666666666667)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.275)","(101.0, 210.0, 190.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:23.938124,"(1.5, 1.96, 1.9276923076923076)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.275)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:25.136874,"(1.5, 1.96, 1.9276923076923076)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.275)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:26.299963,"(1.5, 1.96, 1.9276923076923076)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.275)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:27.570133,"(1.5, 1.96, 1.9276923076923076)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:28.814084,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:30.135587,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:31.434918,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:32.670096,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:33.857875,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 186.0)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:35.041595,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.483333333333333)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:36.199706,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:37.458753,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:38.735540,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:40.029226,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:41.272246,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:42.513076,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:43.709133,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:44.845669,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:45.988747,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:47.192666,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:48.389114,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:49.628018,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:50.804004,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:51.991025,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:53.231556,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.8)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:54.444684,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:55.724726,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:57.012665,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:58.237946,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:36:59.391398,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.927272727272728)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:00.534422,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.8772727272727274)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.333333333333334)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:01.676482,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.333333333333334)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:02.937522,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.333333333333334)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:04.245642,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.333333333333334)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:05.498981,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:06.727710,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:07.919639,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:09.128177,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:10.318299,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:11.537028,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:12.754323,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:13.946207,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 10.266666666666666)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.9375)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:15.313292,"(1.5, 1.96, 1.894375)","(6.5, 11.5, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 3.975)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:16.589018,"(1.5, 1.96, 1.93)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.8, 4.1000000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:17.923536,"(1.5, 1.96, 1.8921428571428571)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 4.1000000000000005)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:19.476003,"(1.5, 1.96, 1.9125)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.95)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:20.897982,"(1.5, 1.96, 1.9125)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.95)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:22.282976,"(1.5, 1.96, 1.9125)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 4.2875)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:23.654325,"(1.5, 1.99, 1.8864705882352941)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.7769230769230773)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:25.101473,"(1.5, 1.96, 1.93625)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.7769230769230773)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 99.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:26.258436,"(1.5, 1.96, 1.93625)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.7769230769230773)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:27.674788,"(1.5, 1.96, 1.93625)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.7769230769230773)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:28.957590,"(1.5, 1.96, 1.93625)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.7769230769230773)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:30.219526,"(1.5, 1.96, 1.93625)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:31.499787,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:32.801450,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:33.991119,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:35.277431,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:36.421845,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:37.599274,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:38.836185,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.88)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 8.466666666666667)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:40.055548,"(1.5, 1.96, 1.9184615384615384)","(6.5, 11.0, 9.08)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.6, 3.9125)","(101.0, 210.0, 163.33333333333334)","(8.0, 9.8, 9.6)","(51.0, 110.0, 80.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:41.319524,"(1.5, 1.95, 1.89)","(6.5, 11.0, 9.4)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.7, 4.275)","(101.0, 210.0, 163.33333333333334)","(8.0, 10.5, 10.142857142857142)","(51.0, 110.0, 78.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:42.497888,"(1.5, 1.95, 1.91)","(6.5, 11.0, 9.4)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.275)","(101.0, 210.0, 163.33333333333334)","(8.0, 10.5, 10.142857142857142)","(51.0, 110.0, 78.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:43.633509,"(1.5, 1.95, 1.9192307692307693)","(6.5, 11.0, 9.4)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.5875)","(101.0, 210.0, 163.33333333333334)","(8.0, 10.5, 10.142857142857142)","(51.0, 110.0, 78.0)","(71.0, 190.0, 167.27272727272725)"
11-01-2023 19:37:44.844011,"(1.5, 1.95, 1.9192307692307693)","(6.5, 11.0, 9.4)","(51.0, 95.0, 88.33333333333334)","(3.2, 4.9, 4.5875)","(101.0, 210.0, 163.33333333333334)","(8.0, 10.5, 10.142857142857142)","(51.0, 110.0, 78.0)","(71.0, 190.0, 167.27272727272725)"
