,Beach Magic,Animado,The General Nz,Woodlea Diego Nz,Rollyarrrz Nz,Katacha Man,Jaccka Wally Nz,The Irish Eagle,Prince Joy,Blackjack Bart
07-01-2023 19:45:20.012959,"(9.0, 11.5, 11.196078431372548)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 65.0, 50.75)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 70.0, 60.57142857142857)"
07-01-2023 19:45:21.261918,"(9.0, 11.5, 11.196078431372548)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 65.0, 50.75)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5625)","(7.5, 12.0, 11.644736842105264)","(51.0, 70.0, 60.57142857142857)"
07-01-2023 19:45:22.674017,"(9.0, 11.5, 11.196078431372548)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 65.0, 49.25)","(31.0, 99999, 99990)","(17.0, 24.0, 22.46153846153846)","(7.5, 12.0, 11.644736842105264)","(51.0, 70.0, 65.6)"
07-01-2023 19:45:24.015635,"(9.0, 11.5, 11.196078431372548)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 65.0, 53.1875)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90625)","(7.5, 12.0, 11.644736842105264)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:25.305952,"(9.0, 11.5, 11.196078431372548)","(1.4, 1.69, 1.6637499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 65.0, 53.1875)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90625)","(7.5, 12.0, 11.644736842105264)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:26.570927,"(9.0, 11.5, 11.081395348837209)","(1.4, 1.68, 1.6537499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 60.0, 53.0)","(31.0, 99999, 99990)","(17.0, 24.0, 21.75)","(7.5, 12.0, 11.5)","(51.0, 70.0, 62.5)"
07-01-2023 19:45:27.805118,"(9.0, 11.5, 11.081395348837209)","(1.4, 1.68, 1.6537499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 60.0, 53.0)","(31.0, 99999, 99990)","(17.0, 24.0, 21.75)","(7.5, 12.0, 11.5)","(51.0, 70.0, 62.5)"
07-01-2023 19:45:28.978706,"(9.0, 11.5, 11.081395348837209)","(1.4, 1.68, 1.6537499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 60.0, 53.0)","(31.0, 99999, 99990)","(17.0, 24.0, 21.75)","(7.5, 12.0, 11.5)","(51.0, 70.0, 62.5)"
07-01-2023 19:45:30.174496,"(9.0, 11.5, 11.081395348837209)","(1.4, 1.68, 1.6537499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 60.0, 53.0)","(31.0, 99999, 99990)","(17.0, 24.0, 21.75)","(7.5, 12.0, 11.5)","(51.0, 70.0, 62.5)"
07-01-2023 19:45:31.403328,"(9.0, 11.5, 11.081395348837209)","(1.4, 1.68, 1.6537499999999998)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 60.0, 53.0)","(31.0, 99999, 99990)","(17.0, 24.0, 23.1)","(7.5, 12.0, 11.666666666666666)","(51.0, 70.0, 62.5)"
07-01-2023 19:45:32.673010,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.68, 1.6784615384615384)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 11.75)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:33.948123,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.69, 1.6633333333333333)","(16.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 11.75)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:35.323652,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.69, 1.666)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 12.0)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:36.566150,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.69, 1.6684615384615384)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 12.306451612903226)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:37.839520,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.69, 1.6749999999999998)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:39.112709,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.69, 1.6749999999999998)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 22.26923076923077)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:40.355501,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.7, 1.6723076923076923)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 24.0, 21.5)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:41.671539,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.7, 1.673)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:42.958630,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.7, 1.6925)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 44.6)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:44.254467,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.7, 1.6925)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.714285714285715)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:45.458141,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.7, 1.6925)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.714285714285715)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.125)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:46.656824,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.71, 1.7016129032258065)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.714285714285715)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.175675675675675)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:47.838596,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.71, 1.7016129032258065)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.714285714285715)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.175675675675675)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:49.047972,"(9.0, 11.5, 11.060975609756097)","(1.4, 1.71, 1.7016129032258065)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.714285714285715)","(31.0, 99999, 99990)","(17.0, 23.0, 21.90909090909091)","(7.5, 12.5, 12.175675675675675)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:50.245086,"(9.0, 11.0, 10.735294117647058)","(1.4, 1.71, 1.6925)","(17.0, 99999, 99990)","(21.0, 99999, 99990)","(19.0, 99999, 99990)","(41.0, 55.0, 48.5)","(31.0, 99999, 99990)","(17.0, 24.0, 21.20689655172414)","(7.5, 12.5, 12.175675675675675)","(51.0, 70.0, 65.0)"
07-01-2023 19:45:51.500647,"(9.0, 11.0, 10.555555555555555)","(1.45, 1.71, 1.706774193548387)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 25.0, 21.20689655172414)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 65.0)"
07-01-2023 19:45:52.750285,"(9.0, 11.0, 10.555555555555555)","(1.45, 1.71, 1.7070588235294117)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 25.0, 23.11111111111111)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 65.0)"
07-01-2023 19:45:54.002637,"(9.0, 11.0, 10.53125)","(1.45, 1.71, 1.708)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 24.0, 22.333333333333332)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 65.0)"
07-01-2023 19:45:55.303404,"(9.0, 11.0, 10.524390243902438)","(1.45, 1.71, 1.708)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 23.0, 22.333333333333332)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 65.0)"
07-01-2023 19:45:56.606952,"(9.0, 11.0, 10.524390243902438)","(1.45, 1.71, 1.6857142857142857)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 23.0, 22.333333333333332)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 65.0)"
07-01-2023 19:45:57.907161,"(9.0, 11.0, 10.524390243902438)","(1.45, 1.69, 1.6854545454545453)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 23.0, 21.666666666666668)","(8.5, 12.5, 12.175675675675675)","(41.0, 70.0, 66.0)"
07-01-2023 19:45:59.230910,"(9.0, 11.0, 10.303571428571429)","(1.45, 1.69, 1.6854545454545453)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 23.0, 22.6)","(8.5, 12.5, 11.7)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:00.535433,"(9.0, 11.0, 10.303571428571429)","(1.45, 1.69, 1.707090909090909)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 23.0, 22.724137931034484)","(8.5, 12.5, 11.777777777777779)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:01.815154,"(9.0, 11.0, 10.303571428571429)","(1.45, 1.71, 1.707090909090909)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 50.666666666666664)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.0, 11.9)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:03.093905,"(9.0, 11.0, 10.35)","(1.45, 1.66, 1.6403703703703703)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 49.22222222222222)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.0, 12.205882352941176)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:04.359269,"(9.0, 11.0, 10.333333333333334)","(1.45, 1.66, 1.6502040816326529)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 49.22222222222222)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.5, 12.021739130434783)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:05.632650,"(9.0, 11.0, 10.333333333333334)","(1.45, 1.67, 1.6502040816326529)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 49.22222222222222)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.5, 12.021739130434783)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:06.874950,"(9.0, 11.0, 10.333333333333334)","(1.45, 1.65, 1.6404807692307692)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 49.22222222222222)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.5, 12.021739130434783)","(41.0, 70.0, 66.0)"
07-01-2023 19:46:08.071454,"(9.0, 11.5, 11.131578947368421)","(1.45, 1.65, 1.6404807692307692)","(16.0, 99999, 99990)","(20.0, 99999, 99990)","(21.0, 99999, 99990)","(41.0, 55.0, 49.22222222222222)","(31.0, 99999, 99990)","(17.0, 25.0, 22.807692307692307)","(8.5, 12.5, 12.021739130434783)","(41.0, 70.0, 66.0)"
