,Dusty Old Road,Prince Of Egypt,Officer Rod,We Are Cousins,Cool Summer,Run Topper
12-01-2023 14:00:51.277083,"(3.8, 6.8, 6.1)","(4.8, 8.8, 8.0)","(2.1, 2.8, 2.2214285714285715)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:52.418190,"(3.8, 6.8, 6.1)","(4.8, 8.8, 8.02)","(2.1, 2.8, 2.252727272727273)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:53.441083,"(3.8, 6.8, 6.1)","(4.8, 8.8, 6.9)","(2.1, 2.78, 2.252727272727273)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:54.538546,"(3.8, 6.8, 6.1)","(4.8, 8.8, 6.9)","(2.1, 2.78, 2.252727272727273)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:55.575087,"(3.8, 6.8, 6.133333333333333)","(4.8, 8.8, 6.9)","(2.1, 2.78, 2.252727272727273)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:56.654064,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.78, 2.244615384615385)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:57.675111,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.76, 2.206153846153846)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:58.725414,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.76, 2.206153846153846)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:00:59.762846,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.76, 2.214545454545455)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:00.774065,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.76, 2.214545454545455)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:01.768512,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 8.040000000000001)","(2.1, 2.76, 2.214545454545455)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:02.891681,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 8.040000000000001)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:03.913503,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:04.934521,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:06.040080,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 89.23076923076923)"
12-01-2023 14:01:07.073628,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 164.70588235294116)"
12-01-2023 14:01:08.173343,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 6.9)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 93.84615384615384)"
12-01-2023 14:01:09.233708,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 8.166666666666668)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 93.84615384615384)"
12-01-2023 14:01:10.318647,"(3.8, 6.8, 6.166666666666667)","(4.8, 8.8, 8.166666666666668)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 98.46153846153845)"
12-01-2023 14:01:11.313461,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 98.46153846153845)"
12-01-2023 14:01:12.381964,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 151.25)"
12-01-2023 14:01:13.455049,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 440.0, 79.16666666666666)"
12-01-2023 14:01:14.460325,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 79.16666666666666)"
12-01-2023 14:01:15.516455,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.3533333333333335)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:16.687308,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.11111111111111)"
12-01-2023 14:01:17.740239,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:18.776306,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:19.866593,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:20.799003,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:21.867222,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.2854545454545456)","(21.0, 70.0, 40.46153846153847)","(3.9, 4.5, 4.2)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:22.993779,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.333333333333332)","(2.1, 2.74, 2.265)","(21.0, 70.0, 43.81818181818181)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:24.061122,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.666666666666666)","(2.1, 2.74, 2.265)","(21.0, 70.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:25.184073,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.74, 2.265)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
