,Tralee Cruiser,Sugar Keeping,Okay Boomer,Very Dark Gold,Winlock To Rise,Aria Herrera,Rutland Georgia,Sassy Sal
05-01-2023 17:22:12.324365,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:13.608429,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:14.923658,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:16.203038,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:17.518848,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:18.763338,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:20.129797,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 540.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:21.475816,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:22.873578,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:24.218201,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3389285714285712)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:25.608961,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:26.862912,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:28.053383,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 560.0)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:29.294019,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:30.549392,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:32.129122,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 1.9518749999999998)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:33.680797,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:35.130408,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:36.494653,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:37.722390,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:38.903613,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:40.064436,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:41.231497,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:42.433629,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:43.699603,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:45.029092,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:46.419395,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.106315789473684)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:47.806470,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:49.111096,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:50.490562,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:51.792569,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:53.026703,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:54.276252,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:55.498160,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 558.3333333333334)","(11.0, 23.0, 18.9375)","(18.0, 44.0, 33.03846153846154)","(61.0, 220.0, 82.5)","(26.0, 90.0, 54.44444444444444)"
05-01-2023 17:22:56.801339,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:58.123126,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:22:59.487051,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:23:00.912344,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:23:02.412079,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:23:03.979071,"(3.2, 5.8, 3.6423076923076922)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:23:05.416816,"(3.2, 5.8, 3.5999999999999996)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
05-01-2023 17:23:06.913020,"(3.2, 5.8, 3.5999999999999996)","(1.75, 2.88, 2.3603571428571426)","(4.8, 8.6, 8.085714285714285)","(91.0, 650.0, 588.8888888888889)","(11.0, 23.0, 16.055555555555557)","(18.0, 44.0, 25.333333333333336)","(61.0, 220.0, 113.92857142857143)","(26.0, 90.0, 55.86666666666667)"
