,Delightful Anna,Attahua Ace,Blissfull Identity,Marley Bromac,Seven Rippin Aces,Shes So Brave,Rippin Good Feelin,Spruce Loose,Wotnow Swanee,Betterthankkylie
15-12-2022 12:21:51.116635,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.2, 7.6)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 33.333333333333336)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:52.229338,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:53.408728,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:54.740179,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:56.179771,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:57.429069,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:21:58.748178,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:00.236516,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:01.552274,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:02.957140,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:04.318103,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:05.571992,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:06.760157,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:08.019103,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:09.151541,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:10.304731,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:11.476063,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:12.669861,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 12.266666666666666)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:13.842198,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 8.05)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:15.117753,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:16.657362,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:18.352660,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:19.630097,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:20.816909,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 298.125)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:21.992725,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:23.118125,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:24.259784,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:25.425806,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:26.531373,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:27.630028,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:28.765609,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:29.913696,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:31.218845,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:32.369885,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:33.482750,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:34.748686,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:36.085635,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:37.175771,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
15-12-2022 12:22:38.419386,"(3.6, 5.9, 4.3)","(4.8, 8.4, 6.96)","(4.8, 9.0, 7.733333333333333)","(20.0, 60.0, 48.142857142857146)","(21.0, 60.0, 26.666666666666668)","(101.0, 670.0, 441.15384615384613)","(10.0, 20.0, 17.422222222222224)","(21.0, 65.0, 52.42857142857143)","(3.1, 5.6, 3.773333333333333)","(20.0, 55.0, 40.8)"
