,Manila Aurora,Moment To Shiver,Stranger Within,Call Me Trinity,West On Blossom,Spider Venom,Mongolian Tiger,Sand Cruiser
11-01-2023 21:27:38.322120,"(4.8, 7.8, 6.8)","(31.0, 150.0, 76.25)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 83.125)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:39.545052,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 78.26666666666667)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:40.730970,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 78.26666666666667)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:41.957785,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.65)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 78.26666666666667)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:43.186711,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:44.407301,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:45.590451,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:46.816865,"(4.8, 7.8, 6.8)","(31.0, 150.0, 106.5)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:48.056516,"(4.8, 7.8, 6.8)","(31.0, 150.0, 90.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:49.208889,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.0736842105263165)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:50.366960,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.4, 7.066666666666666)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:51.538942,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:52.848447,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:54.141200,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:55.409248,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:56.817867,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.163157894736843)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:58.172779,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.958333333333332)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 6.84)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 2.784)"
11-01-2023 21:27:59.438688,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 10.5, 8.977777777777778)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.2, 7.542857142857143)","(31.0, 200.0, 98.55555555555554)","(2.4, 4.8, 3.2733333333333334)"
11-01-2023 21:28:00.647815,"(4.8, 7.8, 6.8)","(31.0, 150.0, 91.0)","(7.5, 9.6, 8.977777777777778)","(8.5, 19.5, 18.1375)","(5.0, 9.6, 9.014285714285714)","(4.8, 8.0, 6.666666666666666)","(31.0, 200.0, 89.33333333333334)","(2.4, 4.7, 3.028)"
11-01-2023 21:28:01.840519,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 9.133333333333333)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.6, 6.8999999999999995)","(31.0, 200.0, 107.77777777777777)","(2.4, 4.9, 3.028)"
11-01-2023 21:28:03.079933,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.6, 6.36)","(31.0, 200.0, 107.77777777777777)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:04.225136,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 107.77777777777777)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:05.322667,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 107.77777777777777)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:06.536481,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 107.77777777777777)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:07.711132,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 118.0)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:08.816821,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 118.0)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:09.961526,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 118.0)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:11.071767,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 118.0)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:12.255179,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 118.0)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:13.491568,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 17.32)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.36)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:14.657398,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.4, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:15.845853,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:17.034204,"(4.8, 7.8, 6.8)","(31.0, 150.0, 105.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:18.233991,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:19.424771,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:20.645692,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:21.844061,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.709090909090909)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:23.004073,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.977777777777778)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:24.287254,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.6, 8.415384615384616)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:25.516580,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.415384615384616)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:26.937712,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.415384615384616)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:28.252474,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.415384615384616)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.266666666666667)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:29.519932,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.8, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.514285714285714)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:30.774354,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.8, 6.685714285714286)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:31.930122,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 7.0, 6.685714285714286)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:33.079958,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 77.85714285714286)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:34.269494,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.3)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:35.412302,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.3)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:36.569366,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.3)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:37.721243,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 16.0)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:38.875019,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.733333333333334)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:40.070512,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:41.302562,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 15.866666666666667)","(5.0, 9.6, 9.014285714285714)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:42.479892,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 12.366666666666667)","(5.0, 9.6, 7.65)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:43.810608,"(4.8, 7.8, 6.68)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 12.366666666666667)","(5.0, 9.6, 8.0)","(4.8, 6.6, 5.8125)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
11-01-2023 21:28:45.076491,"(4.8, 7.8, 6.8)","(31.0, 140.0, 85.0)","(7.5, 9.4, 8.454545454545455)","(8.5, 19.5, 12.366666666666667)","(5.0, 9.6, 8.0)","(4.8, 6.6, 5.475)","(31.0, 200.0, 105.55555555555556)","(2.4, 4.9, 2.74)"
