,Elles Shadow,Sweet She Is,Ema Rock,Black Jag,Shadow Doll,Zipping Randy,Lads On Tour,Aussie Ophira
09-01-2023 17:06:11.659426,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:12.921142,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:14.178862,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 37.333333333333336)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 59.54545454545455)","(91.0, 610.0, 545.0)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:15.372148,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 29.81818181818182)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 42.72727272727273)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:16.647419,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 29.81818181818182)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 42.72727272727273)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:18.019583,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 43.45454545454545)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:19.314059,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 43.45454545454545)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:20.576357,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 43.45454545454545)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:21.798376,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 43.45454545454545)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:23.017821,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 43.45454545454545)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 14.676923076923078)","(9.0, 18.5, 14.600000000000001)"
09-01-2023 17:06:24.420440,"(61.0, 520.0, 443.33333333333337)","(16.0, 60.0, 30.18181818181818)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 524.1666666666666)","(7.0, 16.0, 13.407692307692308)","(9.0, 18.5, 13.666666666666668)"
09-01-2023 17:06:25.676403,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 524.1666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:27.111939,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 524.1666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:28.347364,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:29.592947,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:30.818400,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:32.048563,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:33.510372,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:35.035947,"(61.0, 520.0, 290.0)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:36.348178,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:37.628790,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:38.904949,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:40.192649,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:41.356950,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:42.645216,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:43.891828,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:45.070792,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:46.208044,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:47.359571,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:48.451810,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:49.559489,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:50.734797,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:52.066900,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:53.469705,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:54.883097,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:56.435972,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:57.871329,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:06:59.354122,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:00.580237,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:01.772432,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:02.900644,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 546.25)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:04.119532,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:05.291344,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:06.466114,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:07.592145,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:08.682300,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:09.765391,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:10.913469,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:12.151095,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:13.392297,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:14.589311,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:15.719154,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:16.879051,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:18.051302,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:19.121994,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:20.206378,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:21.619602,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:22.894084,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
09-01-2023 17:07:24.135992,"(61.0, 520.0, 236.92307692307693)","(16.0, 60.0, 27.2)","(1.35, 1.94, 1.4312)","(5.5, 10.5, 5.926666666666667)","(21.0, 90.0, 38.8)","(91.0, 610.0, 526.6666666666666)","(7.0, 14.5, 13.407692307692308)","(9.0, 19.0, 13.666666666666668)"
