,Oklahoma Heat,Mistys Fool,Dancing Devil,Gospel Buzz,Gamma Ray,Great Realization,Our Silver Temple,Georges Vision,Ears To Me
08-12-2022 13:11:33.127512,"(41.0, 46.0, 37.16666666666667)","(5.5, 5.5, 5.15)","(3.7, 4.9, 4.18125)","(26.0, 390.0, 329.5)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.4, 6.276923076923078)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:34.609146,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.2)","(3.7, 4.9, 4.5625)","(26.0, 390.0, 684.2727272727274)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 6.276923076923078)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:36.024433,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.15)","(3.7, 4.8, 4.285714285714286)","(26.0, 750.0, 684.2727272727274)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 6.371428571428572)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:37.337208,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.391666666666667)","(3.7, 4.8, 4.5625)","(26.0, 750.0, 684.2727272727274)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 6.371428571428572)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:38.638565,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.391666666666667)","(3.7, 4.8, 4.285714285714286)","(26.0, 750.0, 538.8181818181818)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:39.920258,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.2)","(3.7, 4.8, 4.285714285714286)","(26.0, 590.0, 477.4)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:41.177128,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.2)","(3.7, 4.8, 4.228571428571429)","(26.0, 590.0, 477.4)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:42.403184,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.391666666666667)","(3.7, 4.8, 4.228571428571429)","(26.0, 590.0, 477.4)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:43.595147,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.2)","(3.7, 4.8, 4.142857142857142)","(26.0, 590.0, 477.4)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:44.885874,"(41.0, 46.0, 40.5)","(5.5, 5.5, 5.153333333333333)","(3.7, 4.8, 4.2)","(26.0, 600.0, 485.4)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 5.955555555555556)","(9.0, 17.0, 14.2)","(4.0, 12.0, 9.5625)"
08-12-2022 13:11:46.213935,"(41.0, 46.0, 40.5)","(5.5, 5.5, 4.814285714285714)","(3.7, 4.8, 4.418181818181818)","(26.0, 600.0, 286.1111111111111)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.2, 6.025)","(9.0, 17.0, 14.2)","(4.0, 12.0, 12.166666666666666)"
08-12-2022 13:11:47.519750,"(41.0, 46.0, 42.0)","(5.5, 5.5, 4.814285714285714)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 286.1111111111111)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.0, 5.581818181818182)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:48.857143,"(41.0, 46.0, 42.0)","(5.5, 5.5, 5.153333333333333)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 7.0, 5.65)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:50.212790,"(41.0, 46.0, 44.361111111111114)","(5.5, 5.5, 5.153333333333333)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 14.9)","(21.0, 90.0, 62.8)","(3.8, 6.8, 5.263636363636364)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:51.570126,"(41.0, 46.0, 38.75)","(5.5, 5.5, 5.153333333333333)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 15.681818181818182)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:52.936478,"(41.0, 46.0, 38.75)","(5.5, 5.5, 5.1571428571428575)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 15.681818181818182)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:54.284143,"(41.0, 46.0, 38.75)","(5.5, 5.5, 5.185714285714286)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:55.659981,"(41.0, 46.0, 36.16666666666667)","(5.5, 5.5, 4.871428571428572)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:56.984992,"(41.0, 46.0, 36.16666666666667)","(5.5, 5.5, 5.32)","(3.7, 4.9, 4.197222222222223)","(26.0, 610.0, 360.14285714285717)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:58.267031,"(41.0, 46.0, 40.833333333333336)","(5.5, 6.0, 5.9)","(3.7, 4.9, 3.8)","(26.0, 610.0, 565.4)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:11:59.551888,"(41.0, 46.0, 40.75)","(5.5, 6.2, 5.326315789473684)","(3.7, 4.9, 3.684615384615385)","(26.0, 700.0, 565.4)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.8)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:12:00.797501,"(41.0, 46.0, 38.25)","(5.5, 6.0, 4.81)","(3.7, 4.8, 4.283333333333333)","(26.0, 700.0, 565.4)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.400000000000006)","(3.8, 6.6, 5.369230769230769)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.166666666666666)"
08-12-2022 13:12:02.143441,"(41.0, 46.0, 38.25)","(5.5, 6.0, 4.953846153846154)","(3.7, 4.7, 4.3)","(26.0, 700.0, 565.4)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 62.400000000000006)","(3.8, 6.6, 5.314285714285714)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.357142857142858)"
08-12-2022 13:12:03.420087,"(41.0, 46.0, 38.25)","(5.5, 6.0, 4.845454545454546)","(3.7, 4.7, 3.8666666666666667)","(26.0, 700.0, 469.0)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 63.0)","(3.8, 6.6, 5.6)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.357142857142858)"
08-12-2022 13:12:04.761569,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.3, 4.475)","(3.7, 4.7, 3.8666666666666667)","(26.0, 690.0, 469.0)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 63.0)","(3.8, 6.4, 5.550000000000001)","(9.0, 17.0, 14.2)","(4.0, 13.5, 12.357142857142858)"
08-12-2022 13:12:06.183592,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.3, 4.975)","(3.7, 4.7, 4.258823529411765)","(26.0, 690.0, 469.0)","(10.0, 16.5, 15.166666666666666)","(21.0, 90.0, 63.0)","(3.8, 6.4, 5.550000000000001)","(9.0, 17.0, 11.96)","(4.0, 13.5, 13.1)"
08-12-2022 13:12:07.498314,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.2, 5.046153846153846)","(3.7, 4.7, 4.258823529411765)","(26.0, 690.0, 469.0)","(10.0, 16.5, 13.833333333333334)","(21.0, 90.0, 63.0)","(3.8, 6.4, 5.550000000000001)","(9.0, 17.0, 13.533333333333333)","(4.0, 14.0, 10.833333333333332)"
08-12-2022 13:12:08.958826,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.2, 5.116666666666667)","(3.7, 4.7, 4.46)","(26.0, 690.0, 469.0)","(10.0, 14.5, 13.875)","(21.0, 90.0, 60.5)","(3.8, 6.4, 6.173333333333334)","(9.0, 16.0, 13.533333333333333)","(4.0, 13.5, 11.125)"
08-12-2022 13:12:10.359240,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.2, 4.975)","(3.7, 4.6, 4.266666666666667)","(26.0, 690.0, 469.0)","(10.0, 14.5, 13.875)","(21.0, 85.0, 60.5)","(3.8, 6.4, 6.173333333333334)","(9.0, 16.0, 11.066666666666666)","(4.0, 13.0, 11.125)"
08-12-2022 13:12:11.749962,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.2, 4.975)","(3.7, 4.6, 4.266666666666667)","(26.0, 690.0, 469.0)","(10.0, 14.5, 13.875)","(21.0, 85.0, 60.5)","(3.8, 6.4, 6.173333333333334)","(9.0, 16.0, 11.066666666666666)","(4.0, 13.0, 11.54)"
08-12-2022 13:12:13.216468,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.2, 4.3307692307692305)","(3.7, 4.6, 4.473333333333333)","(26.0, 690.0, 469.0)","(10.0, 14.5, 12.142857142857142)","(21.0, 85.0, 60.5)","(3.8, 6.4, 5.818181818181818)","(9.0, 16.0, 14.222222222222221)","(4.0, 13.0, 10.942857142857143)"
08-12-2022 13:12:14.544595,"(41.0, 44.0, 37.333333333333336)","(5.5, 5.1, 4.581818181818182)","(3.7, 4.6, 4.5)","(26.0, 690.0, 579.5)","(10.0, 14.5, 11.571428571428571)","(21.0, 85.0, 60.5)","(3.8, 6.4, 5.818181818181818)","(9.0, 16.0, 12.657142857142857)","(4.0, 13.0, 11.58)"
08-12-2022 13:12:15.867134,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.581818181818182)","(3.7, 4.6, 3.9473684210526314)","(26.0, 690.0, 579.5)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 6.4, 5.942857142857143)","(9.0, 16.0, 14.48)","(4.0, 13.0, 11.58)"
08-12-2022 13:12:17.254674,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 6.4, 6.550000000000001)","(9.0, 16.0, 12.74)","(4.0, 13.0, 12.780000000000001)"
08-12-2022 13:12:18.674036,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.581818181818182)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 11.5, 7.140000000000001)","(9.0, 15.5, 14.16)","(4.0, 14.5, 8.35)"
08-12-2022 13:12:19.947587,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.82)","(9.0, 15.5, 14.16)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:21.207480,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 10.5, 7.75)","(9.0, 15.5, 14.16)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:22.531090,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.142857142857142)","(9.0, 15.5, 14.16)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:23.824243,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.2846153846153845)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.425)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.142857142857142)","(9.0, 15.5, 14.16)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:25.169856,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.5, 10.433333333333334)","(21.0, 85.0, 60.5)","(3.8, 10.5, 7.35)","(9.0, 15.5, 13.309090909090909)","(4.0, 16.0, 8.1)"
08-12-2022 13:12:26.569488,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.566666666666667)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 12.5, 10.175)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.1375)","(9.0, 15.0, 13.309090909090909)","(4.0, 15.0, 8.1)"
08-12-2022 13:12:27.927882,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.581818181818182)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 12.5, 10.120000000000001)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.1375)","(9.0, 15.0, 13.309090909090909)","(4.0, 15.0, 8.35)"
08-12-2022 13:12:29.350443,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.1375)","(9.0, 15.0, 13.309090909090909)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:30.788092,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 85.0, 60.5)","(3.8, 10.5, 8.1375)","(9.0, 15.0, 13.309090909090909)","(4.0, 16.0, 8.35)"
08-12-2022 13:12:32.200448,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 3.9473684210526314)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 85.0, 60.5)","(3.8, 10.5, 9.10909090909091)","(9.0, 15.0, 13.309090909090909)","(4.0, 16.0, 9.033333333333333)"
08-12-2022 13:12:33.575505,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.2, 4.02)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 85.0, 60.5)","(3.8, 10.0, 8.08)","(9.0, 15.0, 12.0)","(4.0, 15.5, 8.866666666666667)"
08-12-2022 13:12:34.964813,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.438461538461539)","(3.7, 4.1, 3.931578947368421)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 85.0, 75.33333333333334)","(3.8, 10.0, 7.6)","(9.0, 15.0, 12.825)","(4.0, 15.0, 8.866666666666667)"
08-12-2022 13:12:36.358531,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.592307692307692)","(3.7, 4.1, 3.931578947368421)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 95.0, 75.33333333333334)","(3.8, 10.0, 7.6)","(9.0, 15.0, 12.825)","(4.0, 15.0, 8.866666666666667)"
08-12-2022 13:12:37.641242,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.592307692307692)","(3.7, 4.1, 3.931578947368421)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 95.0, 75.33333333333334)","(3.8, 10.0, 8.2375)","(9.0, 15.0, 12.825)","(4.0, 15.0, 8.866666666666667)"
08-12-2022 13:12:38.940785,"(41.0, 44.0, 37.333333333333336)","(5.5, 4.9, 4.592307692307692)","(3.7, 4.1, 3.931578947368421)","(26.0, 690.0, 359.0)","(10.0, 13.0, 10.120000000000001)","(21.0, 95.0, 75.33333333333334)","(3.8, 10.0, 8.2375)","(9.0, 15.0, 12.825)","(4.0, 15.0, 8.866666666666667)"
