,Buddy Beauty,Velocity Tori,Look No Hands,Aussie Axle,Good Charlotte,Ladies Day,More Speed
08-01-2023 19:17:30.464463,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.684210526315789)","(7.0, 16.5, 15.25)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:31.657562,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.92)","(7.0, 16.5, 14.014285714285712)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:32.959151,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.852631578947368)","(7.0, 16.5, 14.014285714285712)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:34.206765,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.852631578947368)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:35.271428,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.852631578947368)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:36.434625,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 5.08)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:37.582062,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 5.021052631578947)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:38.625021,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 5.021052631578947)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:39.758083,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 5.021052631578947)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:40.969302,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.377777777777778)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:42.151383,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.6)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
