,Come Along Jeffrey,Pythagoras,Sir Maximus,Francine,Zion,A Good Yarn,Dance Of Thunder,Outstanding Reward,Sugar And Sweet,Fabians Spirit,Snappy Lil Thing
08-12-2022 15:39:39.232527,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.595454545454546)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:40.831367,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.2, 4.859999999999999)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:42.392096,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.859999999999999)","(10.0, 12.0, 11.725)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:44.118407,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 14.735294117647058)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.859999999999999)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:45.778045,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.5, 15.035714285714286)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:47.657861,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:49.357089,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:51.012141,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:52.594828,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.214285714285715)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:54.294288,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:55.967962,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:57.582417,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:39:59.239590,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:40:00.818388,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 16.09090909090909)","(11.0, 15.5, 14.428571428571429)","(4.0, 5.1, 4.7)","(10.0, 12.0, 11.0)","(10.0, 16.0, 13.75)","(8.0, 9.6, 9.577777777777778)","(13.0, 16.0, 13.55)","(51.0, 70.0, 57.0)","(26.0, 55.0, 49.27272727272727)"
08-12-2022 15:40:02.451678,"(3.4, 4.3, 4.183333333333334)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 15.978260869565217)","(11.0, 15.5, 14.5)","(4.0, 5.1, 4.74)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.0)","(8.0, 9.6, 9.399999999999999)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 40.75)"
08-12-2022 15:40:04.181266,"(3.4, 4.3, 4.172727272727273)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 15.978260869565217)","(11.0, 15.5, 14.5)","(4.0, 5.1, 4.74)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.0)","(8.0, 9.6, 9.399999999999999)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 40.75)"
08-12-2022 15:40:05.840455,"(3.4, 4.3, 4.172727272727273)","(10.0, 16.0, 15.035714285714286)","(11.0, 16.5, 15.978260869565217)","(11.0, 15.5, 14.5)","(4.0, 5.1, 4.74)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.0)","(8.0, 9.6, 9.399999999999999)","(13.0, 16.0, 15.428571428571429)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 40.75)"
08-12-2022 15:40:07.603670,"(3.4, 4.3, 4.172727272727273)","(10.0, 16.0, 15.428571428571429)","(11.0, 16.5, 15.978260869565217)","(11.0, 15.5, 14.5)","(4.0, 5.1, 4.74)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.0)","(8.0, 9.6, 9.399999999999999)","(13.0, 16.0, 14.75)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 40.75)"
08-12-2022 15:40:09.405936,"(3.4, 4.3, 4.172727272727273)","(10.0, 16.5, 15.428571428571429)","(11.0, 16.5, 15.978260869565217)","(11.0, 15.5, 14.5)","(4.0, 5.1, 4.74)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.0)","(8.0, 9.6, 9.399999999999999)","(13.0, 16.0, 14.75)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 40.75)"
08-12-2022 15:40:11.177236,"(3.4, 4.3, 4.1)","(10.0, 16.5, 14.25)","(11.0, 16.5, 15.166666666666666)","(11.0, 15.5, 14.666666666666666)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 14.75)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 43.6)"
08-12-2022 15:40:12.935795,"(3.4, 4.3, 4.1)","(10.0, 16.5, 14.25)","(11.0, 16.5, 15.166666666666666)","(11.0, 15.5, 14.59090909090909)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 14.75)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 43.6)"
08-12-2022 15:40:14.585470,"(3.4, 4.3, 4.1)","(10.0, 16.5, 14.25)","(11.0, 16.5, 15.810344827586206)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 49.81818181818182)"
08-12-2022 15:40:16.201901,"(3.4, 4.3, 4.1)","(10.0, 16.5, 14.25)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 49.81818181818182)"
08-12-2022 15:40:17.743243,"(3.4, 4.3, 4.1)","(10.0, 16.5, 14.25)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 49.81818181818182)"
08-12-2022 15:40:19.358410,"(3.4, 4.3, 4.166666666666666)","(10.0, 16.5, 14.25)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:21.063379,"(3.4, 4.3, 4.166666666666666)","(10.0, 16.5, 14.25)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:22.805498,"(3.4, 4.3, 4.166666666666666)","(10.0, 16.5, 14.25)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.565217391304348)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:24.606738,"(3.4, 4.3, 4.166666666666666)","(10.0, 16.5, 14.0)","(11.0, 16.5, 16.1)","(11.0, 15.5, 14.777777777777779)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.466666666666667)","(13.0, 16.0, 15.473684210526315)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:26.467587,"(3.4, 4.4, 4.2384615384615385)","(10.0, 16.0, 14.0)","(11.0, 16.5, 14.833333333333334)","(11.0, 15.5, 14.46)","(4.0, 5.1, 5.013461538461538)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.285714285714285)","(8.0, 9.6, 9.527272727272727)","(13.0, 16.0, 15.5)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:28.043188,"(3.4, 4.4, 4.3)","(10.0, 16.0, 14.0)","(11.0, 16.5, 14.833333333333334)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.527272727272727)","(13.0, 16.0, 15.5)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:29.590709,"(3.4, 4.4, 4.3)","(10.0, 16.0, 14.0)","(11.0, 16.5, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:31.235161,"(3.4, 4.4, 4.3)","(10.0, 16.0, 14.0)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:32.809983,"(3.4, 4.4, 4.3)","(10.0, 16.0, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:34.328711,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:35.829297,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(8.0, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:37.409907,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(7.5, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:38.946425,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(7.5, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:40.465972,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(7.5, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:42.021876,"(3.4, 4.4, 4.3)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(7.5, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:43.518242,"(3.4, 4.4, 4.264285714285714)","(10.0, 16.5, 14.7)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.909090909090908)","(7.5, 9.6, 9.572413793103449)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:44.991353,"(3.4, 4.5, 4.264285714285714)","(10.0, 16.5, 13.35)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.86)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.8)","(7.5, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 57.86666666666667)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:46.517616,"(3.4, 4.5, 4.264285714285714)","(10.0, 16.5, 15.0)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.8)","(7.5, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 61.33333333333333)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:48.074080,"(3.4, 4.5, 4.264285714285714)","(10.0, 16.0, 13.714285714285714)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.8)","(7.5, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 61.33333333333333)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:49.567327,"(3.4, 4.5, 4.3307692307692305)","(10.0, 16.0, 13.75)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.8)","(7.5, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 61.33333333333333)","(26.0, 55.0, 42.25)"
08-12-2022 15:40:51.064394,"(3.4, 4.5, 4.3307692307692305)","(10.0, 15.5, 13.75)","(11.0, 16.0, 15.0)","(11.0, 15.5, 14.28125)","(4.0, 5.1, 4.6499999999999995)","(10.0, 12.0, 11.333333333333334)","(10.0, 16.0, 14.8)","(7.5, 9.6, 9.485714285714286)","(13.0, 16.0, 15.238095238095237)","(51.0, 70.0, 61.33333333333333)","(26.0, 55.0, 42.25)"
