,Secret Reaction,Miss Boudica,Altair Star,Special Lady,Good Day Sunshine Nz,Dont Look,Eye Better,Foxy Rose,Bramante Steps,Caruba
10-01-2023 18:45:09.714219,"(15.0, 46.0, 43.66666666666667)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 108.75)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 30.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 122.85714285714286)","(71.0, 190.0, 130.0)","(31.0, 70.0, 62.5)"
10-01-2023 18:45:10.940832,"(15.0, 46.0, 43.66666666666667)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 108.75)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 30.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 122.85714285714286)","(71.0, 190.0, 130.0)","(31.0, 70.0, 62.5)"
10-01-2023 18:45:12.230206,"(15.0, 46.0, 43.66666666666667)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 116.15384615384616)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 30.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 125.0)","(71.0, 190.0, 126.66666666666667)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:13.570577,"(15.0, 46.0, 43.0)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 116.15384615384616)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 34.0, 31.5)","(21.0, 50.0, 42.0)","(71.0, 140.0, 115.0)","(71.0, 180.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:14.985523,"(15.0, 46.0, 43.0)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 106.66666666666667)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 29.25)","(21.0, 50.0, 42.0)","(71.0, 130.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:16.445275,"(15.0, 46.0, 43.0)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 110.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 29.25)","(21.0, 50.0, 41.0)","(71.0, 130.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:17.722297,"(15.0, 46.0, 40.75)","(1.3, 1.41, 1.3833333333333333)","(71.0, 120.0, 110.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 30.0)","(21.0, 48.0, 41.0)","(71.0, 130.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:19.043992,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.3833333333333333)","(71.0, 140.0, 125.0)","(5.0, 9.8, 9.4)","(8.0, 99999, 99990)","(21.0, 36.0, 30.0)","(21.0, 48.0, 41.0)","(71.0, 130.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:20.424226,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.3833333333333333)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.433333333333334)","(8.0, 99999, 99990)","(21.0, 36.0, 30.0)","(21.0, 48.0, 39.333333333333336)","(71.0, 130.0, 118.75)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:21.787072,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.382121212121212)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.476923076923077)","(8.0, 99999, 99990)","(21.0, 36.0, 30.5)","(21.0, 50.0, 39.333333333333336)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:23.147333,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.382121212121212)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.525)","(8.0, 99999, 99990)","(21.0, 34.0, 30.5)","(21.0, 50.0, 39.333333333333336)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:24.456270,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.382121212121212)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.525)","(8.0, 99999, 99990)","(21.0, 34.0, 30.5)","(21.0, 50.0, 39.333333333333336)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 60.0)"
10-01-2023 18:45:25.761516,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.382121212121212)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.525)","(8.0, 99999, 99990)","(21.0, 34.0, 32.5)","(21.0, 50.0, 42.0)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 65.0)"
10-01-2023 18:45:27.240083,"(15.0, 46.0, 41.333333333333336)","(1.3, 1.41, 1.3833333333333333)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.48)","(8.0, 99999, 99990)","(21.0, 38.0, 31.5)","(21.0, 50.0, 42.0)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 65.71428571428571)"
10-01-2023 18:45:28.504745,"(15.0, 46.0, 42.5)","(1.3, 1.41, 1.3833333333333333)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.48)","(8.0, 99999, 99990)","(21.0, 36.0, 31.5)","(21.0, 50.0, 42.0)","(71.0, 130.0, 107.5)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:29.819155,"(15.0, 46.0, 42.5)","(1.3, 1.4, 1.380344827586207)","(71.0, 150.0, 132.5)","(5.0, 9.8, 9.305882352941175)","(8.0, 99999, 99990)","(21.0, 36.0, 31.5)","(21.0, 50.0, 42.0)","(71.0, 130.0, 125.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:31.183407,"(15.0, 46.0, 41.5)","(1.3, 1.39, 1.3706451612903225)","(71.0, 150.0, 136.0)","(5.0, 9.8, 9.305882352941175)","(8.0, 99999, 99990)","(21.0, 36.0, 32.5)","(21.0, 50.0, 41.0)","(71.0, 160.0, 118.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:32.541367,"(15.0, 46.0, 41.5)","(1.3, 1.39, 1.3706451612903225)","(81.0, 150.0, 126.66666666666666)","(5.0, 9.8, 11.6)","(9.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(21.0, 55.0, 42.333333333333336)","(71.0, 160.0, 120.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:33.818635,"(15.0, 44.0, 34.0)","(1.3, 1.39, 1.371904761904762)","(81.0, 150.0, 126.66666666666666)","(5.0, 12.0, 9.666666666666668)","(9.0, 99999, 99990)","(21.0, 34.0, 32.0)","(21.0, 55.0, 42.333333333333336)","(71.0, 150.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:35.048806,"(15.0, 42.0, 34.0)","(1.3, 1.39, 1.371904761904762)","(81.0, 150.0, 126.66666666666666)","(5.0, 9.8, 11.31578947368421)","(9.0, 99999, 99990)","(21.0, 34.0, 32.0)","(21.0, 55.0, 42.333333333333336)","(71.0, 140.0, 115.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:36.324027,"(15.0, 42.0, 34.0)","(1.3, 1.39, 1.3706451612903225)","(81.0, 140.0, 90.0)","(5.0, 11.5, 10.333333333333334)","(9.0, 99999, 99990)","(21.0, 34.0, 30.666666666666668)","(21.0, 55.0, 42.333333333333336)","(71.0, 140.0, 120.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:37.581458,"(15.0, 44.0, 38.0)","(1.3, 1.39, 1.3706451612903225)","(81.0, 130.0, 90.0)","(5.0, 11.0, 10.008695652173914)","(9.0, 99999, 99990)","(21.0, 34.0, 30.666666666666668)","(21.0, 55.0, 42.333333333333336)","(71.0, 140.0, 120.0)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:38.943352,"(15.0, 44.0, 38.0)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 86.66666666666667)","(5.0, 11.0, 9.592)","(9.0, 99999, 99990)","(21.0, 34.0, 30.666666666666668)","(21.0, 55.0, 42.333333333333336)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:40.236131,"(15.0, 44.0, 38.0)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 86.66666666666667)","(5.0, 11.0, 9.7)","(9.0, 99999, 99990)","(21.0, 34.0, 33.5)","(21.0, 55.0, 45.5)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:41.525186,"(15.0, 46.0, 40.4)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 104.44444444444444)","(5.0, 11.0, 9.7)","(9.0, 99999, 99990)","(21.0, 38.0, 32.0)","(21.0, 55.0, 45.5)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 67.85714285714286)"
10-01-2023 18:45:42.813151,"(15.0, 46.0, 40.4)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 104.44444444444444)","(5.0, 11.0, 9.738461538461538)","(9.0, 99999, 99990)","(21.0, 38.0, 32.5)","(21.0, 55.0, 45.5)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:44.459779,"(15.0, 42.0, 40.57142857142857)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.738461538461538)","(9.0, 99999, 99990)","(21.0, 36.0, 32.5)","(21.0, 55.0, 45.5)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:45.841370,"(15.0, 42.0, 40.57142857142857)","(1.3, 1.39, 1.3682857142857143)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.738461538461538)","(9.0, 99999, 99990)","(21.0, 36.0, 32.5)","(21.0, 55.0, 45.5)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:47.170076,"(15.0, 44.0, 38.0)","(1.3, 1.39, 1.3582051282051282)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.635714285714286)","(9.0, 99999, 99990)","(21.0, 36.0, 32.5)","(21.0, 55.0, 48.666666666666664)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 66.25)"
10-01-2023 18:45:48.500354,"(15.0, 44.0, 38.0)","(1.3, 1.39, 1.3582051282051282)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.88125)","(9.0, 99999, 99990)","(21.0, 36.0, 33.6)","(21.0, 55.0, 48.666666666666664)","(71.0, 140.0, 111.42857142857143)","(71.0, 170.0, 135.0)","(31.0, 70.0, 88.57142857142857)"
10-01-2023 18:45:49.660409,"(15.0, 44.0, 38.54545454545455)","(1.3, 1.39, 1.3582051282051282)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.88125)","(9.0, 99999, 99990)","(21.0, 36.0, 33.0)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 170.0, 135.0)","(31.0, 100.0, 80.0)"
10-01-2023 18:45:50.911286,"(15.0, 50.0, 41.81818181818182)","(1.3, 1.39, 1.3564864864864865)","(81.0, 120.0, 104.44444444444444)","(5.0, 10.5, 9.92142857142857)","(9.0, 99999, 99990)","(21.0, 36.0, 33.0)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 170.0, 135.0)","(31.0, 95.0, 73.57142857142857)"
10-01-2023 18:45:52.317162,"(15.0, 48.0, 44.0)","(1.3, 1.39, 1.3676923076923075)","(81.0, 120.0, 100.0)","(5.0, 10.5, 9.85)","(9.0, 99999, 99990)","(21.0, 36.0, 33.0)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 170.0, 130.0)","(31.0, 95.0, 73.57142857142857)"
10-01-2023 18:45:53.583848,"(15.0, 48.0, 44.0)","(1.3, 1.38, 1.3705882352941177)","(81.0, 120.0, 105.625)","(5.0, 10.0, 9.85)","(9.0, 99999, 99990)","(21.0, 36.0, 33.0)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 160.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:45:54.835486,"(15.0, 48.0, 44.0)","(1.3, 1.38, 1.3705882352941177)","(81.0, 110.0, 92.5)","(5.0, 10.0, 9.85)","(9.0, 99999, 99990)","(21.0, 36.0, 30.75)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 160.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:45:56.099926,"(15.0, 48.0, 38.4)","(1.3, 1.38, 1.3705882352941177)","(81.0, 110.0, 92.0)","(5.0, 10.0, 9.85)","(9.0, 99999, 99990)","(21.0, 36.0, 31.8)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 160.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:45:57.324152,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3676923076923075)","(81.0, 110.0, 92.0)","(5.0, 10.0, 9.85)","(9.0, 99999, 99990)","(21.0, 36.0, 33.666666666666664)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 160.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:45:58.536067,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3676923076923075)","(81.0, 110.0, 92.0)","(5.0, 10.0, 11.858490566037736)","(9.0, 99999, 99990)","(21.0, 36.0, 33.666666666666664)","(21.0, 55.0, 50.14285714285714)","(71.0, 140.0, 120.0)","(71.0, 160.0, 122.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:45:59.701480,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3586666666666667)","(81.0, 110.0, 92.0)","(5.0, 12.0, 10.8)","(9.0, 99999, 99990)","(21.0, 36.0, 32.75)","(21.0, 55.0, 43.666666666666664)","(71.0, 140.0, 106.66666666666667)","(71.0, 210.0, 150.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:00.843864,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3586666666666667)","(81.0, 110.0, 92.0)","(5.0, 12.0, 10.472222222222221)","(9.0, 99999, 99990)","(21.0, 34.0, 32.75)","(21.0, 55.0, 43.666666666666664)","(71.0, 140.0, 106.66666666666667)","(71.0, 200.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:02.004123,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3586666666666667)","(81.0, 110.0, 92.0)","(5.0, 10.5, 10.545454545454545)","(9.0, 99999, 99990)","(21.0, 34.0, 32.75)","(21.0, 55.0, 43.666666666666664)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:03.220732,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3586666666666667)","(81.0, 110.0, 95.0)","(5.0, 12.0, 10.9)","(9.0, 99999, 99990)","(21.0, 34.0, 31.727272727272727)","(21.0, 55.0, 48.2)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:04.486431,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3586666666666667)","(81.0, 100.0, 95.0)","(5.0, 11.5, 11.353846153846154)","(9.0, 99999, 99990)","(21.0, 34.0, 31.727272727272727)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:05.787810,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 86.66666666666667)","(5.0, 10.5, 10.55)","(9.0, 99999, 99990)","(21.0, 34.0, 31.129032258064516)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:07.073079,"(15.0, 48.0, 42.75)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 86.66666666666667)","(5.0, 11.5, 10.321428571428571)","(9.0, 99999, 99990)","(21.0, 40.0, 31.129032258064516)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 118.0)","(31.0, 95.0, 72.5)"
10-01-2023 18:46:08.351463,"(15.0, 48.0, 42.4)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 86.66666666666667)","(5.0, 11.5, 10.6)","(9.0, 99999, 99990)","(21.0, 40.0, 34.4)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 118.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:09.574249,"(15.0, 46.0, 41.2)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 86.66666666666667)","(5.0, 11.0, 10.6)","(9.0, 99999, 99990)","(21.0, 38.0, 34.4)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 118.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:10.795198,"(15.0, 46.0, 42.0)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 86.66666666666667)","(5.0, 11.0, 10.933333333333334)","(9.0, 99999, 99990)","(21.0, 38.0, 33.15384615384615)","(21.0, 55.0, 49.333333333333336)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 118.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:11.970297,"(15.0, 46.0, 40.54545454545455)","(1.3, 1.38, 1.3544)","(81.0, 100.0, 140.0)","(5.0, 11.0, 10.36)","(9.0, 99999, 99990)","(21.0, 38.0, 33.15384615384615)","(21.0, 55.0, 50.714285714285715)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 118.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:13.123893,"(15.0, 46.0, 42.0)","(1.3, 1.38, 1.3544)","(81.0, 160.0, 140.0)","(5.0, 10.5, 10.36)","(9.0, 99999, 99990)","(21.0, 38.0, 33.15384615384615)","(21.0, 55.0, 50.714285714285715)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:14.318258,"(15.0, 46.0, 44.285714285714285)","(1.3, 1.38, 1.3544)","(81.0, 160.0, 140.0)","(5.0, 10.5, 10.478787878787879)","(9.0, 99999, 99990)","(21.0, 38.0, 33.15384615384615)","(21.0, 55.0, 50.714285714285715)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:15.578123,"(15.0, 46.0, 42.0)","(1.3, 1.38, 1.3544)","(81.0, 150.0, 117.5)","(5.0, 10.5, 10.100000000000001)","(9.0, 99999, 99990)","(21.0, 38.0, 33.90909090909091)","(21.0, 55.0, 50.714285714285715)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:16.883038,"(15.0, 46.0, 44.285714285714285)","(1.3, 1.38, 1.3544)","(81.0, 150.0, 112.5)","(5.0, 11.0, 10.100000000000001)","(9.0, 99999, 99990)","(21.0, 38.0, 33.90909090909091)","(21.0, 55.0, 50.714285714285715)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:18.177939,"(15.0, 46.0, 44.285714285714285)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 112.5)","(5.0, 11.0, 10.3875)","(9.0, 99999, 99990)","(21.0, 38.0, 33.90909090909091)","(21.0, 55.0, 51.25)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 75.0)"
10-01-2023 18:46:19.476763,"(15.0, 46.0, 44.285714285714285)","(1.3, 1.38, 1.3436923076923077)","(81.0, 140.0, 112.5)","(5.0, 11.0, 10.066666666666666)","(9.0, 99999, 99990)","(21.0, 38.0, 34.25)","(21.0, 55.0, 51.25)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 71.0)"
10-01-2023 18:46:20.681649,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 112.5)","(5.0, 11.0, 10.200000000000001)","(9.0, 99999, 99990)","(21.0, 36.0, 32.81818181818182)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 95.0, 73.33333333333333)"
10-01-2023 18:46:21.854544,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 11.0, 10.22)","(9.0, 99999, 99990)","(21.0, 36.0, 32.75)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 90.0, 70.0)"
10-01-2023 18:46:23.058580,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 10.5, 10.22)","(9.0, 99999, 99990)","(21.0, 34.0, 32.75)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 90.0, 70.0)"
10-01-2023 18:46:24.271401,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 10.5, 10.22)","(9.0, 99999, 99990)","(21.0, 34.0, 32.75)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 90.0, 70.0)"
10-01-2023 18:46:25.525831,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 10.5, 10.15)","(9.0, 99999, 99990)","(21.0, 34.0, 33.166666666666664)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 90.0, 64.16666666666667)"
10-01-2023 18:46:26.768535,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 10.5, 10.15)","(9.0, 99999, 99990)","(21.0, 34.0, 32.75)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 85.0, 64.16666666666667)"
10-01-2023 18:46:28.077636,"(15.0, 46.0, 43.0)","(1.3, 1.38, 1.3509090909090908)","(81.0, 140.0, 98.75)","(5.0, 10.5, 10.485714285714286)","(9.0, 99999, 99990)","(21.0, 34.0, 31.129032258064516)","(21.0, 55.0, 45.0)","(71.0, 140.0, 106.66666666666667)","(71.0, 190.0, 130.0)","(31.0, 85.0, 64.16666666666667)"
