,Realaide,Top Boy,Vantan Express,Danezel,Sequin Dress,Rose Of Duporth,The Brumby
08-01-2023 14:19:08.481777,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:19:09.588964,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:10.626091,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:11.653167,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:12.678963,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:13.715343,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:14.776043,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 15.6)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:15.836279,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.5, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:16.904349,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:17.911564,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:18.905645,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:19.910644,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:20.926227,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:21.989804,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:23.101392,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:24.204857,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:25.314930,"(15.0, 18.0, 17.92452830188679)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:26.379705,"(15.0, 18.0, 17.97872340425532)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:27.390439,"(15.0, 42.0, 41.47872340425532)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 6.8)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:28.396822,"(15.0, 42.0, 41.46739130434783)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:29.458410,"(15.0, 42.0, 41.46739130434783)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:30.527561,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:31.616071,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:32.724631,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:33.840464,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:34.905743,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:35.909313,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:37.116130,"(15.0, 40.0, 38.59375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:38.154199,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:39.258854,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:40.540724,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:41.668084,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.371428571428571)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:42.918751,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:43.965290,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:45.010792,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:46.018112,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:47.070634,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:48.110901,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:49.201507,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:50.280751,"(15.0, 32.0, 31.684782608695652)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:51.346239,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:52.373856,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:53.321088,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:54.309345,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:55.427880,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.527272727272727)","(4.4, 5.5, 5.0600000000000005)","(10.0, 19.0, 16.0)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 88.0)"
08-01-2023 14:19:56.575987,"(15.0, 30.0, 29.46808510638298)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:19:57.665682,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:19:58.786572,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:19:59.874836,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:00.932284,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:01.978307,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:02.981507,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:03.920689,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:04.905973,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.8)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:05.901509,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:06.931701,"(15.0, 30.0, 28.0)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:07.972425,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.325806451612904)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:08.989595,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:09.992180,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9999999999999996)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:10.996098,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9636363636363634)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:11.974915,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.652941176470588)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9636363636363634)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:13.000377,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.525)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 3.9636363636363634)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:14.014022,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.67)","(4.4, 5.5, 5.38)","(10.0, 19.0, 16.5)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:15.001585,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.67)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:16.000669,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.388888888888889)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:17.056942,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.388888888888889)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 116.88888888888889)"
08-01-2023 14:20:18.043742,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.333333333333333)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 110.85714285714286)"
08-01-2023 14:20:19.016376,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.333333333333333)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 124.3076923076923)"
08-01-2023 14:20:20.000667,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.333333333333333)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.571428571428573)","(3.5, 4.1, 4.0249999999999995)","(31.0, 140.0, 124.3076923076923)"
08-01-2023 14:20:20.984694,"(15.0, 30.0, 25.5)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.333333333333333)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.2)","(3.4, 4.1, 4.0249999999999995)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:20:21.984138,"(15.0, 30.0, 25.058823529411764)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.341176470588236)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.2)","(3.4, 4.1, 4.0249999999999995)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:20:22.926036,"(15.0, 30.0, 25.058823529411764)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.341176470588236)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.2)","(3.4, 4.1, 4.0249999999999995)","(31.0, 140.0, 73.33333333333334)"
08-01-2023 14:20:23.871229,"(15.0, 30.0, 25.058823529411764)","(2.9, 3.4, 3.3249999999999997)","(5.0, 8.0, 7.341176470588236)","(4.4, 5.5, 5.38)","(10.0, 19.0, 17.2)","(3.4, 4.1, 4.0249999999999995)","(31.0, 140.0, 73.33333333333334)"
