,My Catalina,Starburst Candy,Just A Brew,Major Sentence,Donnington Girl,Lederhosen Boy,Rumour Is
12-01-2023 17:40:15.829417,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:16.840284,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:17.761095,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:18.784637,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:19.797749,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:20.901341,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:22.108765,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:23.193684,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:24.243944,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:25.524283,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:26.656571,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:27.639588,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:28.654880,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:29.680789,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:30.684132,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:31.728216,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:32.828503,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:34.004639,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:35.132684,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:36.199665,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:37.307552,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:38.416598,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:39.334774,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:40.445267,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:41.558999,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:42.584697,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:43.680555,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:44.859741,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:46.022829,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:47.145348,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:48.249030,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:49.363562,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:50.495335,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:51.516876,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:52.524909,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:53.545411,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:54.592100,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:55.610221,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:56.711084,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:57.825712,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:40:58.946256,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:00.043229,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:01.152460,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:02.281565,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:03.366851,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:04.460498,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:05.553274,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:06.649641,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:07.717982,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:08.701297,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 23.875)"
12-01-2023 17:41:09.716388,"(1.75, 2.72, 2.6075)","(10.0, 21.0, 16.857142857142858)","(41.0, 310.0, 114.28571428571429)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 21.444444444444443)"
12-01-2023 17:41:10.853620,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 21.444444444444443)"
12-01-2023 17:41:11.888844,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:12.900210,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:14.006261,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:15.092598,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:16.109525,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:17.184634,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:18.217647,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:19.244331,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:20.268453,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:21.328600,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:22.362044,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
12-01-2023 17:41:23.339769,"(1.75, 2.72, 2.6075)","(10.0, 20.0, 18.94)","(41.0, 310.0, 85.81818181818181)","(41.0, 440.0, 105.0)","(3.7, 5.4, 5.08)","(4.2, 6.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)"
