,Tobias,One For Luck,Stimo Command,Krypto Maizie,Bumpy Johnson,Gagan Dolly,Magic Mavis,Harrison House
04-01-2023 13:29:12.533368,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:13.587492,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:14.688086,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:15.784669,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:16.916115,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:17.977107,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:19.062675,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:20.232362,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:21.333016,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:22.446653,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:23.593105,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:24.753500,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:25.818293,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:26.884545,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:27.972151,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:29.091985,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:30.133463,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:31.250645,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:32.383899,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:33.473949,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:34.593244,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:35.746430,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:36.880981,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:37.950779,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:39.049863,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:40.154828,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:41.226909,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:42.227984,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:43.195994,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:44.200336,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:45.201414,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:46.220940,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.945454545454545)"
04-01-2023 13:29:47.309260,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.5)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:48.415797,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 21.0)","(10.0, 25.0, 15.25)","(19.0, 60.0, 30.545454545454547)","(9.0, 25.0, 13.654545454545456)"
04-01-2023 13:29:49.505734,"(6.5, 12.0, 10.333333333333334)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:50.600193,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:51.688858,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:52.840289,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:54.005072,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:55.177546,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:56.317804,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:57.536864,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 20.61111111111111)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.61111111111111)"
04-01-2023 13:29:58.658796,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:29:59.749344,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:00.944932,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:02.027540,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:03.110753,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:04.273333,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:05.369048,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:06.499789,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:07.655401,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:08.809906,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:09.951065,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:11.076947,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:12.220762,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:13.345981,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:14.452001,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:15.530445,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:16.659269,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:17.744762,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:18.808291,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:19.935819,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:21.057706,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:22.110560,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:23.235033,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 21.75)"
04-01-2023 13:30:24.325653,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 25.0, 20.958333333333332)"
04-01-2023 13:30:25.416401,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
04-01-2023 13:30:26.519712,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
04-01-2023 13:30:27.559383,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
04-01-2023 13:30:28.632398,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
04-01-2023 13:30:29.659811,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
04-01-2023 13:30:30.649933,"(6.5, 12.0, 11.290909090909091)","(3.7, 5.5, 5.25)","(4.0, 7.0, 5.7026315789473685)","(3.3, 5.4, 3.5718750000000004)","(12.0, 24.0, 22.863636363636367)","(10.0, 25.0, 21.75)","(19.0, 60.0, 39.5)","(9.0, 24.0, 20.958333333333332)"
