,Velocity Touched,Tiffany Twisted,Secret Angel,Book Book,In The Thirties,Old Ace Banner,Context,Blazing Bob
05-01-2023 12:22:47.742203,"(4.4, 8.0, 7.711111111111111)","(41.0, 230.0, 200.0)","(19.0, 65.0, 56.15384615384615)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.14, 2.1157894736842104)","(2.5, 2.96, 2.9525)"
05-01-2023 12:22:48.729659,"(4.4, 8.0, 7.640000000000001)","(41.0, 230.0, 190.0)","(19.0, 65.0, 56.15384615384615)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.16, 2.1157894736842104)","(2.5, 3.0, 2.9525)"
05-01-2023 12:22:49.789712,"(4.4, 8.0, 7.65)","(41.0, 230.0, 190.0)","(19.0, 65.0, 60.0)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.16, 2.1157894736842104)","(2.5, 2.98, 2.948)"
05-01-2023 12:22:50.838128,"(4.4, 8.0, 7.640000000000001)","(41.0, 230.0, 190.0)","(19.0, 65.0, 60.0)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.16, 2.111111111111111)","(2.5, 2.98, 2.938787878787879)"
05-01-2023 12:22:52.202092,"(4.4, 8.0, 7.65)","(41.0, 230.0, 190.0)","(19.0, 65.0, 60.0)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.16, 2.1148148148148147)","(2.5, 2.98, 2.9417391304347826)"
05-01-2023 12:22:53.291655,"(4.4, 8.0, 7.699999999999999)","(41.0, 230.0, 190.0)","(19.0, 65.0, 60.0)","(26.0, 180.0, 141.8181818181818)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.14, 2.1129032258064515)","(2.5, 2.96, 2.9417391304347826)"
05-01-2023 12:22:54.267831,"(4.4, 8.0, 7.711111111111111)","(41.0, 230.0, 190.0)","(19.0, 65.0, 47.5)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.14, 2.1129032258064515)","(2.5, 2.96, 2.9417391304347826)"
05-01-2023 12:22:55.384077,"(4.4, 8.0, 7.7176470588235295)","(41.0, 230.0, 190.0)","(19.0, 65.0, 47.5)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 149.0909090909091)","(2.05, 2.14, 2.1076923076923078)","(2.5, 2.96, 2.924444444444444)"
05-01-2023 12:22:56.433032,"(4.4, 8.0, 7.711111111111111)","(41.0, 230.0, 190.0)","(19.0, 65.0, 47.5)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.05, 2.12, 2.0853333333333333)","(2.5, 2.94, 2.906111111111111)"
05-01-2023 12:22:57.926808,"(4.4, 8.0, 7.706666666666666)","(41.0, 230.0, 190.0)","(19.0, 65.0, 58.0)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.05, 2.16, 2.084)","(2.5, 2.98, 2.9473684210526314)"
05-01-2023 12:22:59.117377,"(4.4, 8.0, 7.706666666666666)","(41.0, 230.0, 190.0)","(19.0, 65.0, 58.0)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.05, 2.16, 2.088888888888889)","(2.5, 2.96, 2.9539999999999997)"
05-01-2023 12:23:00.222365,"(4.4, 8.0, 7.685714285714286)","(41.0, 230.0, 190.0)","(21.0, 65.0, 58.0)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.088888888888889)","(2.5, 2.96, 2.952)"
05-01-2023 12:23:01.378549,"(4.4, 8.0, 7.685714285714286)","(41.0, 230.0, 190.0)","(21.0, 65.0, 58.0)","(26.0, 180.0, 147.27272727272728)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.112)","(2.5, 2.96, 2.9507692307692306)"
05-01-2023 12:23:02.514733,"(4.4, 8.0, 7.685714285714286)","(41.0, 220.0, 160.0)","(21.0, 60.0, 57.33333333333333)","(26.0, 170.0, 143.8095238095238)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.115555555555556)","(2.5, 2.96, 2.9507692307692306)"
05-01-2023 12:23:03.618038,"(4.4, 8.0, 7.685714285714286)","(41.0, 220.0, 157.0)","(21.0, 60.0, 52.888888888888886)","(26.0, 170.0, 140.83333333333334)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.115555555555556)","(2.5, 2.96, 2.9507692307692306)"
05-01-2023 12:23:04.759189,"(4.4, 8.0, 7.685714285714286)","(41.0, 220.0, 157.0)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 140.83333333333334)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.115555555555556)","(2.5, 2.96, 2.9507692307692306)"
05-01-2023 12:23:05.913121,"(4.4, 8.0, 7.685714285714286)","(41.0, 220.0, 157.0)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 140.83333333333334)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.115555555555556)","(2.5, 2.96, 2.8233333333333333)"
05-01-2023 12:23:07.076101,"(4.4, 8.0, 7.752941176470588)","(41.0, 220.0, 157.0)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.0984615384615384)","(2.5, 2.94, 2.7884210526315787)"
05-01-2023 12:23:08.193581,"(4.4, 8.0, 7.685714285714286)","(41.0, 220.0, 157.0)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 154.28571428571428)","(2.0, 2.16, 2.0984615384615384)","(2.5, 2.94, 2.79)"
05-01-2023 12:23:09.206329,"(4.4, 8.0, 7.660869565217391)","(41.0, 220.0, 157.0)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 148.57142857142858)","(2.0, 2.16, 2.101176470588235)","(2.5, 2.92, 2.79)"
05-01-2023 12:23:10.202656,"(4.4, 8.0, 7.660869565217391)","(41.0, 220.0, 158.75)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.090232558139535)","(2.5, 2.92, 2.789333333333333)"
05-01-2023 12:23:11.268495,"(4.4, 8.0, 7.715789473684211)","(41.0, 220.0, 158.75)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.090232558139535)","(2.5, 2.92, 2.789333333333333)"
05-01-2023 12:23:12.380448,"(4.4, 8.0, 7.715789473684211)","(41.0, 220.0, 158.75)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.0914285714285716)","(2.5, 2.92, 2.8)"
05-01-2023 12:23:13.475733,"(4.4, 8.0, 7.715789473684211)","(41.0, 220.0, 158.75)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.0914285714285716)","(2.5, 2.9, 2.8)"
05-01-2023 12:23:14.600370,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 55.42857142857143)","(26.0, 170.0, 146.66666666666666)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.1)","(2.5, 2.9, 2.8236363636363633)"
05-01-2023 12:23:15.612392,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 152.72727272727272)","(2.0, 2.16, 2.0914285714285716)","(2.5, 2.9, 2.8236363636363633)"
05-01-2023 12:23:16.645826,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.4193548387097)","(2.0, 2.16, 2.0914285714285716)","(2.5, 2.9, 2.8236363636363633)"
05-01-2023 12:23:17.708598,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.4193548387097)","(2.0, 2.16, 2.095686274509804)","(2.5, 2.9, 2.8236363636363633)"
05-01-2023 12:23:18.774504,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.0854545454545454)","(2.5, 2.9, 2.8474999999999997)"
05-01-2023 12:23:19.860169,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.095686274509804)","(2.5, 2.9, 2.853333333333333)"
05-01-2023 12:23:20.932698,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 158.75)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.095686274509804)","(2.5, 2.88, 2.8466666666666667)"
05-01-2023 12:23:22.087951,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.0854545454545454)","(2.5, 2.88, 2.8457142857142856)"
05-01-2023 12:23:23.157361,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 153.52941176470588)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.0854545454545454)","(2.5, 2.88, 2.8457142857142856)"
05-01-2023 12:23:24.247277,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 152.5)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.088695652173913)","(2.5, 2.88, 2.8386206896551722)"
05-01-2023 12:23:25.379467,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 157.64705882352942)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.096923076923077)","(2.5, 2.88, 2.8386206896551722)"
05-01-2023 12:23:26.475045,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.631578947368425)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.096923076923077)","(2.5, 2.88, 2.8391666666666664)"
05-01-2023 12:23:27.615459,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 53.0)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.081904761904762)","(2.5, 2.86, 2.8391666666666664)"
05-01-2023 12:23:28.741806,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 54.0)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.082105263157895)","(2.5, 2.86, 2.8242857142857143)"
05-01-2023 12:23:29.868220,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 55.0)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.1157894736842104)","(2.5, 2.86, 2.8242857142857143)"
05-01-2023 12:23:30.930170,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 55.0)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.1090909090909093)","(2.5, 2.86, 2.8242857142857143)"
05-01-2023 12:23:32.054650,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 57.14285714285714)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.1090909090909093)","(2.5, 2.86, 2.8165217391304345)"
05-01-2023 12:23:33.164090,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 54.44444444444444)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.0926315789473686)","(2.5, 2.86, 2.8165217391304345)"
05-01-2023 12:23:34.219205,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 53.75)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.0904347826086958)","(2.5, 2.86, 2.832222222222222)"
05-01-2023 12:23:35.304863,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.25)","(26.0, 170.0, 158.75)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.099047619047619)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:36.413856,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 60.0, 56.25)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.14285714285714)","(2.0, 2.16, 2.099047619047619)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:37.453139,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 185.0)","(21.0, 60.0, 57.142857142857146)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 196.66666666666666)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.099047619047619)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:38.486994,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 182.94117647058823)","(21.0, 65.0, 63.5)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 223.33333333333334)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.099047619047619)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:39.465213,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 65.0, 59.64285714285714)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 223.33333333333334)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.0908108108108108)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:40.471511,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 65.0, 63.333333333333336)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 223.33333333333334)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.0908108108108108)","(2.5, 2.84, 2.8052173913043474)"
05-01-2023 12:23:41.497790,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 222.0)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.0908108108108108)","(2.5, 2.82, 2.8033333333333332)"
05-01-2023 12:23:42.550638,"(4.4, 8.0, 7.813793103448276)","(41.0, 220.0, 150.0)","(21.0, 65.0, 63.333333333333336)","(26.0, 170.0, 168.57142857142858)","(41.0, 230.0, 223.33333333333334)","(26.0, 160.0, 157.03703703703704)","(2.0, 2.16, 2.0908108108108108)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:43.553970,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:44.574398,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:45.610641,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:46.649785,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:47.727177,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 63.333333333333336)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 215.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.0908108108108108)","(2.5, 2.82, 2.793913043478261)"
05-01-2023 12:23:48.826560,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 61.666666666666664)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.82, 2.834285714285714)"
05-01-2023 12:23:49.882675,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 63.333333333333336)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.84, 2.834285714285714)"
05-01-2023 12:23:50.903816,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 64.375)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.0908108108108108)","(2.5, 2.84, 2.834285714285714)"
05-01-2023 12:23:51.939172,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 65.0, 64.375)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 156.52173913043478)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.84, 2.834285714285714)"
05-01-2023 12:23:53.101965,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 70.0, 67.09677419354838)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.099047619047619)","(2.5, 2.84, 2.7888888888888888)"
05-01-2023 12:23:54.237030,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.1100000000000003)","(2.5, 2.8, 2.782608695652174)"
05-01-2023 12:23:55.323945,"(4.6, 8.0, 7.813793103448276)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.1100000000000003)","(2.5, 2.8, 2.782608695652174)"
05-01-2023 12:23:56.402191,"(4.6, 8.0, 7.672727272727273)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.120344827586207)","(2.5, 2.8, 2.782608695652174)"
05-01-2023 12:23:57.450026,"(4.6, 8.0, 7.672727272727273)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 157.03703703703704)","(1.95, 2.16, 2.1216666666666666)","(2.5, 2.8, 2.782608695652174)"
05-01-2023 12:23:58.495668,"(4.6, 8.0, 7.828571428571428)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 151.42857142857142)","(1.95, 2.16, 2.1216666666666666)","(2.5, 2.8, 2.782608695652174)"
05-01-2023 12:23:59.485934,"(4.6, 8.0, 7.828571428571428)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 151.42857142857142)","(1.95, 2.16, 2.1216666666666666)","(2.5, 2.8, 2.7744444444444443)"
05-01-2023 12:24:00.672226,"(4.6, 8.0, 7.875862068965517)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 154.0)","(1.95, 2.16, 2.107727272727273)","(2.5, 2.78, 2.8899999999999997)"
05-01-2023 12:24:01.794004,"(4.6, 8.0, 7.875862068965517)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.39285714285714)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 154.0)","(1.95, 2.16, 2.0828571428571427)","(2.5, 2.9, 2.83)"
05-01-2023 12:24:02.874581,"(4.6, 8.0, 7.875862068965517)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.44827586206897)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 156.66666666666666)","(1.95, 2.14, 2.0828571428571427)","(2.5, 2.9, 2.83)"
05-01-2023 12:24:03.999740,"(4.6, 8.0, 7.875862068965517)","(51.0, 220.0, 150.0)","(21.0, 70.0, 68.44827586206897)","(31.0, 170.0, 168.57142857142858)","(51.0, 230.0, 210.0)","(31.0, 160.0, 156.66666666666666)","(1.95, 2.1, 2.0933333333333333)","(2.5, 2.9, 2.8866666666666667)"
