,All Inn Scooby,Moyarra Minstrel,Jaggers Lady,Stylish Ken,Soda Brock,Raw Panic,Smiling Spaniard,Dark Krystal
12-01-2023 08:59:56.927389,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:57.969268,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 08:59:59.002468,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:00.074908,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:01.154989,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:02.234905,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:03.279883,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:04.298815,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:05.408186,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:06.584965,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:07.710247,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:08.792371,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:09.851721,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:10.868463,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:11.867020,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:12.963250,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:13.958455,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:14.965282,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:15.974206,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:17.061064,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:18.154696,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:19.185652,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:20.179181,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:21.195669,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:22.278048,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:23.326411,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:24.391318,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:25.433452,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:26.503115,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:27.551430,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:28.678364,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:29.740620,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:30.785873,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:31.868253,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:32.988183,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:34.125759,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:35.219990,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:36.264748,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:37.255340,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:38.364958,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:39.455916,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:40.550658,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:41.613841,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:42.668386,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:43.721247,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:44.778137,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:45.789353,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:46.824593,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:47.827396,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:48.825106,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:49.952966,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:51.001051,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:51.976514,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:53.046677,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:54.102395,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:55.156646,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:56.189670,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:57.181091,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:58.183042,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:00:59.279979,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:00.340997,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:01.373815,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:02.482767,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:03.597988,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:04.694907,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:05.816667,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:06.792014,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:07.822103,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
12-01-2023 09:01:08.843546,"(5.0, 9.0, 7.973333333333333)","(15.0, 38.0, 26.863636363636363)","(3.7, 5.7, 4.822448979591837)","(3.0, 4.8, 3.730555555555555)","(12.0, 26.0, 21.555555555555557)","(9.0, 27.0, 19.416666666666668)","(9.0, 18.5, 10.083333333333334)","(6.5, 11.5, 9.4375)"
