,Fly To Eden,Tralee Beth,Remember Always,Oak Barrel,Whispering Misty,Act Of Kindness,Nora Carat,Hot Temper
11-01-2023 09:12:04.179709,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:05.353178,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:06.545792,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:07.755633,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:08.970659,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:10.075964,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:11.143524,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:12.312058,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:13.481726,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:14.722507,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:15.887692,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:17.038882,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:18.165690,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:19.205740,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:20.294141,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:21.448490,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:22.640639,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:23.817287,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:25.033560,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:26.152099,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:27.297728,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:28.438642,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:29.599369,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:30.711955,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:31.874788,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:33.019553,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:34.123337,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:35.318358,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:36.523348,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:37.684389,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:38.766201,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:39.854776,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:40.935772,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:42.053322,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:43.268479,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:44.496063,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:45.823873,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:46.965320,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:48.157072,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:49.349637,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:50.791768,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:52.055434,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:53.238668,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:54.424731,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:55.671709,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:56.875973,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:58.108735,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:12:59.456799,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:00.739460,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:01.914301,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:03.077174,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:04.312532,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:05.516929,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:06.829339,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:08.141313,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:09.313585,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:10.514017,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:11.682467,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:12.790284,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:13.954315,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:15.198375,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:16.429685,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
11-01-2023 09:13:17.595697,"(4.6, 9.6, 8.24468085106383)","(2.0, 2.04, 2.0394606741573034)","(13.0, 30.0, 28.06818181818182)","(21.0, 80.0, 57.30769230769231)","(5.0, 8.6, 7.433333333333334)","(13.0, 28.0, 18.9375)","(13.0, 38.0, 30.794117647058822)","(8.0, 21.0, 14.7)"
