,Bold Prophet,Danncity,Wojtek,Luckee Floran,The Frenchman,Lead Guitar,Reactionary,Butterflyrock,American Agent,Go Go Gracie,Pio Kerri
08-12-2022 15:26:36.606268,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 7.88)"
08-12-2022 15:26:38.037218,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 7.88)"
08-12-2022 15:26:39.440362,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 7.88)"
08-12-2022 15:26:40.709567,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 7.88)"
08-12-2022 15:26:42.033049,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 7.88)"
08-12-2022 15:26:43.331762,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 88.36363636363637)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.0, 8.7)"
08-12-2022 15:26:44.697552,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 14.0, 12.666666666666666)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 25.142857142857142)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 8.7)"
08-12-2022 15:26:46.086057,"(9.0, 15.0, 13.5)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.648275862068967)"
08-12-2022 15:26:47.418065,"(9.0, 15.0, 13.5)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.712)"
08-12-2022 15:26:48.628693,"(9.0, 15.0, 13.5)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.712)"
08-12-2022 15:26:49.841088,"(9.0, 15.0, 13.5)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.630769230769232)"
08-12-2022 15:26:51.049833,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.630769230769232)"
08-12-2022 15:26:52.498185,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.630769230769232)"
08-12-2022 15:26:53.818806,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 23.8)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 9.630769230769232)"
08-12-2022 15:26:55.375264,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.833333333333332)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.182857142857143)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 8.7)"
08-12-2022 15:26:57.052538,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.833333333333332)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.182857142857143)","(8.0, 13.0, 9.857142857142858)","(6.5, 9.8, 8.7)"
08-12-2022 15:26:58.425103,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.833333333333332)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.8, 8.7)"
08-12-2022 15:26:59.805018,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.833333333333332)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.8, 8.7)"
08-12-2022 15:27:01.272473,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.833333333333332)","(26.0, 100.0, 89.33333333333333)","(31.0, 55.0, 50.8)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.8, 8.7)"
08-12-2022 15:27:02.667781,"(9.0, 15.0, 14.25)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.8, 8.7)"
08-12-2022 15:27:04.002010,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.8, 7.88)"
08-12-2022 15:27:05.339386,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.178181818181818)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:06.607347,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 24.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:07.905931,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.916666666666668)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:09.283434,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.916666666666668)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:10.717739,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.916666666666668)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:12.107982,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 26.916666666666668)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:13.441279,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 10.8)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:15.124498,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 12.2)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:16.454715,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 12.2)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:17.944404,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 12.2)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:19.392412,"(9.0, 14.5, 14.02)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 12.2)","(6.5, 9.0, 7.88)"
08-12-2022 15:27:20.735798,"(9.0, 14.0, 13.461538461538462)","(101.0, 390.0, 216.66666666666669)","(9.0, 13.5, 12.428571428571429)","(8.5, 13.0, 11.75)","(101.0, 390.0, 274.0)","(14.0, 29.0, 21.0)","(26.0, 100.0, 85.23076923076923)","(31.0, 55.0, 40.75)","(1.95, 2.2, 2.1836363636363636)","(8.0, 13.0, 12.2)","(6.5, 9.0, 7.88)"
