,Krafty Boy,Kezzamac,The Hustler Nz,Tulhurst Writer,Bomani,Shanerra Star Nz,A Rocknroll Star Nz,Roll The Seven,Tulhurst Terror,Shannonsideal
14-12-2022 18:47:18.531271,"(101.0, 280.0, 228.0)","(4.6, 8.6, 7.76)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(10.0, 16.0, 14.5)","(8.5, 12.5, 10.4)","(12.0, 20.0, 15.0)"
14-12-2022 18:47:19.985321,"(101.0, 220.0, 192.0)","(4.6, 8.6, 7.769230769230769)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.7, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 16.0, 14.5)","(8.0, 12.5, 10.4)","(12.0, 20.0, 14.642857142857142)"
14-12-2022 18:47:21.349232,"(101.0, 210.0, 186.0)","(4.6, 8.6, 7.769230769230769)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.7, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 16.0, 14.5)","(8.0, 12.5, 10.4)","(12.0, 20.0, 16.11111111111111)"
14-12-2022 18:47:22.637519,"(101.0, 210.0, 186.0)","(4.6, 8.6, 7.769230769230769)","(3.6, 99999, 99990)","(21.0, 46.0, 43.42857142857143)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 16.0, 15.3)","(8.0, 12.5, 10.0)","(12.0, 20.0, 16.1)"
14-12-2022 18:47:23.882319,"(81.0, 210.0, 186.0)","(4.6, 8.6, 7.781818181818181)","(3.5, 99999, 99990)","(21.0, 46.0, 40.33333333333333)","(15.0, 19.0, 17.928571428571427)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 19.5, 15.181818181818182)","(8.0, 12.0, 9.75)","(12.0, 20.0, 15.125)"
14-12-2022 18:47:25.188315,"(81.0, 210.0, 186.0)","(4.6, 8.6, 7.781818181818181)","(3.5, 99999, 99990)","(21.0, 46.0, 42.57142857142857)","(15.0, 19.0, 17.58823529411765)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 19.0, 15.181818181818182)","(8.0, 10.0, 9.75)","(12.0, 20.0, 16.0)"
14-12-2022 18:47:26.563951,"(101.0, 210.0, 190.0)","(4.6, 8.4, 7.777777777777778)","(3.5, 99999, 99990)","(21.0, 46.0, 42.57142857142857)","(15.0, 19.0, 17.181818181818183)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 19.0, 16.666666666666668)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:27.890404,"(101.0, 210.0, 190.0)","(4.6, 8.4, 7.777777777777778)","(3.5, 99999, 99990)","(21.0, 46.0, 42.57142857142857)","(15.0, 19.0, 17.75)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 15.2)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:29.153613,"(101.0, 210.0, 190.0)","(4.8, 8.4, 7.777777777777778)","(3.5, 99999, 99990)","(21.0, 46.0, 41.84615384615385)","(15.0, 19.0, 17.75)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 15.2)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:30.363863,"(101.0, 210.0, 190.0)","(4.8, 8.4, 7.777777777777778)","(3.5, 99999, 99990)","(21.0, 44.0, 40.15384615384615)","(15.0, 19.0, 17.75)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 15.2)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:31.631991,"(101.0, 210.0, 190.0)","(4.8, 8.4, 8.32)","(3.5, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(15.0, 19.0, 18.0625)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 15.2)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:32.905625,"(101.0, 210.0, 190.0)","(4.8, 8.4, 8.361290322580645)","(3.4, 99999, 99990)","(21.0, 40.0, 38.4)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 14.466666666666667)","(8.0, 10.0, 9.75)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:34.199013,"(101.0, 210.0, 190.0)","(4.8, 8.4, 8.28)","(3.4, 99999, 99990)","(21.0, 40.0, 37.714285714285715)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.5, 16.333333333333332)","(8.0, 10.0, 9.545454545454545)","(12.0, 20.0, 14.428571428571429)"
14-12-2022 18:47:35.546575,"(101.0, 210.0, 180.0)","(4.8, 8.4, 8.28)","(3.4, 99999, 99990)","(21.0, 40.0, 37.14285714285714)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 18.0, 13.75)","(8.0, 11.0, 9.5)","(12.0, 20.0, 15.333333333333334)"
14-12-2022 18:47:36.822563,"(101.0, 210.0, 180.0)","(4.8, 8.4, 8.28)","(3.4, 99999, 99990)","(21.0, 38.0, 37.42857142857143)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 17.5, 13.166666666666666)","(8.0, 10.5, 9.82)","(12.0, 19.0, 13.428571428571429)"
14-12-2022 18:47:38.165029,"(101.0, 210.0, 180.0)","(4.8, 8.4, 8.28)","(3.4, 99999, 99990)","(21.0, 38.0, 37.63636363636364)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 13.285714285714286)","(8.0, 10.5, 9.82)","(12.0, 19.0, 15.0625)"
14-12-2022 18:47:39.544048,"(101.0, 210.0, 201.42857142857144)","(4.8, 8.4, 8.28)","(3.4, 99999, 99990)","(21.0, 38.0, 37.63636363636364)","(15.0, 19.0, 18.375)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 13.285714285714286)","(8.0, 10.5, 10.075)","(12.0, 18.5, 16.208333333333332)"
14-12-2022 18:47:41.029773,"(101.0, 210.0, 193.33333333333334)","(4.8, 8.4, 6.85)","(3.4, 99999, 99990)","(21.0, 38.0, 37.63636363636364)","(15.0, 19.0, 17.966666666666665)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 13.285714285714286)","(8.0, 10.5, 9.6)","(12.0, 18.5, 16.208333333333332)"
14-12-2022 18:47:42.441908,"(101.0, 220.0, 202.85714285714286)","(4.8, 8.2, 7.6)","(3.4, 99999, 99990)","(21.0, 38.0, 37.63636363636364)","(15.0, 18.5, 17.966666666666665)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 12.833333333333334)","(8.0, 10.0, 9.454545454545455)","(12.0, 18.5, 16.208333333333332)"
14-12-2022 18:47:43.825599,"(101.0, 220.0, 202.85714285714286)","(4.8, 8.6, 7.4)","(3.4, 99999, 99990)","(21.0, 38.0, 37.63636363636364)","(15.0, 18.5, 17.966666666666665)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 12.214285714285714)","(8.0, 10.0, 9.428571428571429)","(12.0, 18.5, 16.227272727272727)"
14-12-2022 18:47:45.119215,"(101.0, 220.0, 202.85714285714286)","(4.8, 8.4, 7.4)","(3.4, 99999, 99990)","(21.0, 38.0, 44.90909090909091)","(15.0, 18.5, 17.875)","(3.8, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 14.0, 12.214285714285714)","(8.0, 10.0, 9.6)","(12.0, 18.5, 15.285714285714286)"
14-12-2022 18:47:46.400415,"(101.0, 220.0, 202.85714285714286)","(4.2, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(21.0, 46.0, 41.0)","(15.0, 18.0, 17.875)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 12.363636363636363)","(8.0, 10.0, 9.428571428571429)","(12.0, 18.5, 15.642857142857142)"
14-12-2022 18:47:47.694359,"(101.0, 220.0, 204.0)","(4.2, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(21.0, 48.0, 39.0)","(15.0, 18.0, 17.875)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 12.363636363636363)","(8.0, 10.0, 9.285714285714286)","(12.0, 18.5, 16.4)"
14-12-2022 18:47:49.095647,"(101.0, 220.0, 200.0)","(4.6, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(26.0, 42.0, 40.285714285714285)","(16.0, 18.0, 17.875)","(3.9, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 12.615384615384615)","(8.5, 11.0, 10.25)","(12.0, 18.5, 16.4)"
14-12-2022 18:47:50.426813,"(101.0, 220.0, 200.0)","(4.6, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(26.0, 42.0, 44.0)","(16.0, 18.0, 17.38888888888889)","(3.9, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 12.615384615384615)","(8.5, 11.0, 9.363636363636363)","(12.0, 18.5, 17.8)"
14-12-2022 18:47:51.736008,"(101.0, 220.0, 200.0)","(4.6, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(26.0, 46.0, 42.15384615384615)","(16.0, 18.0, 16.821428571428573)","(3.9, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 11.954545454545455)","(8.5, 9.8, 10.02142857142857)","(12.0, 18.5, 16.7)"
14-12-2022 18:47:52.970342,"(101.0, 270.0, 201.42857142857142)","(4.8, 8.0, 7.833333333333333)","(3.4, 99999, 99990)","(26.0, 44.0, 42.15384615384615)","(15.0, 18.0, 16.821428571428573)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 14.0, 12.5)","(7.5, 11.5, 10.28235294117647)","(12.0, 18.5, 16.7)"
14-12-2022 18:47:54.282676,"(101.0, 270.0, 197.27272727272728)","(4.8, 8.0, 7.822222222222222)","(3.4, 99999, 99990)","(26.0, 44.0, 42.73684210526316)","(15.0, 18.0, 16.821428571428573)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 14.0, 12.944444444444445)","(7.5, 11.5, 10.388235294117647)","(12.0, 18.5, 16.7)"
14-12-2022 18:47:55.625334,"(101.0, 260.0, 197.77777777777777)","(4.8, 8.0, 7.822222222222222)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 18.0, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 13.5, 12.458333333333334)","(7.5, 11.5, 9.925)","(12.0, 18.5, 17.375)"
14-12-2022 18:47:56.980994,"(101.0, 250.0, 205.0)","(4.8, 8.0, 5.866666666666667)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 13.5, 12.166666666666666)","(7.5, 11.5, 9.925)","(12.0, 18.5, 17.375)"
14-12-2022 18:47:58.392926,"(101.0, 250.0, 205.0)","(4.8, 7.2, 6.8)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 13.0, 11.9)","(7.5, 11.5, 9.925)","(12.0, 18.5, 17.428571428571427)"
14-12-2022 18:47:59.706384,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.466666666666667)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 12.5, 11.9)","(7.5, 11.5, 9.925)","(12.0, 18.5, 17.555555555555557)"
14-12-2022 18:48:00.997139,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.26)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 12.5, 11.6)","(7.5, 11.5, 9.925)","(12.0, 19.5, 17.357142857142858)"
14-12-2022 18:48:02.270396,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.32)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 12.0, 11.6)","(7.5, 11.5, 9.925)","(12.0, 19.5, 17.357142857142858)"
14-12-2022 18:48:03.566594,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.430769230769231)","(3.4, 99999, 99990)","(26.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 12.0, 11.916666666666666)","(7.5, 11.5, 10.36)","(12.0, 19.5, 18.818181818181817)"
14-12-2022 18:48:04.912977,"(101.0, 250.0, 198.57142857142858)","(4.4, 7.8, 7.610526315789474)","(3.4, 99999, 99990)","(31.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 12.0, 12.81578947368421)","(8.0, 11.0, 10.2)","(13.0, 19.5, 17.714285714285715)"
14-12-2022 18:48:06.265055,"(101.0, 250.0, 198.57142857142858)","(4.4, 7.8, 7.5)","(3.4, 99999, 99990)","(31.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 14.0, 13.423076923076923)","(8.0, 11.0, 10.2)","(13.0, 19.5, 17.714285714285715)"
14-12-2022 18:48:07.504769,"(101.0, 250.0, 198.57142857142858)","(4.4, 7.8, 7.5)","(3.4, 99999, 99990)","(31.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 14.0, 16.166666666666668)","(8.0, 11.0, 10.342857142857143)","(13.0, 19.5, 17.714285714285715)"
14-12-2022 18:48:08.769558,"(101.0, 250.0, 205.0)","(4.4, 7.8, 7.466666666666667)","(3.4, 99999, 99990)","(31.0, 48.0, 42.73684210526316)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 18.5, 13.555555555555555)","(8.0, 10.5, 10.39)","(13.0, 19.5, 18.428571428571427)"
14-12-2022 18:48:10.021045,"(101.0, 250.0, 205.0)","(4.4, 7.8, 7.5)","(3.4, 99999, 99990)","(31.0, 48.0, 43.0)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(10.0, 14.0, 12.928571428571429)","(8.0, 10.5, 10.39)","(13.0, 19.5, 18.428571428571427)"
14-12-2022 18:48:11.302996,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.5)","(3.3, 99999, 99990)","(26.0, 48.0, 43.0)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 13.0)","(7.5, 10.5, 9.94)","(13.0, 19.5, 18.75)"
14-12-2022 18:48:12.622695,"(101.0, 250.0, 205.0)","(4.8, 7.8, 7.6571428571428575)","(3.3, 99999, 99990)","(26.0, 48.0, 43.0)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 13.5, 13.285714285714285)","(7.5, 10.0, 9.94)","(13.0, 19.5, 18.166666666666668)"
14-12-2022 18:48:13.921831,"(101.0, 250.0, 205.0)","(4.8, 8.0, 7.6571428571428575)","(3.3, 99999, 99990)","(26.0, 48.0, 43.0)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 13.5, 12.866666666666667)","(7.5, 10.0, 10.6)","(13.0, 19.5, 19.0)"
14-12-2022 18:48:15.141171,"(101.0, 250.0, 205.0)","(4.8, 8.0, 7.7176470588235295)","(3.3, 99999, 99990)","(26.0, 48.0, 43.0)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 13.0, 12.866666666666667)","(7.5, 11.0, 10.39)","(13.0, 19.5, 19.166666666666668)"
14-12-2022 18:48:16.461483,"(101.0, 250.0, 205.0)","(4.8, 8.0, 7.752941176470588)","(3.3, 99999, 99990)","(26.0, 48.0, 41.333333333333336)","(15.0, 17.5, 17.375)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 13.0, 13.75)","(7.5, 10.5, 9.866666666666667)","(13.0, 19.5, 23.0)"
14-12-2022 18:48:17.866118,"(101.0, 250.0, 220.0)","(4.8, 8.0, 7.355555555555555)","(3.3, 99999, 99990)","(26.0, 48.0, 57.5)","(15.0, 17.5, 17.25)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.5, 13.6)","(7.5, 10.0, 10.16)","(13.0, 25.0, 20.0)"
14-12-2022 18:48:19.249940,"(101.0, 230.0, 215.0)","(4.8, 7.8, 7.355555555555555)","(3.3, 99999, 99990)","(26.0, 65.0, 58.57142857142857)","(15.0, 17.5, 17.25)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 13.375)","(7.5, 11.0, 10.16)","(13.0, 23.0, 19.666666666666668)"
14-12-2022 18:48:20.627555,"(101.0, 230.0, 216.66666666666666)","(4.8, 7.8, 7.355555555555555)","(3.2, 99999, 99990)","(26.0, 65.0, 57.5)","(15.0, 17.5, 17.35)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 13.714285714285714)","(7.5, 11.0, 10.181818181818182)","(13.0, 22.0, 20.970588235294116)"
14-12-2022 18:48:21.859463,"(101.0, 230.0, 216.66666666666666)","(4.8, 7.6, 7.507692307692308)","(3.2, 99999, 99990)","(26.0, 65.0, 61.25)","(15.0, 17.5, 17.35)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.0, 14.375)","(7.5, 11.0, 10.181818181818182)","(13.0, 22.0, 20.2)"
14-12-2022 18:48:23.098002,"(101.0, 580.0, 284.0)","(4.8, 7.6, 7.3999999999999995)","(3.2, 99999, 99990)","(26.0, 65.0, 61.25)","(15.0, 17.5, 17.35)","(4.0, 99999, 99990)","(13.0, 99999, 99990)","(9.0, 14.5, 14.375)","(7.5, 11.0, 10.181818181818182)","(13.0, 22.0, 21.4)"
