,Inotell,Jediah,Master At Arms,Portation,Sir Arminius,Social Group,De La Fayette
16-12-2022 14:47:26.773459,"(41.0, 130.0, 123.33333333333333)","(21.0, 32.0, 29.853658536585368)","(12.0, 17.0, 16.819444444444443)","(2.4, 2.8, 2.7946666666666666)","(12.0, 15.0, 14.885714285714286)","(101.0, 490.0, 415.0)","(1.9, 2.1, 2.1106542056074766)"
16-12-2022 14:47:27.922427,"(41.0, 130.0, 123.33333333333333)","(20.0, 30.0, 29.5)","(12.0, 17.5, 17.0625)","(2.4, 2.8, 2.79716814159292)","(12.0, 15.0, 14.846153846153847)","(101.0, 490.0, 415.0)","(1.9, 2.12, 2.1058715596330275)"
16-12-2022 14:47:28.916290,"(41.0, 130.0, 125.0)","(20.0, 30.0, 29.3)","(12.0, 17.5, 17.2)","(2.4, 2.8, 2.79716814159292)","(12.0, 15.0, 14.846153846153847)","(101.0, 490.0, 415.0)","(1.9, 2.12, 2.1058715596330275)"
16-12-2022 14:47:29.952051,"(41.0, 130.0, 125.0)","(20.0, 30.0, 29.185185185185183)","(12.0, 17.5, 17.2)","(2.4, 2.8, 2.7959139784946236)","(12.0, 15.0, 14.761904761904763)","(101.0, 490.0, 415.0)","(1.9, 2.12, 2.1052631578947367)"
16-12-2022 14:47:30.881289,"(41.0, 130.0, 125.0)","(20.0, 30.0, 29.488372093023255)","(12.0, 17.5, 17.397727272727273)","(2.4, 2.8, 2.7901075268817204)","(12.0, 15.0, 14.761904761904763)","(101.0, 980.0, 586.6666666666666)","(1.9, 2.12, 2.106837606837607)"
16-12-2022 14:47:31.879157,"(41.0, 130.0, 125.0)","(20.0, 30.0, 29.658536585365855)","(12.0, 18.0, 17.47107438016529)","(2.4, 2.82, 2.8058823529411763)","(12.0, 15.0, 14.711538461538462)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1058715596330275)"
16-12-2022 14:47:32.880242,"(41.0, 130.0, 125.0)","(20.0, 30.0, 29.658536585365855)","(12.0, 17.5, 17.4921875)","(2.4, 2.82, 2.805473684210526)","(12.0, 15.0, 14.711538461538462)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1058715596330275)"
16-12-2022 14:47:33.861654,"(31.0, 130.0, 125.0)","(20.0, 30.0, 29.658536585365855)","(12.0, 17.5, 17.4921875)","(2.35, 2.82, 2.7988326848249026)","(12.0, 15.0, 14.711538461538462)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.10768)"
16-12-2022 14:47:34.855323,"(31.0, 130.0, 125.0)","(20.0, 30.0, 29.435897435897434)","(12.0, 17.5, 17.4921875)","(2.35, 2.82, 2.7988326848249026)","(12.0, 15.0, 14.67741935483871)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.10992700729927)"
16-12-2022 14:47:35.884673,"(31.0, 130.0, 125.0)","(20.0, 30.0, 29.435897435897434)","(12.0, 17.5, 17.346153846153847)","(2.35, 2.82, 2.8003610108303247)","(12.0, 15.0, 14.715686274509803)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1102641509433964)"
16-12-2022 14:47:36.985338,"(31.0, 110.0, 105.0)","(20.0, 30.0, 29.435897435897434)","(12.0, 17.5, 16.952830188679247)","(2.35, 2.82, 2.8016216216216216)","(12.0, 15.0, 14.715686274509803)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1250285714285715)"
16-12-2022 14:47:38.085371,"(31.0, 160.0, 126.66666666666667)","(20.0, 30.0, 29.333333333333332)","(12.0, 17.0, 16.8125)","(2.35, 2.82, 2.8003610108303247)","(12.0, 15.0, 14.715686274509803)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.14, 2.1250285714285715)"
16-12-2022 14:47:39.052209,"(31.0, 140.0, 117.5)","(20.0, 30.0, 29.037037037037038)","(12.0, 17.0, 16.735849056603772)","(2.35, 2.8, 2.790423728813559)","(12.0, 14.5, 14.425531914893616)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.14, 2.126282722513089)"
16-12-2022 14:47:39.985350,"(31.0, 140.0, 106.25)","(20.0, 30.0, 28.980392156862745)","(12.0, 17.0, 16.79591836734694)","(2.35, 2.8, 2.789488372093023)","(12.0, 15.0, 14.44943820224719)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.14, 2.1285106382978722)"
16-12-2022 14:47:40.981960,"(31.0, 140.0, 106.25)","(20.0, 29.0, 28.818181818181817)","(12.0, 17.0, 16.829268292682926)","(2.35, 2.8, 2.789488372093023)","(12.0, 15.0, 14.409638554216867)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.14, 2.1285106382978722)"
16-12-2022 14:47:41.994462,"(31.0, 130.0, 103.75)","(20.0, 29.0, 28.818181818181817)","(12.0, 17.0, 16.829268292682926)","(2.35, 2.8, 2.789488372093023)","(12.0, 15.0, 14.39080459770115)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.14, 2.1312359550561797)"
16-12-2022 14:47:43.068497,"(51.0, 130.0, 98.88888888888889)","(20.0, 30.0, 28.8)","(12.0, 17.5, 17.1046511627907)","(2.35, 2.8, 2.7951824817518247)","(12.0, 15.0, 14.585106382978724)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1024525916561316)"
16-12-2022 14:47:44.065059,"(51.0, 130.0, 98.88888888888889)","(20.0, 30.0, 28.73469387755102)","(12.0, 17.5, 17.1046511627907)","(2.35, 2.8, 2.7985714285714285)","(12.0, 15.0, 14.590909090909092)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1052183173588928)"
16-12-2022 14:47:45.115821,"(51.0, 120.0, 111.66666666666667)","(20.0, 30.0, 28.73469387755102)","(12.0, 17.5, 17.046666666666667)","(2.35, 2.8, 2.7985714285714285)","(12.0, 15.5, 15.080357142857142)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.104334085778781)"
16-12-2022 14:47:46.178714,"(51.0, 120.0, 111.66666666666667)","(20.0, 30.0, 28.75)","(12.0, 17.5, 17.046666666666667)","(2.35, 2.8, 2.7967741935483867)","(12.0, 15.5, 14.686813186813186)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1046629834254142)"
16-12-2022 14:47:47.237128,"(41.0, 120.0, 111.66666666666667)","(20.0, 30.0, 28.818181818181817)","(12.0, 17.5, 16.976923076923075)","(2.35, 2.8, 2.7967741935483867)","(12.0, 15.5, 14.686813186813186)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.098794813119756)"
16-12-2022 14:47:48.339633,"(41.0, 120.0, 111.66666666666667)","(20.0, 30.0, 28.75)","(12.0, 17.5, 16.976923076923075)","(2.35, 2.82, 2.8095454545454546)","(12.0, 15.5, 14.75531914893617)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.098608287724785)"
16-12-2022 14:47:49.407553,"(41.0, 120.0, 100.0)","(20.0, 30.0, 28.75)","(12.0, 17.5, 17.436708860759495)","(2.35, 2.82, 2.8094382022471907)","(12.0, 15.5, 14.744897959183673)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.098608287724785)"
16-12-2022 14:47:50.444277,"(41.0, 110.0, 105.0)","(20.0, 30.0, 28.75)","(12.0, 17.5, 17.216666666666665)","(2.35, 2.82, 2.8094382022471907)","(12.0, 15.5, 14.744897959183673)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.0994594594594593)"
16-12-2022 14:47:51.434318,"(41.0, 110.0, 105.0)","(20.0, 30.0, 28.75)","(12.0, 17.5, 17.216666666666665)","(2.35, 2.82, 2.8094382022471907)","(12.0, 15.5, 14.744897959183673)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.101904761904762)"
16-12-2022 14:47:52.393087,"(41.0, 110.0, 107.5)","(20.0, 30.0, 28.823529411764707)","(12.0, 17.5, 17.026785714285715)","(2.35, 2.82, 2.8077064220183483)","(12.0, 15.5, 14.686813186813186)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.101904761904762)"
16-12-2022 14:47:53.391510,"(41.0, 110.0, 97.0)","(20.0, 30.0, 28.823529411764707)","(12.0, 17.5, 16.852941176470587)","(2.35, 2.82, 2.8077064220183483)","(12.0, 15.0, 14.861702127659575)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1024161073825502)"
16-12-2022 14:47:54.421475,"(41.0, 95.0, 93.26923076923077)","(20.0, 30.0, 28.823529411764707)","(12.0, 17.5, 17.41509433962264)","(2.35, 2.82, 2.8077064220183483)","(12.0, 15.0, 14.861702127659575)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1041820768136557)"
16-12-2022 14:47:55.446625,"(41.0, 95.0, 93.26923076923077)","(20.0, 30.0, 28.823529411764707)","(12.0, 17.5, 17.41509433962264)","(2.35, 2.82, 2.8077064220183483)","(12.0, 15.0, 14.861702127659575)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.12, 2.1041820768136557)"
16-12-2022 14:47:56.509871,"(41.0, 95.0, 91.5909090909091)","(20.0, 30.0, 28.933333333333334)","(12.0, 18.0, 17.59259259259259)","(2.35, 2.84, 2.8215126050420167)","(12.0, 15.5, 15.05072463768116)","(101.0, 980.0, 488.3333333333333)","(1.9, 2.1, 2.0975223880597014)"
16-12-2022 14:47:57.558096,"(41.0, 95.0, 90.83333333333333)","(20.0, 30.0, 29.0)","(12.0, 18.0, 17.63235294117647)","(2.35, 2.88, 2.8652941176470588)","(12.0, 15.5, 14.76530612244898)","(101.0, 980.0, 474.2857142857143)","(1.9, 2.08, 2.076842105263158)"
16-12-2022 14:47:58.538592,"(41.0, 95.0, 90.83333333333333)","(20.0, 30.0, 28.923076923076923)","(12.0, 18.0, 17.78125)","(2.35, 2.88, 2.8666666666666667)","(12.0, 15.5, 14.757425742574258)","(101.0, 970.0, 583.3333333333334)","(1.9, 2.08, 2.0767140600315956)"
16-12-2022 14:47:59.504644,"(41.0, 95.0, 90.83333333333333)","(20.0, 30.0, 28.818181818181817)","(12.0, 18.0, 17.63235294117647)","(2.35, 2.88, 2.870212765957447)","(12.0, 15.5, 14.75)","(101.0, 950.0, 670.0)","(1.9, 2.08, 2.0756187766714085)"
16-12-2022 14:48:00.492278,"(41.0, 95.0, 91.47058823529412)","(20.0, 30.0, 28.857142857142858)","(12.0, 18.0, 17.710526315789473)","(2.35, 2.88, 2.8484615384615384)","(12.0, 15.5, 14.891752577319588)","(101.0, 950.0, 579.2857142857142)","(1.9, 2.08, 2.068611111111111)"
16-12-2022 14:48:01.448961,"(41.0, 95.0, 91.66666666666667)","(20.0, 32.0, 29.46875)","(12.0, 18.0, 17.923076923076923)","(2.35, 2.88, 2.864230769230769)","(12.0, 15.5, 14.891752577319588)","(101.0, 920.0, 579.2857142857142)","(1.9, 2.08, 2.052142857142857)"
16-12-2022 14:48:02.430722,"(41.0, 95.0, 92.5)","(20.0, 32.0, 30.195121951219512)","(12.0, 18.5, 18.07894736842105)","(2.35, 2.88, 2.8702958579881654)","(12.0, 15.5, 15.140243902439025)","(101.0, 920.0, 565.0)","(1.9, 2.06, 2.052175925925926)"
16-12-2022 14:48:03.443751,"(41.0, 110.0, 97.77777777777777)","(20.0, 32.0, 30.266666666666666)","(12.0, 18.5, 18.07894736842105)","(2.35, 2.88, 2.8624347826086955)","(12.0, 15.5, 15.140243902439025)","(101.0, 880.0, 731.6666666666666)","(1.9, 2.06, 2.0394250513347023)"
16-12-2022 14:48:04.538780,"(41.0, 110.0, 102.3076923076923)","(20.0, 32.0, 30.272727272727273)","(12.0, 18.5, 18.083333333333332)","(2.45, 2.88, 2.8618018018018017)","(12.0, 15.5, 15.082278481012658)","(101.0, 800.0, 731.6666666666666)","(1.85, 2.04, 2.0483636363636366)"
16-12-2022 14:48:05.652385,"(41.0, 110.0, 101.66666666666667)","(20.0, 32.0, 30.49056603773585)","(12.0, 18.5, 18.12962962962963)","(2.45, 2.88, 2.8744329896907215)","(12.0, 15.5, 15.082278481012658)","(101.0, 800.0, 706.6666666666667)","(1.85, 2.06, 2.0454545454545454)"
16-12-2022 14:48:06.756479,"(41.0, 110.0, 101.66666666666667)","(20.0, 32.0, 30.49056603773585)","(12.0, 18.5, 18.29381443298969)","(2.45, 2.88, 2.8744329896907215)","(12.0, 15.5, 15.082278481012658)","(101.0, 770.0, 654.2857142857142)","(1.85, 2.06, 2.0358542713567838)"
16-12-2022 14:48:07.857100,"(41.0, 110.0, 102.5)","(20.0, 32.0, 30.49056603773585)","(12.0, 19.0, 18.636363636363637)","(2.45, 2.88, 2.8755371900826443)","(12.0, 15.5, 15.18421052631579)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.0358942065491186)"
16-12-2022 14:48:08.908889,"(41.0, 110.0, 102.5)","(20.0, 32.0, 30.49056603773585)","(12.0, 19.0, 18.575)","(2.45, 2.88, 2.876326530612245)","(12.0, 15.5, 15.18421052631579)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.038880706921944)"
16-12-2022 14:48:09.873797,"(41.0, 110.0, 102.5)","(20.0, 32.0, 30.5)","(12.0, 19.0, 18.575)","(2.45, 2.88, 2.876326530612245)","(12.0, 15.5, 15.190217391304348)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.038880706921944)"
16-12-2022 14:48:10.898358,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.5)","(14.0, 19.0, 18.614754098360656)","(2.45, 2.88, 2.874457831325301)","(13.0, 15.5, 15.190217391304348)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.06, 2.04159509202454)"
16-12-2022 14:48:11.903017,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.5)","(14.0, 19.5, 19.454802259887007)","(2.45, 2.88, 2.872203389830508)","(13.0, 15.5, 15.190217391304348)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.037239436619718)"
16-12-2022 14:48:12.988315,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.49122807017544)","(14.0, 21.0, 20.25)","(2.45, 2.88, 2.8609375)","(13.0, 15.5, 15.169902912621358)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.0355595667870037)"
16-12-2022 14:48:13.972734,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.528301886792452)","(14.0, 21.0, 20.282608695652176)","(2.45, 2.88, 2.867920792079208)","(13.0, 15.5, 15.169902912621358)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.0355595667870037)"
16-12-2022 14:48:14.933189,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.53846153846154)","(14.0, 21.0, 20.36111111111111)","(2.45, 2.86, 2.851229946524064)","(13.0, 15.5, 15.169902912621358)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.0394582392776526)"
16-12-2022 14:48:15.961685,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.53846153846154)","(14.0, 21.0, 20.25)","(2.45, 2.86, 2.8480327868852457)","(13.0, 15.5, 15.169902912621358)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.04, 2.0367362428842504)"
16-12-2022 14:48:17.071574,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.53846153846154)","(14.0, 21.0, 20.1)","(2.45, 2.84, 2.8373972602739723)","(13.0, 15.5, 15.169902912621358)","(101.0, 760.0, 654.2857142857142)","(1.85, 2.06, 2.043425414364641)"
16-12-2022 14:48:18.211214,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.375)","(14.0, 22.0, 21.56923076923077)","(2.45, 2.84, 2.7990277777777774)","(13.0, 15.5, 15.10919540229885)","(101.0, 720.0, 590.0)","(1.85, 2.06, 2.046153846153846)"
16-12-2022 14:48:19.380499,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.607142857142858)","(14.0, 22.0, 21.337209302325583)","(2.45, 2.8, 2.776357388316151)","(13.0, 15.5, 15.10919540229885)","(101.0, 710.0, 611.4285714285714)","(1.85, 2.06, 2.0663963963963963)"
16-12-2022 14:48:20.358135,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.607142857142858)","(14.0, 22.0, 21.337209302325583)","(2.4, 2.8, 2.776357388316151)","(12.0, 15.5, 15.10919540229885)","(101.0, 700.0, 611.4285714285714)","(1.85, 2.08, 2.066311111111111)"
16-12-2022 14:48:21.375763,"(41.0, 110.0, 102.5)","(21.0, 32.0, 30.71875)","(14.0, 21.0, 20.736842105263158)","(2.4, 2.8, 2.776989966555184)","(12.0, 15.5, 15.169902912621358)","(101.0, 690.0, 556.6666666666667)","(1.85, 2.08, 2.0643654822335025)"
16-12-2022 14:48:22.401015,"(41.0, 110.0, 105.71428571428571)","(21.0, 32.0, 30.87323943661972)","(14.0, 22.0, 20.92452830188679)","(2.4, 2.78, 2.777179487179487)","(12.0, 15.5, 15.216666666666667)","(101.0, 680.0, 597.1428571428571)","(1.85, 2.08, 2.0722068965517244)"
16-12-2022 14:48:23.433216,"(41.0, 110.0, 105.55555555555556)","(21.0, 32.0, 31.123595505617978)","(14.0, 21.0, 20.6875)","(2.4, 2.78, 2.776965517241379)","(12.0, 15.5, 15.247787610619469)","(101.0, 680.0, 535.0)","(1.85, 2.08, 2.0754248366013073)"
16-12-2022 14:48:24.394856,"(41.0, 110.0, 107.14285714285714)","(21.0, 32.0, 31.123595505617978)","(14.0, 21.0, 20.6875)","(2.4, 2.78, 2.776965517241379)","(12.0, 15.5, 15.247787610619469)","(101.0, 670.0, 545.5555555555555)","(1.85, 2.08, 2.075104895104895)"
16-12-2022 14:48:25.380822,"(41.0, 120.0, 112.3076923076923)","(21.0, 32.0, 31.123595505617978)","(14.0, 21.0, 20.627450980392158)","(2.4, 2.78, 2.7740331491712706)","(12.0, 15.5, 15.247787610619469)","(101.0, 670.0, 545.5555555555555)","(1.85, 2.08, 2.073012048192771)"
16-12-2022 14:48:26.452097,"(41.0, 110.0, 105.0)","(21.0, 36.0, 34.294117647058826)","(14.0, 21.0, 20.627450980392158)","(2.4, 2.78, 2.7646560846560844)","(12.0, 15.5, 15.227642276422765)","(101.0, 660.0, 558.75)","(1.85, 2.08, 2.0725552050473186)"
16-12-2022 14:48:27.520437,"(41.0, 110.0, 103.18181818181819)","(21.0, 36.0, 34.273972602739725)","(14.0, 21.0, 20.627450980392158)","(2.4, 2.76, 2.753846153846154)","(12.0, 15.5, 15.227642276422765)","(101.0, 660.0, 690.0)","(1.85, 2.08, 2.0720805369127517)"
16-12-2022 14:48:28.604982,"(41.0, 110.0, 102.5)","(21.0, 36.0, 34.270270270270274)","(14.0, 21.0, 20.47826086956522)","(2.4, 2.76, 2.755288888888889)","(12.0, 15.5, 15.227642276422765)","(101.0, 870.0, 608.1818181818181)","(1.85, 2.08, 2.0720805369127517)"
16-12-2022 14:48:29.622977,"(41.0, 110.0, 107.5)","(21.0, 36.0, 35.17567567567568)","(14.0, 21.0, 20.441860465116278)","(2.4, 2.76, 2.755288888888889)","(12.0, 15.5, 15.227642276422765)","(101.0, 870.0, 630.0)","(1.85, 2.08, 2.0740944881889765)"
16-12-2022 14:48:30.637507,"(41.0, 110.0, 99.28571428571428)","(21.0, 36.0, 35.183673469387756)","(14.0, 21.0, 20.441860465116278)","(2.4, 2.76, 2.755288888888889)","(12.0, 15.5, 15.227642276422765)","(101.0, 860.0, 576.6666666666666)","(1.85, 2.08, 2.078114478114478)"
16-12-2022 14:48:31.666258,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.183673469387756)","(14.0, 21.0, 20.47826086956522)","(2.4, 2.76, 2.7542738589211617)","(12.0, 15.5, 15.227642276422765)","(101.0, 860.0, 602.5)","(1.85, 2.1, 2.078114478114478)"
16-12-2022 14:48:32.672965,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.183673469387756)","(14.0, 21.0, 20.47826086956522)","(2.4, 2.76, 2.7531800766283525)","(12.0, 15.5, 15.227642276422765)","(101.0, 850.0, 602.5)","(1.85, 2.1, 2.080055865921788)"
16-12-2022 14:48:33.715804,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.15492957746479)","(14.0, 21.0, 20.16216216216216)","(2.4, 2.76, 2.753231939163498)","(12.0, 15.5, 15.25925925925926)","(101.0, 850.0, 571.6666666666666)","(1.85, 2.1, 2.077547169811321)"
16-12-2022 14:48:34.774023,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.19463087248322)","(14.0, 21.0, 20.15)","(2.4, 2.76, 2.758412698412698)","(12.0, 15.5, 15.21111111111111)","(101.0, 830.0, 571.6666666666666)","(1.85, 2.1, 2.077511811023622)"
16-12-2022 14:48:35.799871,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.19463087248322)","(14.0, 21.0, 20.317073170731707)","(2.4, 2.76, 2.7574576271186437)","(12.0, 15.5, 15.2375)","(101.0, 830.0, 595.0)","(1.85, 2.1, 2.070097087378641)"
16-12-2022 14:48:36.778806,"(41.0, 110.0, 96.66666666666667)","(21.0, 36.0, 35.19463087248322)","(14.0, 21.0, 20.39622641509434)","(2.4, 2.76, 2.747878787878788)","(12.0, 15.5, 15.2375)","(101.0, 820.0, 595.0)","(1.85, 2.08, 2.069247311827957)"
16-12-2022 14:48:37.795065,"(41.0, 100.0, 98.75)","(21.0, 36.0, 35.19463087248322)","(14.0, 21.0, 20.346938775510203)","(2.4, 2.76, 2.7414285714285715)","(12.0, 16.0, 15.621428571428572)","(101.0, 820.0, 595.0)","(1.85, 2.08, 2.0708256880733944)"
16-12-2022 14:48:38.847299,"(41.0, 100.0, 98.75)","(21.0, 36.0, 35.19463087248322)","(14.0, 21.0, 20.346938775510203)","(2.4, 2.76, 2.748181818181818)","(12.0, 16.0, 15.5)","(101.0, 820.0, 595.0)","(1.85, 2.08, 2.073295238095238)"
16-12-2022 14:48:39.868841,"(41.0, 100.0, 95.2)","(21.0, 34.0, 33.48148148148148)","(14.0, 21.0, 20.452830188679247)","(2.4, 2.78, 2.7662576687116562)","(12.0, 15.5, 15.371428571428572)","(101.0, 820.0, 595.0)","(1.85, 2.08, 2.073295238095238)"
16-12-2022 14:48:40.867564,"(41.0, 100.0, 86.15384615384616)","(21.0, 34.0, 33.48148148148148)","(14.0, 21.0, 20.452830188679247)","(2.4, 2.78, 2.7649999999999997)","(12.0, 15.5, 15.353260869565217)","(101.0, 820.0, 595.0)","(1.85, 2.08, 2.0728233151183972)"
16-12-2022 14:48:41.898779,"(41.0, 95.0, 93.57142857142857)","(21.0, 36.0, 33.64485981308411)","(14.0, 21.0, 20.524590163934427)","(2.4, 2.78, 2.767094594594594)","(12.0, 15.5, 15.464285714285714)","(101.0, 820.0, 592.5)","(1.85, 2.06, 2.0708510638297875)"
16-12-2022 14:48:42.963550,"(41.0, 100.0, 96.66666666666667)","(21.0, 34.0, 33.236363636363635)","(14.0, 22.0, 21.389830508474578)","(2.4, 2.74, 2.7349593495934963)","(12.0, 16.5, 16.04320987654321)","(101.0, 810.0, 592.5)","(1.85, 2.08, 2.0670434782608695)"
16-12-2022 14:48:44.101432,"(41.0, 120.0, 117.0)","(21.0, 34.0, 33.236363636363635)","(14.0, 22.0, 20.893939393939394)","(2.4, 2.74, 2.7301587301587302)","(12.0, 16.5, 16.04320987654321)","(101.0, 770.0, 570.0)","(1.85, 2.08, 2.066986899563319)"
16-12-2022 14:48:45.257548,"(41.0, 120.0, 107.5)","(21.0, 34.0, 33.19230769230769)","(14.0, 22.0, 21.18888888888889)","(2.4, 2.72, 2.7138461538461542)","(12.0, 16.5, 16.04320987654321)","(101.0, 770.0, 580.0)","(1.85, 2.08, 2.0674789915966385)"
16-12-2022 14:48:46.300712,"(41.0, 120.0, 115.45454545454545)","(21.0, 34.0, 33.19230769230769)","(14.0, 22.0, 21.26595744680851)","(2.4, 2.72, 2.7138028169014086)","(12.0, 16.5, 16.04320987654321)","(101.0, 760.0, 580.0)","(1.85, 2.08, 2.072054794520548)"
16-12-2022 14:48:47.384689,"(41.0, 120.0, 112.85714285714286)","(21.0, 34.0, 33.07936507936508)","(14.0, 22.0, 21.26595744680851)","(2.4, 2.72, 2.701767955801105)","(12.0, 16.5, 15.908)","(101.0, 760.0, 566.0)","(1.85, 2.08, 2.0745982142857144)"
16-12-2022 14:48:48.394644,"(41.0, 120.0, 112.85714285714286)","(21.0, 34.0, 33.03333333333333)","(14.0, 22.0, 21.26595744680851)","(2.4, 2.72, 2.701767955801105)","(12.0, 16.5, 15.906666666666666)","(101.0, 750.0, 566.0)","(1.85, 2.08, 2.0790243902439025)"
