,Canya Moonshine,Zarr Oso,Freeney,Balts Obsession,Orson Black,Annabelle Rocks,Captain Turbot,Fat Jack
07-12-2022 18:57:36.964230,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.7)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:38.299045,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.27777777777778)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:39.622983,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.27777777777778)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:40.943592,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.27777777777778)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:42.311759,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.27777777777778)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:43.569496,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.27777777777778)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:44.844153,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:46.109999,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:47.369012,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:48.690334,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:49.992715,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:51.383465,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 22.727272727272727)","(20.0, 55.0, 40.96153846153846)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:52.655742,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.722142857142857)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:53.873821,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.06, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:55.069857,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:56.388012,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.625)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:57.683496,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 15.45)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:57:59.049887,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 14.733333333333334)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:00.764672,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 17.375)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:02.030210,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 15.55)","(1.65, 2.04, 1.6791999999999998)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 32.8125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:03.408773,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.65714285714286)","(1.65, 2.04, 1.681025641025641)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:04.651936,"(4.4, 9.0, 5.425)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.5)","(1.65, 2.04, 1.6807894736842104)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:05.970663,"(4.4, 9.0, 5.425)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.5)","(1.65, 2.04, 1.8066666666666666)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:07.202781,"(4.4, 9.0, 6.785185185185186)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.5)","(1.65, 2.04, 1.6623684210526315)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:08.482876,"(4.4, 9.0, 5.1)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.28)","(1.65, 2.04, 1.6623684210526315)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
07-12-2022 18:58:09.656443,"(4.4, 9.0, 5.2625)","(21.0, 65.0, 34.45454545454545)","(7.5, 18.0, 16.28)","(1.65, 2.04, 1.6623684210526315)","(7.5, 10.5, 7.574999999999999)","(13.0, 42.0, 28.133333333333333)","(20.0, 55.0, 33.125)","(21.0, 70.0, 34.36363636363636)"
